"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{EF6B9ECF-BC88-4ABA-9118-700312046949}","A9905.DCE",19990104,2097,2110,2110,2098,2098,2102,11092,NA,76398,1,NA,2,2016-03-17 10:11:33,0
"2","{B4C70D90-37F2-4FAB-A606-98500F5BD881}","A9905.DCE",19990105,2102,2097,2106,2062,2062,2083,33596,NA,73956,-40,NA,2,2016-03-17 10:11:33,0
"3","{709337B3-21F5-40C8-930C-E875825A9FB8}","A9905.DCE",19990106,2083,2065,2071,2055,2061,2062,26478,NA,73174,-22,NA,2,2016-03-17 10:11:33,0
"4","{E2EDBEE8-58B7-430C-8F66-4154EDA7BFD6}","A9905.DCE",19990107,2062,2061,2076,2053,2072,2066,27104,NA,75602,10,NA,2,2016-03-17 10:11:33,0
"5","{C903BA6D-6365-4AAF-BAB3-5CB7AC2C5B43}","A9905.DCE",19990108,2066,2066,2092,2062,2087,2082,39020,NA,78748,21,NA,2,2016-03-17 10:11:33,0
"6","{42B279F2-1196-48A4-A013-D713CE4AD730}","A9905.DCE",19990111,2082,2089,2096,2080,2090,2088,30414,NA,77964,8,NA,2,2016-03-17 10:11:33,0
"7","{A70230E7-214D-4F4F-8528-7503461D247F}","A9905.DCE",19990112,2088,2086,2089,2078,2087,2083,11630,NA,79588,-1,NA,2,2016-03-17 10:11:33,0
"8","{E8A4C252-2F6F-497D-A7EF-10FE361CA15D}","A9905.DCE",19990113,2083,2081,2106,2079,2105,2096,35994,NA,76010,22,NA,2,2016-03-17 10:11:33,0
"9","{EA3AE0D8-B487-4A27-9410-035DD6C4F387}","A9905.DCE",19990114,2096,2098,2112,2098,2100,2105,19994,NA,76428,4,NA,2,2016-03-17 10:11:33,0
"10","{00AF61AD-1A6E-4FF3-98A9-4328083ADD69}","A9905.DCE",19990115,2105,2098,2100,2053,2062,2072,58822,NA,77000,-43,NA,2,2016-03-17 10:11:33,0
"11","{DAC18AED-1000-447F-80C6-8D64B3397E97}","A9907.DCE",19990118,2129,2110,2178,2110,2168,2155,125974,NA,86474,39,NA,2,2016-03-17 10:11:33,0
"12","{FA6CE2EA-F11F-4419-98C0-F322097B0250}","A9907.DCE",19990119,2155,2171,2218,2161,2214,2202,136226,NA,99278,59,NA,2,2016-03-17 10:11:33,0
"13","{A7430B2E-1220-4EDB-B997-49C84F3C74DA}","A9907.DCE",19990120,2202,2212,2212,2186,2210,2199,121068,NA,112588,8,NA,2,2016-03-17 10:11:33,0
"14","{EBCC3C86-9407-47A4-B1F9-2609066D382A}","A9907.DCE",19990121,2199,2210,2222,2200,2205,2209,100956,NA,123600,6,NA,2,2016-03-17 10:11:33,0
"15","{387DE5EE-5BD2-4B98-8A4D-444889E4D1E0}","A9907.DCE",19990122,2209,2202,2216,2192,2210,2205,94094,NA,137286,1,NA,2,2016-03-17 10:11:33,0
"16","{AC44F55E-6523-4C7E-82EA-DC07151919C6}","A9907.DCE",19990125,2205,2205,2207,2185,2185,2195,64662,NA,139228,-20,NA,2,2016-03-17 10:11:33,0
"17","{FDB76FEA-8279-4ED8-91FE-30356D291B9B}","A9907.DCE",19990126,2195,2179,2181,2148,2159,2164,151656,NA,143820,-36,NA,2,2016-03-17 10:11:33,0
"18","{B76ECF8D-F383-49E3-92C2-DD42E3565B08}","A9907.DCE",19990127,2164,2156,2246,2151,2225,2190,171690,NA,140006,61,NA,2,2016-03-17 10:11:33,0
"19","{C406B681-0166-4E16-B815-6523C00911F0}","A9907.DCE",19990128,2190,2240,2240,2216,2230,2225,106802,NA,146684,40,NA,2,2016-03-17 10:11:33,0
"20","{801DA711-7126-431B-8321-71C5AFAEB9C2}","A9907.DCE",19990129,2225,2230,2250,2209,2244,2231,138900,NA,154446,19,NA,2,2016-03-17 10:11:33,0
"21","{44A535DD-D134-4F9C-A348-AED6C10CE5D7}","A9907.DCE",19990201,2231,2242,2243,2223,2225,2232,91388,NA,139906,-6,NA,2,2016-03-17 10:11:33,0
"22","{A1C27E6D-54EF-41A3-826C-9D2E0BBB6D52}","A9907.DCE",19990202,2232,2225,2231,2208,2219,2220,95772,NA,153414,-13,NA,2,2016-03-17 10:11:33,0
"23","{56FA7B64-BCD5-479D-A3E4-12B1EA0AD1A2}","A9907.DCE",19990203,2220,2220,2221,2192,2194,2207,80672,NA,150906,-26,NA,2,2016-03-17 10:11:33,0
"24","{145CFBDA-EA21-4F5C-8071-081B08A3842A}","A9907.DCE",19990204,2207,2190,2204,2168,2170,2184,150006,NA,133666,-37,NA,2,2016-03-17 10:11:33,0
"25","{54812395-9667-4D75-84DC-B8B7592DF519}","A9907.DCE",19990205,2184,2168,2194,2166,2177,2178,87442,NA,130940,-7,NA,2,2016-03-17 10:11:33,0
"26","{2EC02099-91A4-4764-948B-9C43434CC3DA}","A9907.DCE",19990208,2178,2178,2190,2175,2190,2183,33240,NA,131068,12,NA,2,2016-03-17 10:11:33,0
"27","{A11E38A7-B1FD-435F-B6C6-2DA0014F3BB3}","A9907.DCE",19990209,2183,2185,2201,2185,2193,2194,34236,NA,127504,10,NA,2,2016-03-17 10:11:33,0
"28","{13EB4B21-AF0E-402B-A9A2-F5469245A5FA}","A9907.DCE",19990301,2190,2149,2149,2100,2100,2105,57742,NA,111650,-90,NA,2,2016-03-17 10:11:33,0
"29","{91D57D0E-6B12-463E-B936-E651BD98A997}","A9909.DCE",19990302,2170,2150,2150,2118,2125,2128,96668,NA,133072,-45,NA,2,2016-03-17 10:11:34,0
"30","{8B379082-D0CD-4A07-93BB-2F23318438B0}","A9909.DCE",19990303,2128,2130,2138,2102,2105,2121,107948,NA,139248,-23,NA,2,2016-03-17 10:11:34,0
"31","{B8C47B09-E3C7-4B14-839D-6B678AE4139E}","A9909.DCE",19990304,2121,2102,2113,2096,2110,2104,128942,NA,155686,-11,NA,2,2016-03-17 10:11:34,0
"32","{9153B68E-573D-432A-93D3-3C0FFA187D8D}","A9909.DCE",19990305,2104,2115,2118,2100,2104,2108,67168,NA,158912,NA,NA,2,2016-03-17 10:11:34,0
"33","{CC97ACEE-ED55-473E-AE46-BC7F5F1AF633}","A9909.DCE",19990308,2108,2100,2103,2079,2081,2085,109364,NA,158728,-27,NA,2,2016-03-17 10:11:34,0
"34","{697591F8-1C35-4D8A-9BEB-3F8961326DC0}","A9909.DCE",19990309,2085,2086,2110,2085,2102,2100,124756,NA,166494,17,NA,2,2016-03-17 10:11:34,0
"35","{9CAF750D-6AFA-4883-AE43-27007DA5F713}","A9909.DCE",19990310,2100,2102,2121,2100,2109,2112,108998,NA,183526,9,NA,2,2016-03-17 10:11:34,0
"36","{9F669E0A-C976-47FF-B875-D370E6A37DBC}","A9909.DCE",19990311,2112,2115,2126,2115,2126,2121,98714,NA,191858,14,NA,2,2016-03-17 10:11:34,0
"37","{40AC4BAE-554E-40B7-8F57-72DFFBE488D5}","A9909.DCE",19990312,2121,2128,2130,2111,2111,2124,97946,NA,198122,-10,NA,2,2016-03-17 10:11:34,0
"38","{13E2A342-78A4-43E0-A291-2797CD20638B}","A9909.DCE",19990315,2124,2109,2142,2098,2137,2119,180810,NA,208204,13,NA,2,2016-03-17 10:11:34,0
"39","{98DAC0F1-E7B7-449E-84E4-3C335ECC984A}","A9909.DCE",19990316,2119,2136,2137,2120,2127,2129,90084,NA,200740,8,NA,2,2016-03-17 10:11:34,0
"40","{4F1C4AC0-4D91-47C4-8E97-17FF8779FA96}","A9909.DCE",19990317,2129,2140,2155,2127,2131,2144,138202,NA,167022,2,NA,2,2016-03-17 10:11:34,0
"41","{F01C8772-C7EE-4236-A3DF-8A18D116D559}","A9909.DCE",19990318,2144,2127,2147,2127,2145,2139,78776,NA,173538,1,NA,2,2016-03-17 10:11:34,0
"42","{8D332890-F96E-4389-9F97-5CA1032F5008}","A9909.DCE",19990319,2139,2170,2200,2168,2190,2183,146788,NA,195572,51,NA,2,2016-03-17 10:11:34,0
"43","{525ABFF9-B526-4028-A744-47F3CEC56826}","A9909.DCE",19990322,2183,2205,2230,2202,2220,2215,121660,NA,183264,37,NA,2,2016-03-17 10:11:34,0
"44","{67E770C8-932D-457C-AF1E-EC44194F62AA}","A9909.DCE",19990323,2215,2239,2255,2238,2250,2246,120066,NA,178662,35,NA,2,2016-03-17 10:11:34,0
"45","{490129CD-D241-401D-B145-849C0BB8CC98}","A9909.DCE",19990324,2246,2242,2248,2233,2238,2241,65602,NA,172068,-8,NA,2,2016-03-17 10:11:34,0
"46","{D8DBC790-193E-4681-B6F6-6577209E6700}","A9909.DCE",19990325,2241,2230,2243,2228,2242,2236,75860,NA,174688,1,NA,2,2016-03-17 10:11:34,0
"47","{427DEBA0-FACE-424B-8D98-E0A6E858CD97}","A9909.DCE",19990326,2236,2255,2270,2255,2263,2265,94736,NA,164880,27,NA,2,2016-03-17 10:11:34,0
"48","{1E00CB16-7D16-4F1A-92BF-2E497E9AB3DF}","A9909.DCE",19990329,2265,2256,2258,2216,2217,2239,101604,NA,157524,-48,NA,2,2016-03-17 10:11:34,0
"49","{56BE73AB-D6D9-4838-BFA3-6C98FEE46C26}","A9909.DCE",19990330,2239,2211,2231,2205,2214,2219,116238,NA,169542,-25,NA,2,2016-03-17 10:11:34,0
"50","{F580C331-D66D-40B6-A9C9-B5204ADC2E1D}","A9909.DCE",19990331,2219,2220,2230,2198,2205,2207,100830,NA,165654,-14,NA,2,2016-03-17 10:11:34,0
"51","{9D2CE4C4-AFA7-412C-A3C9-3FEAAE1E26AD}","A9909.DCE",19990401,2207,2171,2182,2166,2180,2175,79580,NA,162856,-27,NA,2,2016-03-17 10:11:34,0
"52","{EB69D1EC-66BB-4143-975F-5DC2096FDF2A}","A9909.DCE",19990402,2175,2183,2190,2173,2190,2180,38394,NA,162486,15,NA,2,2016-03-17 10:11:34,0
"53","{60EA9A0A-4485-4181-8256-CEED4B81F9A9}","A9909.DCE",19990405,2180,2192,2194,2171,2174,2181,75856,NA,157344,-6,NA,2,2016-03-17 10:11:34,0
"54","{9C6C42FE-D402-4240-826C-EAECBBEACEAE}","A9909.DCE",19990406,2181,2168,2195,2165,2193,2179,59054,NA,151294,12,NA,2,2016-03-17 10:11:34,0
"55","{E4C144F0-D46C-4D9D-987F-9AD162E1E4F3}","A9909.DCE",19990407,2179,2188,2210,2179,2182,2195,70436,NA,143004,3,NA,2,2016-03-17 10:11:34,0
"56","{5148A8F5-7B35-44BC-BC01-6F9EF486FEA6}","A9909.DCE",19990408,2195,2175,2188,2170,2173,2177,39024,NA,138456,-22,NA,2,2016-03-17 10:11:34,0
"57","{D166D4F3-E330-41E3-99EA-2ABA7B744FEA}","A9909.DCE",19990409,2177,2168,2170,2121,2136,2146,107778,NA,128464,-41,NA,2,2016-03-17 10:11:34,0
"58","{F64EC119-2486-49B7-A981-E5FB0D5816B7}","A9909.DCE",19990412,2146,2102,2117,2057,2102,2089,133572,NA,112296,-44,NA,2,2016-03-17 10:11:34,0
"59","{0EACA9E3-49C8-481B-AF12-787122E9F4D6}","A9909.DCE",19990413,2089,2096,2102,2083,2091,2092,42292,NA,113180,2,NA,2,2016-03-17 10:11:34,0
"60","{C231568B-15BB-4B16-BE22-E478E5B28F75}","A9909.DCE",19990414,2092,2091,2105,2061,2085,2087,73268,NA,115160,-7,NA,2,2016-03-17 10:11:34,0
"61","{85203127-7C9F-4870-9FDF-1C447A3A781F}","A9909.DCE",19990415,2087,2091,2093,2073,2073,2083,34564,NA,112206,-14,NA,2,2016-03-17 10:11:34,0
"62","{A027932A-3AF7-4A10-8F02-808DA126F5FD}","A9909.DCE",19990416,2083,2069,2095,2057,2089,2075,77388,NA,112674,6,NA,2,2016-03-17 10:11:34,0
"63","{270BDD17-D812-4B00-8E5E-8ECF77068839}","A9909.DCE",19990419,2075,2083,2089,2075,2078,2080,15126,NA,112460,3,NA,2,2016-03-17 10:11:34,0
"64","{AB0CA9D6-F624-413C-A412-53DC25A709C4}","A9909.DCE",19990420,2080,2076,2090,2068,2080,2077,32842,NA,110306,NA,NA,2,2016-03-17 10:11:34,0
"65","{EFEE8D5C-9D3E-4D6F-BAD4-BA3AD8E2A78A}","A9909.DCE",19990421,2077,2086,2115,2084,2113,2097,43416,NA,113294,36,NA,2,2016-03-17 10:11:34,0
"66","{C82E3955-5DFA-4ACD-9BC2-0F01053E77A5}","A9909.DCE",19990422,2097,2109,2112,2069,2069,2092,81660,NA,113818,-28,NA,2,2016-03-17 10:11:34,0
"67","{358907C6-9E6D-4C3C-A6BE-B3A99061DF9A}","A9909.DCE",19990423,2092,2049,2075,2040,2069,2060,93226,NA,118502,-23,NA,2,2016-03-17 10:11:34,0
"68","{376577C2-6FE7-4C06-8915-417A97894479}","A9909.DCE",19990426,2060,2070,2075,2057,2068,2066,38516,NA,119032,8,NA,2,2016-03-17 10:11:34,0
"69","{3A576E34-520C-48EF-96ED-DCF66640A6AC}","A9909.DCE",19990427,2066,2064,2065,2028,2039,2043,110144,NA,113052,-27,NA,2,2016-03-17 10:11:34,0
"70","{0B2ECC8F-D49F-4229-BCBB-2BC120ECCBCD}","A9909.DCE",19990428,2043,2031,2035,2019,2030,2026,68596,NA,110416,-13,NA,2,2016-03-17 10:11:34,0
"71","{E696590A-E9E0-4AB6-BEE1-AC7323323D97}","A9909.DCE",19990429,2026,2032,2040,2029,2033,2034,25690,NA,109986,7,NA,2,2016-03-17 10:11:34,0
"72","{BAF7B3C0-7CDA-4583-AE2A-E07583C45667}","A9909.DCE",19990430,2034,2023,2029,2013,2027,2020,33924,NA,108744,-7,NA,2,2016-03-17 10:11:34,0
"73","{E04997D2-4D3F-451B-9053-56C9A1DE9F26}","A9909.DCE",19990504,2020,2035,2046,2022,2042,2036,25606,NA,108946,22,NA,2,2016-03-17 10:11:34,0
