"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{16396D8B-7A92-415B-B9AB-D865BB20AAA2}","AL9506.SHF",19950417,NA,19500,19600,19490,19500,19530,1240,NA,6580,NA,6580,2,2016-03-17 10:11:23,0
"2","{989310CF-FC77-49DB-8AB5-03C8518700FD}","AL9506.SHF",19950418,19530,19550,19600,19450,19500,19520,740,NA,6540,-30,-40,2,2016-03-17 10:11:23,0
"3","{91B6F30E-00C0-41F0-9067-3AE4020FAF78}","AL9506.SHF",19950419,19520,19550,19550,19460,19460,19500,590,NA,6430,-60,-110,2,2016-03-17 10:11:23,0
"4","{2FEA24D4-1FB6-4403-86CE-A471A8C51164}","AL9506.SHF",19950420,19500,19200,19400,19180,19180,19280,1550,NA,6320,-320,-110,2,2016-03-17 10:11:23,0
"5","{2426C2B2-54EA-4867-A460-408334DEA97F}","AL9507.SHF",19950421,18840,18700,18850,18700,18850,18760,1200,NA,6030,10,-370,2,2016-03-17 10:11:23,0
"6","{B4790E9C-13C4-4967-BB43-DDC0F1F5E216}","AL9507.SHF",19950424,18760,19200,19230,19200,19230,19220,510,NA,6070,470,40,2,2016-03-17 10:11:23,0
"7","{C44207F3-4490-4CAC-87FE-F7C4CAC45FC5}","AL9507.SHF",19950425,19220,19200,19290,19180,19230,19220,630,NA,6170,10,100,2,2016-03-17 10:11:23,0
"8","{FA11491E-7352-4DD5-BD9F-10154B8B56AB}","AL9507.SHF",19950426,19220,18850,18970,18850,18900,18870,2550,NA,6210,-320,40,2,2016-03-17 10:11:23,0
"9","{F297C424-9B16-433E-979A-7EDB023E7648}","AL9507.SHF",19950427,18870,18850,18880,18680,18700,18760,1970,NA,5960,-170,-250,2,2016-03-17 10:11:23,0
"10","{EB3385C7-A4B3-41B0-AD2C-E121998DB94F}","AL9507.SHF",19950428,18760,18750,18890,18750,18890,18810,470,NA,6100,130,140,2,2016-03-17 10:11:23,0
"11","{5EE76D26-2A29-4A0C-8A39-72CA83A3C98E}","AL9507.SHF",19950502,18810,18650,18870,18650,18870,18780,480,NA,6170,60,70,2,2016-03-17 10:11:23,0
"12","{72166285-6139-4B75-BAAF-EBFB05F40076}","AL9507.SHF",19950503,18780,19000,19040,18900,19030,18980,800,NA,5910,250,-260,2,2016-03-17 10:11:23,0
"13","{87A65371-59F6-4E6D-A95B-F01CC2E45B9B}","AL9507.SHF",19950504,18980,19080,19140,19080,19140,19120,1000,NA,5560,160,-350,2,2016-03-17 10:11:23,0
"14","{645C2C29-FA1D-4D92-A990-33CCB9945CC6}","AL9507.SHF",19950505,19120,19110,19260,19110,19250,19200,510,NA,5890,130,330,2,2016-03-17 10:11:23,0
"15","{422C365A-19E1-4296-8C1B-D4B5CB0888E5}","AL9507.SHF",19950508,19200,19300,19350,19300,19310,19300,740,NA,5200,110,-690,2,2016-03-17 10:11:23,0
"16","{DB25CB25-7630-41A1-AE23-853CF65E1C4D}","AL9507.SHF",19950509,19300,19320,19440,19320,19440,19370,1170,NA,4960,140,-240,2,2016-03-17 10:11:23,0
"17","{D10AC0B6-115D-40A3-AD41-A6CF9753AB10}","AL9507.SHF",19950512,19390,19450,19470,19390,19470,19410,660,NA,5840,80,-80,2,2016-03-17 10:11:23,0
"18","{CA661D18-B34E-4B83-839F-E3A53E289B32}","AL9507.SHF",19950515,19410,19400,19580,19400,19580,19500,1030,NA,6220,170,380,2,2016-03-17 10:11:23,0
"19","{63DEE494-2DCC-42E9-98DE-8F6FC3E65DA3}","AL9507.SHF",19950516,19500,19660,19740,19660,19720,19700,1000,NA,6130,220,-90,2,2016-03-17 10:11:23,0
"20","{77A022CE-1017-4EA9-83B8-DC8FA608DCCA}","AL9507.SHF",19950517,19700,19720,19860,19720,19860,19820,1640,NA,6490,160,360,2,2016-03-17 10:11:23,0
"21","{DBF02674-2D91-431E-B28C-C306566096FF}","AL9507.SHF",19950518,19820,19800,19860,19750,19860,19800,780,NA,6480,40,-10,2,2016-03-17 10:11:23,0
"22","{1F77A5A7-3C75-4250-88A9-A9E6E76E2D18}","AL9507.SHF",19950519,19800,19800,19800,19760,19780,19780,540,NA,6560,-20,80,2,2016-03-17 10:11:23,0
"23","{F5A01011-9583-4ED4-A8F4-96A601AC4AEB}","AL9507.SHF",19950522,19780,19740,19760,19730,19740,19740,400,NA,6580,-40,20,2,2016-03-17 10:11:23,0
"24","{BCCB41AA-CDAB-4926-9BA9-70977BF97857}","AL9507.SHF",19950523,19740,19800,19900,19800,19860,19850,580,NA,6480,120,-100,2,2016-03-17 10:11:23,0
"25","{DEF9F57F-9A23-4E1D-B586-575315E7D472}","AL9507.SHF",19950524,19850,19850,19940,19850,19940,19910,690,NA,6060,90,-420,2,2016-03-17 10:11:23,0
"26","{E475AAEE-A9E8-411C-ADFD-61944CAF99AE}","AL9507.SHF",19950525,19910,20000,20220,20000,20170,20150,1600,NA,5490,260,-570,2,2016-03-17 10:11:23,0
"27","{7B09897D-DB5B-41BB-B174-232D51086F11}","AL9508.SHF",19950526,19840,19810,19940,19810,19940,19880,1010,NA,5410,100,-210,2,2016-03-17 10:11:23,0
"28","{D56D1130-0B17-4C29-A0BB-B76CA91F0CF6}","AL9508.SHF",19950529,19880,20000,20190,20000,20190,20080,390,NA,5320,310,-90,2,2016-03-17 10:11:23,0
"29","{52206552-2832-4B39-97BE-987C0ED04AED}","AL9508.SHF",19950530,20080,19950,20400,19950,20400,20280,1510,NA,5160,320,-160,2,2016-03-17 10:11:23,0
"30","{B33A616D-C350-4555-8DA1-9F5021269BC1}","AL9508.SHF",19950531,20280,20500,20680,20500,20630,20610,1890,NA,5060,350,-100,2,2016-03-17 10:11:23,0
"31","{F48B1207-F027-4B97-AF22-2B9536496013}","AL9508.SHF",19950601,20610,20630,20630,20220,20220,20320,1990,NA,5690,-390,630,2,2016-03-17 10:11:23,0
"32","{86D4821B-27B4-4E69-9EB8-9455E8DB4690}","AL9508.SHF",19950602,20320,20300,20380,20180,20190,20260,1190,NA,6090,-130,400,2,2016-03-17 10:11:23,0
"33","{3E015388-D1FC-40E9-A673-929B4BC0C66A}","AL9508.SHF",19950605,20260,20010,20300,20000,20200,20210,1390,NA,6370,-60,280,2,2016-03-17 10:11:23,0
"34","{4A4965BD-7C12-411D-811F-EE8D98E2B7A6}","AL9508.SHF",19950606,20210,20200,20270,20200,20210,20210,720,NA,6640,0,270,2,2016-03-17 10:11:23,0
"35","{4AB1C9C9-517B-446F-8201-1DF96857BB05}","AL9508.SHF",19950607,20210,20150,20200,20130,20200,20150,1110,NA,7030,-10,390,2,2016-03-17 10:11:23,0
"36","{1C12385D-9278-4E0C-A66C-CA82CA42B1EF}","AL9508.SHF",19950608,20150,20440,20440,20300,20380,20390,500,NA,6980,230,-50,2,2016-03-17 10:11:23,0
"37","{903999D5-AD65-470C-9B7E-BE38B508DA88}","AL9508.SHF",19950609,20390,20400,20400,20300,20320,20350,610,NA,6990,-70,10,2,2016-03-17 10:11:23,0
"38","{9C00287E-E88B-4656-B646-4E1E56F2811A}","AL9508.SHF",19950612,20350,20380,20460,20380,20420,20440,700,NA,7160,70,170,2,2016-03-17 10:11:23,0
"39","{6C1E0A91-14F5-4AC9-A8D5-7D3861421085}","AL9508.SHF",19950613,20440,20400,20420,20390,20420,20400,580,NA,6940,-20,-220,2,2016-03-17 10:11:23,0
"40","{E18B99CF-C3C2-477B-B61D-F12F60508520}","AL9508.SHF",19950614,20400,20200,20350,20200,20320,20300,980,NA,7060,-80,120,2,2016-03-17 10:11:23,0
"41","{BF46DAFE-08AE-4747-B46C-F797DCE9FF28}","AL9508.SHF",19950615,20300,20220,20300,20100,20140,20160,1470,NA,7540,-160,480,2,2016-03-17 10:11:23,0
"42","{D8E57F3E-5E9F-4F47-9AA5-397C4F121F03}","AL9508.SHF",19950616,20160,20200,20450,20200,20450,20270,910,NA,7510,290,-30,2,2016-03-17 10:11:24,0
"43","{E82461EC-7313-4946-82DC-1208B92775FB}","AL9508.SHF",19950619,20270,20390,20430,20270,20270,20360,890,NA,7190,0,-320,2,2016-03-17 10:11:24,0
"44","{1BD3856B-CF0E-476B-B0FF-D9D89E544AFD}","AL9508.SHF",19950620,20360,20200,20320,20200,20320,20290,470,NA,7140,-40,-50,2,2016-03-17 10:11:24,0
"45","{6DA165DF-3AD2-405E-9E7F-7EE35AC1EDAE}","AL9508.SHF",19950621,20290,20450,20450,20340,20380,20390,1080,NA,6390,90,-750,2,2016-03-17 10:11:24,0
"46","{110CEFC3-2DB5-49AA-9BBF-4D4249BA5542}","AL9508.SHF",19950622,20390,20450,20610,20450,20600,20560,1800,NA,5190,210,-1200,2,2016-03-17 10:11:24,0
"47","{4EA3B962-8A17-4378-A75D-0DA0768A377A}","AL9509.SHF",19950623,20390,20490,20900,20490,20900,20880,2030,NA,5540,510,280,2,2016-03-17 10:11:24,0
"48","{670B7CF5-B5B6-4A9A-B1AD-87E3B49B0B9D}","AL9509.SHF",19950626,20880,20900,20900,20850,20890,20890,1360,NA,5670,10,130,2,2016-03-17 10:11:24,0
"49","{B9F2A901-4452-4D39-898B-BDC2FF594253}","AL9509.SHF",19950627,20890,20750,20750,20470,20470,20540,1010,NA,5260,-420,-410,2,2016-03-17 10:11:24,0
