"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{7FC21282-1BE4-48F9-AAD6-DB84FAF4C458}","AU0806.SHF",20080109,209.99,230.95,230.99,221.88,223.3,224.74,103364,2323012.882,16342,13.31,16342,2,2016-03-17 10:41:51,0
"2","{4CE97843-46BB-42D0-A005-48DB137EF240}","AU0806.SHF",20080110,224.74,222.5,222.85,213.7,215.12,217.68,87984,1915319.066,23494,-9.62,7152,2,2016-03-17 10:41:52,0
"3","{D570E002-228F-47C3-AB89-F1C7A25A47AD}","AU0806.SHF",20080111,217.68,218,219.23,215.5,218.1,217.79,85418,1860399.66,25424,0.42,1930,2,2016-03-17 10:41:52,0
"4","{B60CFA83-DAFB-47DE-BF0E-520FACE1B53F}","AU0806.SHF",20080114,217.79,218.85,220.25,217.6,220.1,219.28,60776,1332697.132,27714,2.31,2290,2,2016-03-17 10:41:52,0
"5","{31498130-F644-4B72-8372-79F5573ACD9B}","AU0806.SHF",20080115,219.28,220.7,224.6,220.3,223.8,223.11,88242,1968832.39,29866,4.52,2152,2,2016-03-17 10:41:52,0
"6","{88BB2736-A9B3-4C50-8427-EBF2C210C96F}","AU0806.SHF",20080116,223.11,220.6,220.6,215.4,215.89,217.51,94362,2052469.576,29582,-7.22,-284,2,2016-03-17 10:41:52,0
"7","{539CE96F-8C2A-4E00-8750-DD8E8AA534AC}","AU0806.SHF",20080117,217.51,214.03,216.8,213.5,216.47,215.5,61962,1335293.776,30916,-1.04,1334,2,2016-03-17 10:41:52,0
"8","{79E51E49-887F-4651-827E-542151704BBD}","AU0806.SHF",20080118,215.5,214,214.9,212.42,214.7,213.72,58006,1239706.9,29538,-0.8,-1378,2,2016-03-17 10:41:52,0
"9","{D6273644-C94D-4D14-8D4E-F05C5ECF5E8D}","AU0806.SHF",20080121,213.72,214.7,216.33,213.8,214.2,215.2,43510,936340.278,30294,0.48,756,2,2016-03-17 10:41:52,0
"10","{5EFD4599-9AD1-418C-8B44-33E896F27E56}","AU0806.SHF",20080122,215.2,208,209.5,204.72,206.42,207.58,78532,1630184.494,29326,-8.78,-968,2,2016-03-17 10:41:52,0
