"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{6528DA4D-6B02-44B4-820A-B2D51287A1A6}","BB1405.DCE",20131206,126,126.05,129,123,125.85,126.5,87078,550860.04,4052,-0.15,4052,2,2016-03-17 11:10:01,0
"2","{48DEBB1A-3FBC-40E8-87B3-DBE2303A99A7}","BB1405.DCE",20131209,126.5,126,131.55,124.75,131.55,129.45,62682,405833.38,12556,5.05,8504,2,2016-03-17 11:10:01,0
"3","{1E999BCE-24C0-444E-85B5-99EFB520E3CB}","BB1405.DCE",20131210,129.45,133,135.65,131.7,132.95,133.45,342330,2284816.22,27272,3.5,14716,2,2016-03-17 11:10:02,0
"4","{E3F8D511-0338-4837-B727-68DF5B3AA5D2}","BB1405.DCE",20131211,133.45,132.95,136.6,132,136.25,134.05,343232,2301307.48,49252,2.8,21980,2,2016-03-17 11:10:02,0
"5","{DFE3E678-7516-420B-910D-BC92A82A5EEA}","BB1405.DCE",20131212,134.05,136.1,138.05,133.8,134.05,135.7,532196,3611988.53,47298,0,-1954,2,2016-03-17 11:10:02,0
"6","{733D6AE1-BAF4-4C13-99DB-659F65B69112}","BB1405.DCE",20131213,135.7,133.7,135.1,132.3,132.85,133.55,244810,1634983.37,37858,-2.85,-9440,2,2016-03-17 11:10:02,0
"7","{E59A86FF-072F-4A69-B311-CF3A9AE17185}","BB1405.DCE",20131216,133.55,133.1,134.9,132.1,134.5,133.7,252466,1688099.9,47976,0.95,10118,2,2016-03-17 11:10:03,0
"8","{F5F7FFB5-4929-431A-8110-E87ABD62B7BE}","BB1405.DCE",20131217,133.7,134.95,134.95,132.4,132.55,133.7,197926,1323174.87,44078,-1.15,-3898,2,2016-03-17 11:10:03,0
"9","{18D12D4A-678F-4A4E-93BF-B581EC14AC3F}","BB1405.DCE",20131218,133.7,132.6,133.05,129.7,131.35,131.1,231182,1515455.98,42176,-2.35,-1902,2,2016-03-17 11:10:03,0
"10","{439AB1E9-AD2B-4429-93C5-CF1961F2427E}","BB1405.DCE",20131219,131.1,131.4,132.1,130.55,131.35,131.4,128568,844737.76,43722,0.25,1546,2,2016-03-17 11:10:04,0
"11","{CCDA54DB-E06D-4734-A37B-FBDBA1370315}","BB1405.DCE",20131220,131.4,131.15,131.9,129.85,130.95,130.65,122328,799377.57,39572,-0.45,-4150,2,2016-03-17 11:10:04,0
"12","{4D072283-5EDB-4182-AB24-8FF99A8BBD2C}","BB1405.DCE",20131223,130.65,130.9,133.35,130.6,131.75,132.05,187814,1240045.72,46882,1.1,7310,2,2016-03-17 11:10:04,0
"13","{1986199F-BAF8-485E-B7AF-94E6754CFFD0}","BB1405.DCE",20131224,132.05,131.9,133.35,131,132.05,132.2,208442,1378260.95,66380,0,19498,2,2016-03-17 11:10:04,0
"14","{93FB4592-EE2C-4BE6-BC05-4C213B4A061A}","BB1405.DCE",20131225,132.2,132.35,133.2,130.55,130.6,132.3,169752,1123107.48,73346,-1.6,6966,2,2016-03-17 11:10:05,0
"15","{78F7803A-E1F5-405B-BB4B-80DA64A9F571}","BB1405.DCE",20131226,132.3,130.15,130.2,127.05,127.05,128.1,200080,1282007.72,64060,-5.25,-9286,2,2016-03-17 11:10:05,0
"16","{AF5734AF-2A7F-45B1-9CE6-619E7EB74199}","BB1405.DCE",20131227,128.1,126.05,126.45,124.35,124.5,125.15,266966,1671203.96,67064,-3.6,3004,2,2016-03-17 11:10:05,0
"17","{E5973835-A54A-412F-94FC-1AFE4CE41C43}","BB1405.DCE",20131230,125.15,124,124.5,120.5,122.85,122.85,264712,1626003.27,63302,-2.3,-3762,2,2016-03-17 11:10:06,0
"18","{3C0F590B-FC99-49B8-A9D6-38ACECDE5690}","BB1405.DCE",20131231,122.85,122.5,123.75,121.7,122.85,122.8,131290,806259.09,59742,0,-3560,2,2016-03-17 11:10:06,0
"19","{28715EB1-D2CB-4448-B93C-E0B3571790EF}","BB1405.DCE",20140102,122.8,123,123.5,121.35,121.55,122.2,98992,604906.84,64480,-1.25,4738,2,2016-03-17 11:10:06,0
"20","{3E035CF7-3F3F-4DDC-BE72-FE5816436EF2}","BB1405.DCE",20140103,122.2,120.95,122.65,120.1,122.5,121.3,125444,760870.49,55958,0.3,-8522,2,2016-03-17 11:10:06,0
"21","{94EAFA94-C00C-4031-AD8C-3F9EE70B5C37}","BB1405.DCE",20140106,121.3,122.35,122.45,117.4,120.35,119.4,324644,1938177.47,53322,-0.95,-2636,2,2016-03-17 11:10:07,0
"22","{F48DF5A8-0340-4D0C-9039-74A7E8D2447B}","BB1405.DCE",20140107,119.4,120.95,122.35,120.15,121.1,121.3,235264,1426964.31,53530,1.7,208,2,2016-03-17 11:10:07,0
