"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{7ECCE322-FE09-4223-93CB-C0E43AEE537C}","B0505.DCE",20041222,2600,2630,2649,2598,2602,2618,100100,262144.53,30458,2,30458,2,2016-03-17 10:12:12,0
"2","{318D51B0-6CFE-4F7D-9583-BB2535623561}","B0505.DCE",20041223,2618,2601,2607,2587,2597,2595,35732,92745.86,28756,-21,-1702,2,2016-03-17 10:12:12,0
"3","{69CCDB81-2994-488F-8C7D-1BB7AA668AC9}","B0505.DCE",20041224,2595,2605,2607,2595,2597,2598,10740,27912.7,25284,2,-3472,2,2016-03-17 10:12:12,0
"4","{90593926-463F-4D73-87D5-3ABA1F92DF3D}","B0505.DCE",20041227,2598,2600,2602,2581,2590,2594,13200,34240.91,21720,-8,-3564,2,2016-03-17 10:12:12,0
"5","{3BBA58A0-0954-4E86-9C4C-85C311CE779B}","B0505.DCE",20041228,2594,2604,2605,2586,2591,2595,8126,21087.63,20312,-3,-1408,2,2016-03-17 10:12:12,0
"6","{FEFCF32D-6FE3-4BF5-9C81-71C2741EE431}","B0505.DCE",20041229,2595,2583,2593,2566,2569,2577,8584,22129.09,19742,-26,-570,2,2016-03-17 10:12:12,0
"7","{1AE02F59-D990-4DC6-A446-0AEB1C3127D1}","B0505.DCE",20041230,2577,2580,2585,2570,2576,2577,5074,13078.69,18384,-1,-1358,2,2016-03-17 10:12:12,0
"8","{9AAD6500-607D-43F4-8C58-AE0A45918E77}","B0505.DCE",20041231,2577,2581,2583,2578,2583,2580,1372,3540.55,17604,6,-780,2,2016-03-17 10:12:12,0
"9","{4A7F1DF1-0887-46F4-B9D7-52DD6386592F}","B0505.DCE",20050104,2580,2570,2570,2533,2540,2543,3838,9761.91,17576,-40,-28,2,2016-03-17 10:12:12,0
"10","{084E2C2E-B653-42E5-B50C-AD7F5A1131D5}","B0505.DCE",20050105,2543,2520,2550,2515,2548,2535,9560,24242.6,15620,5,-1956,2,2016-03-17 10:12:12,0
"11","{6BCD5427-C7D5-4BC2-8530-8C5FD206EEAB}","B0505.DCE",20050106,2535,2544,2558,2538,2554,2547,3694,9410.26,14898,19,-722,2,2016-03-17 10:12:12,0
"12","{B3317FBF-F9AD-4688-A4D5-F8C175F74328}","B0505.DCE",20050107,2547,2560,2587,2560,2577,2578,7732,19936.91,14282,30,-616,2,2016-03-17 10:12:12,0
"13","{21536431-3E37-429C-9782-F0255A8F36E0}","B0505.DCE",20050110,2578,2584,2592,2567,2575,2579,4962,12798.29,13272,-3,-1010,2,2016-03-17 10:12:12,0
"14","{E3EF25D6-F3F1-420A-8471-76471E428136}","B0505.DCE",20050111,2579,2600,2600,2585,2590,2590,3130,8107.3,12726,11,-546,2,2016-03-17 10:12:13,0
"15","{4FDAF5FF-31DE-4EE5-AE5D-12084942C8DE}","B0505.DCE",20050112,2590,2585,2593,2582,2583,2588,1660,4296.36,12458,-7,-268,2,2016-03-17 10:12:13,0
"16","{79F6CA8E-C685-460F-B4B2-28C5D1CCFEAD}","B0505.DCE",20050113,2588,2571,2585,2570,2578,2577,1108,2855.76,12368,-10,-90,2,2016-03-17 10:12:13,0
"17","{B2B17F92-FCE6-44B0-BFCB-300282FD75DF}","B0505.DCE",20050114,2577,2580,2589,2561,2564,2571,3090,7947.23,12252,-13,-116,2,2016-03-17 10:12:13,0
"18","{A1CF9764-82C2-446D-BE7A-791A3338846D}","B0505.DCE",20050117,2571,2545,2572,2542,2556,2552,1936,4942.4,11618,-15,-634,2,2016-03-17 10:12:13,0
"19","{9209A49B-EEAC-4D7F-AF07-4A6A769F9F5B}","B0505.DCE",20050118,2552,2552,2570,2540,2570,2556,1834,4688.73,11484,18,-134,2,2016-03-17 10:12:13,0
"20","{CA10C9BE-EC74-4C68-AD60-A981E0EF2D77}","B0505.DCE",20050119,2556,2558,2575,2555,2567,2562,1200,3074.83,11186,11,-298,2,2016-03-17 10:12:13,0
"21","{F19B96EB-C4D7-43FF-A5B2-A0D7CB0A5368}","B0505.DCE",20050120,2562,2570,2570,2553,2556,2557,2660,6802.08,10856,-6,-330,2,2016-03-17 10:12:13,0
"22","{77340EAE-388D-470F-8135-D36186390B0B}","B0505.DCE",20050121,2557,2558,2560,2545,2547,2549,5494,14007.9,10636,-10,-220,2,2016-03-17 10:12:13,0
