"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{A1FA7E1B-7B12-4E71-BC2E-9FFC7468E950}","BU1402.SHF",20131009,4458,4598,4658,4470,4476,4532,318682,1444431.3,65246,18,65246,2,2016-05-05 08:45:18,1
"2","{F12582D0-A5AD-463E-B4B1-DFA6F3F08570}","BU1402.SHF",20131010,4532,4460,4522,4452,4502,4494,204880,921073.732,54008,-30,-11238,2,2016-05-05 08:45:18,1
"3","{1DDECA14-E2D3-4747-A7D8-848793A9D5D3}","BU1402.SHF",20131011,4494,4510,4524,4456,4466,4492,180100,809156.864,60936,-28,6928,2,2016-05-05 08:45:18,1
"4","{EF48017F-7A9B-4112-AF27-807F1D8BE06E}","BU1402.SHF",20131014,4492,4476,4490,4434,4444,4456,148998,664122.624,67386,-48,6450,2,2016-05-05 08:45:18,1
"5","{366831A8-C7C0-4920-BAB5-BA9C1368CA91}","BU1402.SHF",20131015,4456,4448,4494,4436,4442,4462,201544,899332.128,63700,-14,-3686,2,2016-05-05 08:45:18,1
"6","{B2C20835-5FF0-4BCC-9D2F-59E5C00B9BA2}","BU1402.SHF",20131016,4462,4428,4484,4428,4432,4452,206374,918818.82,67078,-30,3378,2,2016-05-05 08:45:18,1
"7","{9D015F45-F4FA-4742-8247-DBC04C48E72D}","BU1402.SHF",20131017,4452,4448,4460,4408,4410,4434,142864,633465.308,73002,-42,5924,2,2016-05-05 08:45:18,1
"8","{13F2C0BE-81BC-403F-B7AC-1657310E2905}","BU1402.SHF",20131018,4434,4412,4430,4402,4404,4414,88740,391792.924,75164,-30,2162,2,2016-05-05 08:45:18,1
"9","{415DCC61-EC96-40A2-A870-45D75D5DD960}","BU1402.SHF",20131021,4414,4410,4466,4406,4452,4448,154962,689381.824,58838,38,-16326,2,2016-05-05 08:45:18,1
"10","{01D8A49A-DD87-4E68-8583-44F80D030803}","BU1402.SHF",20131022,4448,4444,4454,4428,4440,4436,57890,256906.348,56140,-8,-2698,2,2016-05-05 08:45:18,1
