"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{AC053982-D20E-4FFB-8CFD-BE760624D6A7}","CF0411.CZC",20040601,NA,16000,16000,NA,14670,14820,2044,15146.19,810,NA,NA,2,2016-03-17 10:12:06,0
"2","{6D190203-D543-4635-B7C7-1B05F9B4BFB5}","CF0411.CZC",20040602,14820,14700,14700,NA,14225,14315,1240,8875,1116,NA,306,2,2016-03-17 10:12:06,0
"3","{DA846EAD-4964-4032-8C02-E9D99D78FA67}","CF0411.CZC",20040603,14315,13528,14005,NA,13630,13690,2432,16647.74,1198,NA,82,2,2016-03-17 10:12:06,0
"4","{EF3707B1-B0B5-4B86-A7FB-F79F1CEA9971}","CF0411.CZC",20040604,13690,13500,13880,NA,13765,13735,2388,16397.42,1432,NA,234,2,2016-03-17 10:12:06,0
"5","{A6EC1684-7CF1-4DC2-85D6-7FB0F535C962}","CF0411.CZC",20040607,13735,13800,13950,NA,13870,13870,2470,17130.29,1684,NA,252,2,2016-03-17 10:12:06,0
"6","{3F687D41-3B48-46B4-A900-10A9094D1FB7}","CF0411.CZC",20040608,13870,13810,13850,NA,13675,13645,2926,19963.08,1630,NA,-54,2,2016-03-17 10:12:06,0
"7","{4FE4BB70-E8EF-4B77-9912-B7BDF1B0CFA7}","CF0411.CZC",20040609,13645,13700,13775,NA,13650,13675,1468,10035.8,1642,NA,12,2,2016-03-17 10:12:06,0
"8","{7272C7D9-49BA-4F21-8B0C-2055BF688C8B}","CF0411.CZC",20040610,13675,13690,13770,NA,13690,13685,1218,8334.75,1644,NA,2,2,2016-03-17 10:12:06,0
"9","{34BD848C-72D7-4292-BF59-4FF9BB5E87B4}","CF0411.CZC",20040611,13685,13720,13770,NA,13675,13700,934,6396.98,1568,NA,-76,2,2016-03-17 10:12:06,0
"10","{9081513F-DBA9-40B8-9BEC-E7F7647552D9}","CF0411.CZC",20040614,13700,13695,13700,NA,13660,13670,1272,8693.8,2142,NA,574,2,2016-03-17 10:12:06,0
"11","{31666845-DAD9-46D3-ACFA-7CA47F357C2E}","CF0411.CZC",20040615,13670,13655,13655,NA,13265,13360,3910,26115.6,2498,NA,356,2,2016-03-17 10:12:06,0
"12","{228BEA23-2E79-4113-B172-6CA7F5AD212E}","CF0411.CZC",20040616,13360,13050,13150,NA,13100,13085,2772,18135.16,2932,NA,434,2,2016-03-17 10:12:06,0
"13","{AD47B091-96C0-4E6D-823F-E19725E576C8}","CF0411.CZC",20040617,13085,13000,13230,NA,13185,13090,3100,20291.85,3032,NA,100,2,2016-03-17 10:12:06,0
"14","{DD5BEAE3-7483-4ED2-A44D-170BDF275439}","CF0411.CZC",20040618,13090,13180,13210,NA,13100,13095,2992,19591.02,3348,NA,316,2,2016-03-17 10:12:06,0
"15","{CAA3DF66-5ADA-4BA7-AA03-0AC8C1987673}","CF0411.CZC",20040621,13095,13130,13130,NA,12960,13025,3956,25760.8,3476,NA,128,2,2016-03-17 10:12:06,0
"16","{2339982F-2E16-4846-AA3F-6A1C27EE3DF7}","CF0411.CZC",20040622,13025,12800,12900,NA,12680,12735,5344,34034.22,3972,NA,496,2,2016-03-17 10:12:06,0
"17","{7399A796-D1AD-47F5-B497-D9F77E970D5F}","CF0411.CZC",20040623,12735,12510,12960,NA,12880,12780,7444,47564.79,4516,NA,544,2,2016-03-17 10:12:06,0
"18","{2BC26C65-DE4A-406F-BADC-A7557C88ACC1}","CF0411.CZC",20040624,12780,12950,13240,NA,13200,13100,7984,52290.67,4782,NA,266,2,2016-03-17 10:12:06,0
"19","{8D10D245-A660-4C94-B4C9-D67E8E31D144}","CF0411.CZC",20040625,13100,13260,13375,NA,13165,13180,9172,60432.35,4792,NA,10,2,2016-03-17 10:12:06,0
"20","{75FBB9C5-0B99-42D6-80DB-F3A23EFB800E}","CF0411.CZC",20040628,13180,13210,13220,NA,13030,13080,6688,43732.8,5018,NA,226,2,2016-03-17 10:12:06,0
"21","{4F8F427B-04A2-4FD5-8232-84B3B902635A}","CF0411.CZC",20040629,13080,12960,13375,NA,13335,13170,18692,123079.41,6806,NA,1788,2,2016-03-17 10:12:06,0
"22","{253F6F5F-0CA8-41A5-9F04-689258ABEF50}","CF0411.CZC",20040630,13170,13295,13450,NA,13345,13355,21046,140530.59,8050,NA,1244,2,2016-03-17 10:12:06,0
"23","{95FCCD3E-5E4A-44D1-B319-0B0F57DE7197}","CF0411.CZC",20040701,13355,13295,13400,NA,13340,13320,16478,109748.65,9074,NA,1024,2,2016-03-17 10:12:07,0
"24","{EDB2A726-1215-4992-8F01-903C63F9D5CA}","CF0411.CZC",20040702,13320,13315,13380,NA,13270,13320,15512,103307.27,9096,NA,22,2,2016-03-17 10:12:07,0
"25","{BEE7E845-5B44-4322-B8A1-26EE8ADD89EA}","CF0411.CZC",20040705,13320,13230,13260,NA,12785,13000,23688,153991.73,8976,NA,-120,2,2016-03-17 10:12:07,0
"26","{A953DD58-BEB5-4710-ABE5-B9BB4206C8E4}","CF0411.CZC",20040706,13000,12670,12905,NA,12830,12810,25378,162543.01,9570,NA,594,2,2016-03-17 10:12:07,0
"27","{074DE5F0-6F8C-45EB-963F-E2A430F4D0F7}","CF0411.CZC",20040707,12810,12850,12975,NA,12830,12890,19508,125752.95,8234,NA,-1336,2,2016-03-17 10:12:07,0
"28","{792CF64B-5E49-4BD7-B567-B0503E9EB238}","CF0411.CZC",20040708,12890,12900,12900,NA,12805,12770,17258,110209.62,8464,NA,230,2,2016-03-17 10:12:07,0
"29","{60DAFFBA-A4A7-433A-BBE6-E0242709F851}","CF0411.CZC",20040709,12770,12760,12980,NA,12965,12920,15724,101581.06,7414,NA,-1050,2,2016-03-17 10:12:07,0
"30","{8B87AA21-2C60-42F0-AA7B-42A5CC8826F8}","CF0411.CZC",20040712,12920,13000,13440,NA,13440,13310,29716,197728.86,9842,NA,2428,2,2016-03-17 10:12:07,0
"31","{EDF12C28-B5E1-45F3-8BC3-D35CAF82BB8F}","CF0411.CZC",20040713,13310,13375,13470,NA,13200,13210,36754,242799.92,8898,NA,-944,2,2016-03-17 10:12:07,0
"32","{2726C342-2DE5-4B78-B081-CD09309C74FD}","CF0411.CZC",20040714,13210,13190,13190,NA,13125,13110,27288,178852.72,11580,NA,2682,2,2016-03-17 10:12:07,0
"33","{468765FD-30D8-4EEA-95C3-61F8E047D26C}","CF0411.CZC",20040715,13110,13150,13315,NA,13285,13245,24420,161720.02,12558,NA,978,2,2016-03-17 10:12:07,0
"34","{2C437B7D-2E85-4A68-AFE0-C3B30A2C1DAC}","CF0411.CZC",20040716,13245,13325,13345,NA,13210,13280,22596,150012.08,12496,NA,-62,2,2016-03-17 10:12:07,0
"35","{CBCC2D11-FF28-4F93-A03A-1A22928311D7}","CF0411.CZC",20040719,13280,13270,13385,NA,13355,13320,27956,186210.14,13376,NA,880,2,2016-03-17 10:12:07,0
"36","{D08440A5-E5AD-42C0-A314-3A44F79D2075}","CF0411.CZC",20040720,13320,13370,13440,NA,13395,13390,24524,164210.01,14242,NA,866,2,2016-03-17 10:12:07,0
"37","{C71F3C75-1EB7-4832-93FE-A277DFFCAE8B}","CF0411.CZC",20040721,13390,13450,13920,NA,13380,13445,37648,253079.67,14266,NA,24,2,2016-03-17 10:12:07,0
"38","{C52248BC-D8E6-45E2-8AF8-6057A0DC5E4D}","CF0411.CZC",20040722,13445,13280,13480,NA,13385,13425,31184,209319.12,14182,NA,-84,2,2016-03-17 10:12:07,0
"39","{7A92F9AF-906C-4F0C-8FD6-F0F8154A1F88}","CF0411.CZC",20040723,13425,13320,13395,NA,13195,13225,31948,211294.45,13102,NA,-1080,2,2016-03-17 10:12:07,0
"40","{66B14DC4-EAE5-4E09-BA6C-39DC0AD6FE7A}","CF0411.CZC",20040726,13225,13195,13195,NA,13085,13110,23478,153884.73,12932,NA,-170,2,2016-03-17 10:12:07,0
