"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{00B31CEE-7485-4DCE-A5B6-48F174315A6B}","CS1505.DCE",20141219,2800,2800,2834,2784,2793,2806,29124,81747.73,4928,-7,4928,2,2016-03-17 11:11:21,0
"2","{EACCD330-FBAA-43C0-B249-F4A0863F3611}","CS1505.DCE",20141222,2806,2795,2800,2727,2738,2755,26170,72117.01,8132,-68,3204,2,2016-03-17 11:11:21,0
"3","{2ACA077C-3906-4F9B-B3AA-11DBA5A6DD5E}","CS1505.DCE",20141223,2755,2736,2760,2715,2740,2745,18726,51420.06,8664,-15,532,2,2016-03-17 11:11:22,0
"4","{0F369FA8-897A-4A87-B353-74CCCCBBC06F}","CS1505.DCE",20141224,2745,2747,2760,2741,2752,2752,8284,22801.85,7722,7,-942,2,2016-03-17 11:11:22,0
"5","{960039B7-75FC-4808-80C5-207CCB44ECBC}","CS1505.DCE",20141225,2752,2750,2750,2665,2727,2724,20260,55191.82,8792,-25,1070,2,2016-03-17 11:11:22,0
"6","{D96120E8-FD88-4767-B98C-BD7C958D48E3}","CS1505.DCE",20141226,2724,2727,2738,2718,2721,2726,9158,24965.14,9116,-3,324,2,2016-03-17 11:11:23,0
"7","{B2CB1AC0-4118-4C0F-AF0C-B450764EC97E}","CS1505.DCE",20141229,2726,2722,2737,2720,2731,2729,5406,14753.944,8528,5,-588,2,2016-03-17 11:11:23,0
"8","{8A3F75A0-54C8-4AE7-8916-BB771DEB7F2C}","CS1505.DCE",20141230,2729,2727,2733,2710,2721,2721,9056,24642.152,8196,-8,-332,2,2016-03-17 11:11:23,0
"9","{AF6F07FB-B4EF-46BD-AF5B-63A69ADCF150}","CS1505.DCE",20141231,2721,2728,2728,2708,2713,2718,5280,14353.346,7520,-8,-676,2,2016-03-17 11:11:24,0
"10","{035E9B1A-5F81-4F62-8444-BAEBD1B3D8AE}","CS1505.DCE",20150105,2718,2718,2718,2678,2684,2691,13408,36086.178,9790,-34,2270,2,2016-03-17 11:11:24,0
"11","{AABE88E1-F75B-42F3-A2D5-B37C9B28D490}","CS1505.DCE",20150106,2691,2689,2697,2624,2630,2652,28882,76600.89,14276,-61,4486,2,2016-03-17 11:11:24,0
"12","{2E80401C-B4B3-4BE1-9489-5267C06DC072}","CS1505.DCE",20150107,2652,2640,2651,2625,2643,2639,16506,43573.9,12144,-9,-2132,2,2016-03-17 11:11:24,0
"13","{7099B36B-8821-48FF-AC9E-AFED5C67FBE2}","CS1505.DCE",20150108,2639,2640,2657,2636,2652,2648,10858,28758.114,12230,13,86,2,2016-03-17 11:11:25,0
"14","{9FDAAC7B-E3FA-4D97-9C91-B442DF5BD3AF}","CS1505.DCE",20150109,2648,2652,2662,2637,2648,2648,12278,32523.114,12758,0,528,2,2016-03-17 11:11:25,0
"15","{220E86C6-A6C0-424E-B6BE-0B467F60AFA0}","CS1505.DCE",20150112,2648,2649,2660,2648,2658,2653,8452,22428.156,12546,10,-212,2,2016-03-17 11:11:25,0
"16","{AD4F86D2-6A45-43CA-9369-76A781364608}","CS1505.DCE",20150113,2653,2658,2661,2638,2658,2646,10230,27075.3,13294,5,748,2,2016-03-17 11:11:25,0
"17","{F2FB9E9E-9128-47C6-8D35-3F7916DFDBAA}","CS1505.DCE",20150114,2646,2646,2665,2646,2647,2654,8676,23028.726,12464,1,-830,2,2016-03-17 11:11:26,0
"18","{130F2262-D722-4663-881E-6AED19D24115}","CS1505.DCE",20150115,2654,2645,2663,2640,2662,2654,7404,19650.93,12536,8,72,2,2016-03-17 11:11:26,0
"19","{2CD706EE-E5DD-43C7-920F-7ABC0E9E2011}","CS1505.DCE",20150116,2654,2660,2693,2655,2684,2675,11940,31949.694,12184,30,-352,2,2016-03-17 11:11:26,0
