"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{960118E1-0F08-4575-82B0-380FCE8A7739}","CU9507.SHF",19950417,NA,29150,29180,29110,29130,29140,2600,NA,22240,NA,22240,2,2016-03-17 10:11:23,0
"2","{19C1A691-AFBC-436D-8C5D-3CCFAA53A3DB}","CU9507.SHF",19950418,29140,29200,29320,29200,29250,29260,4250,NA,21870,110,-370,2,2016-03-17 10:11:23,0
"3","{3AD2B92A-08AA-49E9-A859-370730448990}","CU9507.SHF",19950419,29260,29230,29230,29080,29100,29110,4340,NA,23230,-160,1360,2,2016-03-17 10:11:23,0
"4","{F0002686-1760-454E-AD8B-FE359BA684A2}","CU9507.SHF",19950420,29110,28520,28700,28520,28520,28520,10250,NA,24360,-590,1130,2,2016-03-17 10:11:23,0
"5","{E625245D-4AEB-44BF-9E7C-7D150B0CC656}","CU9507.SHF",19950421,28520,28510,28550,28050,28200,28200,17700,NA,22170,-320,-2190,2,2016-03-17 10:11:23,0
"6","{D2CBF185-D411-4DFE-A98C-C7CBD5029151}","CU9507.SHF",19950424,28200,28400,28680,28400,28670,28560,7730,NA,23150,470,980,2,2016-03-17 10:11:23,0
"7","{2D6AC8DF-E19B-4308-B0FB-7907BD75C6C3}","CU9507.SHF",19950425,28560,28200,28350,28150,28300,28280,6410,NA,22330,-260,-820,2,2016-03-17 10:11:23,0
"8","{023211A6-6C32-4C47-BABC-C593F2DCF4E1}","CU9507.SHF",19950426,28280,27730,27730,27730,27730,27730,2450,NA,22470,-550,140,2,2016-03-17 10:11:23,0
"9","{3EBC7A51-00C4-42D7-8AB7-E25100B0A8F9}","CU9507.SHF",19950427,27730,27680,27740,27530,27530,27610,12420,NA,19690,-200,-2780,2,2016-03-17 10:11:23,0
"10","{DF1554E0-03F1-4A02-9338-D7415ECD8B4D}","CU9507.SHF",19950428,27610,27600,27700,27580,27660,27660,4430,NA,18330,50,-1360,2,2016-03-17 10:11:23,0
"11","{74F7FA13-35A1-445B-821E-89C03DA48B8D}","CU9507.SHF",19950502,27660,27700,27860,27600,27860,27770,4650,NA,19120,200,790,2,2016-03-17 10:11:23,0
"12","{9FFD722C-1393-405D-8E33-0E48909D8B8D}","CU9507.SHF",19950503,27770,27800,28300,27800,28160,28120,10160,NA,20360,390,1240,2,2016-03-17 10:11:23,0
"13","{EDEE5D9B-6FB7-4D95-8BF8-D74A9C10B41B}","CU9507.SHF",19950504,28120,28360,28400,28100,28180,28290,6910,NA,21290,60,930,2,2016-03-17 10:11:23,0
"14","{A8B60EA4-4AD9-43D1-8701-2CFDCDA23045}","CU9507.SHF",19950505,28290,27640,27940,27620,27920,27830,5910,NA,21270,-370,-20,2,2016-03-17 10:11:23,0
"15","{CAE5722B-6180-4E90-B89D-4DC360318E0E}","CU9507.SHF",19950508,27830,28180,28280,28100,28250,28210,4120,NA,22880,420,1610,2,2016-03-17 10:11:23,0
"16","{D41C0C9B-6E86-49DB-9391-9E72B7057DFD}","CU9507.SHF",19950509,28210,28300,28340,28200,28250,28260,3480,NA,22310,40,-570,2,2016-03-17 10:11:23,0
"17","{A780FBF2-AD69-4B5F-B23C-8B683DC94BD9}","CU9507.SHF",19950512,28290,28300,28300,28130,28220,28210,6430,NA,24170,-70,1190,2,2016-03-17 10:11:23,0
"18","{C9286D7B-8531-447A-AFB1-FD70BABE3470}","CU9507.SHF",19950515,28210,28200,28400,28110,28390,28240,4370,NA,24990,180,820,2,2016-03-17 10:11:23,0
"19","{8D71E845-9B73-4A7A-A5CE-4248F16263B3}","CU9507.SHF",19950516,28240,28450,28500,28350,28350,28400,3080,NA,25280,110,290,2,2016-03-17 10:11:23,0
"20","{81EB1B92-9732-4543-AB25-4B1E0F9EE21B}","CU9507.SHF",19950517,28400,28400,28450,28380,28420,28410,1990,NA,24800,20,-480,2,2016-03-17 10:11:23,0
"21","{724E0747-1EC8-44D8-897A-6C95BA7B9B53}","CU9507.SHF",19950518,28410,28320,28340,28230,28270,28270,2260,NA,24470,-140,-330,2,2016-03-17 10:11:23,0
"22","{DBDC09F5-6C26-4FA9-BBCA-6526791AACAA}","CU9507.SHF",19950519,28270,28230,28240,28120,28180,28150,3040,NA,24630,-90,160,2,2016-03-17 10:11:23,0
"23","{777FA728-8497-481D-B333-49800704A463}","CU9507.SHF",19950522,28150,28000,28020,27920,28020,27970,2620,NA,24600,-130,-30,2,2016-03-17 10:11:23,0
"24","{70ADCEAB-5EE0-422F-A8F2-A07DECE6D6D3}","CU9507.SHF",19950523,27970,27820,28200,27820,28160,28080,1900,NA,24310,190,-290,2,2016-03-17 10:11:23,0
"25","{417FBA2C-5BEC-4C22-8FF2-B94CCD1F1459}","CU9507.SHF",19950524,28080,28500,28550,28450,28510,28510,7010,NA,21020,430,-3290,2,2016-03-17 10:11:23,0
"26","{1E3EFDB3-8A2F-4C19-A171-6CA3333796A4}","CU9507.SHF",19950525,28510,28680,28880,28680,28870,28750,6710,NA,18510,360,-2510,2,2016-03-17 10:11:23,0
"27","{FCF421E4-6E07-431C-A873-4F76CDAB563B}","CU9507.SHF",19950526,28750,28900,28900,28760,28850,28820,4410,NA,17640,100,-870,2,2016-03-17 10:11:23,0
"28","{610F937F-79B1-46C3-99ED-BBD766044AF5}","CU9507.SHF",19950529,28820,28950,29360,28950,29360,29210,7890,NA,14000,540,-3640,2,2016-03-17 10:11:23,0
"29","{FB5DA86D-3D47-4A81-9D0C-8E6612734E9A}","CU9507.SHF",19950530,29210,29360,29380,29270,29320,29310,3530,NA,13390,110,-610,2,2016-03-17 10:11:23,0
"30","{F2086352-5C5F-48ED-8759-5B48A4FDAFEF}","CU9507.SHF",19950531,29310,29400,29600,29400,29590,29520,3350,NA,13230,280,-160,2,2016-03-17 10:11:23,0
"31","{A26DA3AD-CB0B-4208-90C2-7D4AFBE83015}","CU9508.SHF",19950601,29300,29490,29490,29000,29180,29180,6800,NA,14630,-120,960,2,2016-03-17 10:11:23,0
"32","{EBCB1DB5-4C65-4D03-B49A-5F0F5A26233D}","CU9508.SHF",19950602,29180,29550,29600,29320,29380,29440,7160,NA,15590,200,960,2,2016-03-17 10:11:23,0
"33","{2A70E000-1180-4D58-91A2-BAACEA71AE0D}","CU9508.SHF",19950605,29440,29250,29260,29060,29240,29220,1560,NA,15800,-200,210,2,2016-03-17 10:11:23,0
