"","AnnRet","Win","MRet","MWRet","MWPnL","MLRet","MLPnL","Ts","TDs","MDD","MDD.SD","MDD.ED","MPnL","Forces","UP","UPCLOSE","DOWN","DOWNCLOSE","HoldMins","startegy","Corr","Beta"
"1",-37.77,47.9759,-0.0146,0.091,39,-0.1119,-48,1828,163,28.7,"20150107","20150828",-6,117,1,0,1,0,13.62,"A2AG",0.19,0.1
"2",-28.85,49.1501,-0.0141,0.1003,43,-0.1247,-53,1412,163,21.99,"20150107","20150828",-6,108,1.5,0,1.5,0,15.24,"A2AG",0.19,0.1
"3",-17.23,50.3899,-0.0113,0.1162,49,-0.1407,-60,1026,163,14.12,"20150107","20150824",-5,90,2,0,2,0,17.18,"A2AG",0.19,0.1
"4",-10.09,48.8889,-0.0094,0.1384,59,-0.1507,-64,720,163,9.77,"20150107","20150824",-4,64,2.5,0,2.5,0,18.94,"A2AG",0.19,0.1
"5",1.38,50.7212,0.0022,0.1703,72,-0.1707,-73,416,163,6.2,"20150722","20150824",1,38,3,0,3,0,19.64,"A2AG",0.19,0.1
"6",-42.51,49.0651,-0.0195,0.0718,31,-0.1076,-46,1551,163,32.78,"20150105","20150821",-8,90,1,0,1,0,12.77,"A2AL",0.31,0.37
"7",-27.34,51.8933,-0.0162,0.0843,36,-0.1246,-53,1162,163,21.76,"20150105","20150821",-7,79,1.5,0,1.5,0,14.64,"A2AL",0.31,0.37
"8",-21.64,52.2589,-0.018,0.0928,40,-0.1393,-59,819,163,17,"20150204","20150821",-8,69,2,0,2,0,16.84,"A2AL",0.31,0.37
"9",-12.44,50.9091,-0.015,0.1091,47,-0.1438,-61,550,163,10.02,"20150204","20150821",-6,53,2.5,0,2.5,0,18.47,"A2AL",0.31,0.37
"10",-2.75,53.3951,-0.0055,0.1315,56,-0.1625,-70,324,163,4.11,"20150209","20150504",-2,37,3,0,3,0,20.15,"A2AL",0.31,0.37
"11",-44.9,52.7466,-0.0181,0.0808,34,-0.1284,-55,1784,163,34.05,"20150122","20150828",-8,115,1,0,1,0,14.02,"A2AU",0.23,0.21
"12",-31.01,54.9275,-0.0156,0.0926,40,-0.1474,-63,1380,163,25.92,"20150123","20150827",-7,106,1.5,0,1.5,0,15.69,"A2AU",0.23,0.21
"13",-20.37,53.3593,-0.0135,0.1106,47,-0.1554,-66,1027,163,18.81,"20150122","20150827",-6,96,2,0,2,0,17.26,"A2AU",0.23,0.21
"14",-6.52,55.7746,-0.006,0.1314,56,-0.1793,-76,710,163,10.48,"20150121","20150522",-2,77,2.5,0,2.5,0,18.4,"A2AU",0.23,0.21
"15",2.16,59.3381,0.0034,0.1587,68,-0.2234,-95,423,163,6.75,"20150722","20150826",2,41,3,0,3,0,20.36,"A2AU",0.23,0.21
"16",-56.75,46.1583,-0.0243,0.1022,44,-0.1328,-57,1731,163,44.94,"20150120","20150831",-10,115,1,0,1,0,14.87,"A2B",0.68,0.65
"17",-46.76,49.0255,-0.0253,0.107,46,-0.1525,-65,1334,163,36.58,"20150128","20150831",-11,106,1.5,0,1.5,0,16.66,"A2B",0.68,0.65
"18",-29.25,52.7805,-0.0197,0.1148,49,-0.17,-72,1025,163,23.35,"20150128","20150831",-8,90,2,0,2,0,17.91,"A2B",0.68,0.65
"19",-5.77,53.9788,-0.0051,0.1356,58,-0.1701,-73,754,163,10.75,"20150202","20150506",-2,72,2.5,0,2.5,0,19.08,"A2B",0.68,0.65
"20",9.67,55.0388,0.0119,0.1628,69,-0.1727,-74,516,163,5.61,"20150127","20150330",5,52,3,0,3,0,20.29,"A2B",0.68,0.65
"21",-53.5,44.5679,-0.0242,0.1043,44,-0.1276,-54,1620,163,42.03,"20150121","20150820",-10,102,1,0,1,0,14.36,"A2BB",0.11,0.06
"22",-38.81,45.5392,-0.0213,0.1107,47,-0.1317,-56,1289,163,30.44,"20150121","20150820",-9,91,1.5,0,1.5,0,15.15,"A2BB",0.11,0.06
"23",-31.15,46.5957,-0.023,0.1127,48,-0.1413,-60,940,163,24.11,"20150121","20150813",-10,75,2,0,2,0,16.7,"A2BB",0.11,0.06
"24",-19.52,47.4886,-0.0202,0.1226,52,-0.1492,-63,657,163,15.41,"20150108","20150820",-9,61,2.5,0,2.5,0,17.46,"A2BB",0.11,0.06
"25",-9.05,48.0638,-0.0138,0.138,59,-0.1542,-66,439,163,8.98,"20150203","20150817",-6,42,3,0,3,0,18.21,"A2BB",0.11,0.06
"26",-11.86,46.2029,-0.0042,0.1072,46,-0.0998,-42,1883,163,15.61,"20150120","20150403",-2,110,1,0,1,0,12.28,"A2BU",0.22,0.12
"27",0.92,48.7332,5e-04,0.1216,52,-0.1147,-49,1342,163,9.82,"20150204","20150403",0,98,1.5,0,1.5,0,14.35,"A2BU",0.22,0.12
