"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{2F7A876C-EF57-4FF1-9A9C-E6D0981C6066}","ER0909.CZC",20090420,1940,2050,2071,2030,2038,2046,65970,134962.97,11494,NA,11494,2,2016-03-17 10:42:22,0
"2","{AB9D086A-8DCC-49BA-BEE0-EEB095DA4B44}","ER0909.CZC",20090421,2046,2028,2068,2011,2045,2051,129300,265232.35,17940,NA,6446,2,2016-03-17 10:42:22,0
"3","{C2BE99D1-267B-48D4-AF7C-2DD999A6FFF0}","ER0909.CZC",20090422,2051,2051,2058,2035,2043,2045,42174,86265.24,15602,NA,-2338,2,2016-03-17 10:42:22,0
"4","{A3D92A02-37A9-4E20-AD33-7211AADE2C08}","ER0909.CZC",20090423,2045,2045,2053,2038,2049,2045,22176,45359.2,12794,NA,-2808,2,2016-03-17 10:42:22,0
"5","{9FED4893-7828-4C6D-BA63-DA22200CFD42}","ER0909.CZC",20090424,2045,2048,2048,2038,2042,2042,10992,22443.36,11076,NA,-1718,2,2016-03-17 10:42:23,0
"6","{DC35B6A8-D14A-49A4-8845-3D8B88AAEC17}","ER0909.CZC",20090427,2042,2040,2040,2020,2034,2033,14394,29262.14,10740,NA,-336,2,2016-03-17 10:42:23,0
"7","{0F825650-1086-47D7-AF2C-EC62AFEECD8D}","ER0909.CZC",20090428,2033,2035,2036,2025,2033,2031,6874,13958.21,9088,NA,-1652,2,2016-03-17 10:42:23,0
"8","{32866862-E3B8-461F-BC04-352783868115}","ER0909.CZC",20090429,2031,2034,2035,2030,2033,2032,3320,6745.94,8322,NA,-766,2,2016-03-17 10:42:23,0
"9","{9944AE4C-0272-4EAD-A604-AC7A8B22B251}","ER0909.CZC",20090430,2032,2035,2038,2032,2038,2035,7332,14922.14,8456,NA,134,2,2016-03-17 10:42:23,0
"10","{07A59816-D13B-43E9-89B6-26D7C2839AFC}","ER0909.CZC",20090504,2035,2045,2049,2040,2048,2046,11322,23163.49,11910,NA,3454,2,2016-03-17 10:42:23,0
"11","{CF13BCC0-D914-4B85-ADBB-7EDBFB4066F3}","ER0909.CZC",20090505,2046,2049,2050,2037,2037,2041,9674,19748.73,10338,NA,-1572,2,2016-03-17 10:42:23,0
"12","{559B6B9B-F888-4DF1-B746-517ABB36DCBA}","ER0909.CZC",20090506,2041,2038,2039,2032,2035,2035,5188,10560.09,9966,NA,-372,2,2016-03-17 10:42:23,0
"13","{33B83032-1A6E-4AA9-B5A5-9EBE5F4C4400}","ER0909.CZC",20090507,2035,2037,2044,2035,2040,2041,6798,13871.99,11118,NA,1152,2,2016-03-17 10:42:24,0
"14","{CB6168A6-97DF-43DE-A310-805A0FE2F706}","ER0909.CZC",20090508,2041,2040,2042,2032,2040,2037,4940,10062.08,9628,NA,-1490,2,2016-03-17 10:42:24,0
"15","{0B50FF7D-0974-4C94-A555-28A5C704B904}","ER0909.CZC",20090511,2037,2040,2040,2035,2038,2037,2294,4672,9148,NA,-480,2,2016-03-17 10:42:24,0
"16","{6C148101-97C5-472B-B4D5-DEA265C74C64}","ER0909.CZC",20090512,2037,2038,2041,2033,2041,2037,12514,25494.64,9778,NA,630,2,2016-03-17 10:42:24,0
"17","{2535120F-DAE3-4A6D-8D94-957DE4BF4554}","ER0909.CZC",20090513,2037,2041,2042,2035,2037,2037,7372,15018.7,9310,NA,-468,2,2016-03-17 10:42:24,0
"18","{7709935F-86C9-45B8-A81B-7A8004120D71}","ER0909.CZC",20090514,2037,2035,2040,2035,2039,2038,4942,10071.6,9404,NA,94,2,2016-03-17 10:42:24,0
"19","{A2097B6F-48DE-4AB3-8F4C-B138FCAFC994}","ER0909.CZC",20090515,2038,2039,2041,2036,2038,2039,6306,12859.9,9698,NA,294,2,2016-03-17 10:42:24,0
"20","{352910C7-A2BE-4473-83D2-CDBC8EC58A39}","ER0909.CZC",20090518,2039,2035,2040,2034,2038,2036,8350,17004.49,8422,NA,-1276,2,2016-03-17 10:42:24,0
"21","{ED8165BD-8771-49D8-8F61-0FBE9B6E9714}","ER0909.CZC",20090519,2036,2040,2040,2036,2039,2038,1890,3851.17,8390,NA,-32,2,2016-03-17 10:42:25,0
"22","{DFB63715-F16D-418D-A5B3-7DAF8D9CC6FC}","ER0909.CZC",20090520,2038,2038,2040,2036,2037,2038,3740,7623.75,8586,NA,196,2,2016-03-17 10:42:25,0
"23","{BA008C6E-3B65-47DD-8B6A-67361FA5B41E}","ER0909.CZC",20090521,2038,2036,2038,2035,2036,2036,2714,5525.51,7636,NA,-950,2,2016-03-17 10:42:25,0
"24","{8A1E7CF5-8827-47F3-8EBB-23C79587EB63}","ER0909.CZC",20090522,2036,2035,2037,2034,2036,2035,1254,2552.31,7810,NA,174,2,2016-03-17 10:42:25,0
"25","{EBA340D8-AF44-4B87-9B1A-81312EC0859E}","ER0909.CZC",20090525,2035,2036,2038,2033,2036,2036,4782,9735.03,6766,NA,-1044,2,2016-03-17 10:42:25,0
"26","{5B3B9813-65B4-4BCE-BE41-084D123BEE3B}","ER0909.CZC",20090526,2036,2035,2035,2030,2031,2032,1802,3662.42,6452,NA,-314,2,2016-03-17 10:42:25,0
"27","{1687F09A-5AFF-4AF8-A1B6-3ECA5C75700A}","ER0909.CZC",20090527,2032,2033,2033,2025,2027,2027,1642,3328.26,6310,NA,-142,2,2016-03-17 10:42:25,0
"28","{50063798-DCE5-41D7-8BFE-AB72C14B0627}","ER0909.CZC",20090601,2027,2028,2032,2027,2029,2029,3654,7415.71,6412,NA,102,2,2016-03-17 10:42:25,0
"29","{3B389794-C3E1-4EA1-B835-67AACF388E98}","ER0909.CZC",20090602,2029,2032,2034,2028,2032,2031,6308,12810.21,6940,NA,528,2,2016-03-17 10:42:26,0
"30","{A7379ABB-6A64-4748-AF39-62C2AF66F175}","ER0909.CZC",20090603,2031,2030,2033,2028,2031,2031,3020,6133.02,6630,NA,-310,2,2016-03-17 10:42:26,0
"31","{DC625C12-8133-47E8-BADD-863191207CAC}","ER0909.CZC",20090604,2031,2029,2031,2028,2030,2030,1396,2833.91,6626,NA,-4,2,2016-03-17 10:42:26,0
"32","{9C0D88EA-2525-4B18-A1D0-E54F797DCBA4}","ER0909.CZC",20090605,2030,2031,2033,2029,2030,2031,8052,16355.65,7500,NA,874,2,2016-03-17 10:42:26,0
"33","{07D19ED3-3739-495F-B9ED-499083DBB6E8}","ER0909.CZC",20090608,2031,2029,2033,2027,2031,2031,3528,7165.68,8824,NA,1324,2,2016-03-17 10:42:26,0
"34","{701AB3D2-434B-40AF-A24B-305DA7B1AECB}","ER0909.CZC",20090609,2031,2033,2091,2031,2075,2072,48634,100746.78,15800,NA,6976,2,2016-03-17 10:42:26,0
