"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{4D039227-64FD-4C29-B82C-77D89836AB19}","FB1405.DCE",20131206,76,74.8,74.95,71.8,72.05,73.15,102076,373455.88,10462,-3.95,10462,2,2016-03-17 11:10:01,0
"2","{EDD3E51B-B30A-488D-94EF-5D8668E38E66}","FB1405.DCE",20131209,73.15,71.5,76.05,71.4,74.15,74.4,381842,1420895.57,27074,1,16612,2,2016-03-17 11:10:02,0
"3","{0D6CD5E0-6E70-4EF5-A937-986395A303F7}","FB1405.DCE",20131210,74.4,73.95,74.85,72.3,72.6,73.5,429364,1578616.74,37456,-1.8,10382,2,2016-03-17 11:10:02,0
"4","{974E8B04-979A-415F-B50E-D575BA085345}","FB1405.DCE",20131211,73.5,72.6,73.5,72.35,73.4,72.9,257088,937709.3,35208,-0.1,-2248,2,2016-03-17 11:10:02,0
"5","{87406B65-29C0-4EBA-B6AA-EC367B90F598}","FB1405.DCE",20131212,72.9,73.5,75.8,73.3,75.35,75.15,407892,1533143.93,40950,2.45,5742,2,2016-03-17 11:10:02,0
"6","{37E45105-27F1-4F64-B126-7BFCB44CEED6}","FB1405.DCE",20131213,75.15,75.15,75.85,73.8,74.8,74.8,461736,1727226.43,42202,-0.35,1252,2,2016-03-17 11:10:02,0
"7","{D5922B58-DE83-41FE-BF9A-7E7558C3B282}","FB1405.DCE",20131216,74.8,74.9,75.65,73.6,74.7,74.45,273528,1018363.05,40610,-0.1,-1592,2,2016-03-17 11:10:03,0
"8","{9F63E978-9BAC-4602-BDDF-25A82EEF54FC}","FB1405.DCE",20131217,74.45,74.9,75.35,74.2,74.2,74.65,200904,749916.97,37974,-0.25,-2636,2,2016-03-17 11:10:03,0
"9","{5B905172-6791-4485-890F-0A8245ECD0F3}","FB1405.DCE",20131218,74.65,74,74.4,72.95,73.6,73.6,186512,686756.03,33076,-1.05,-4898,2,2016-03-17 11:10:03,0
"10","{52D3A8D9-5995-4620-830D-87137B08F5CA}","FB1405.DCE",20131219,73.6,73.6,73.85,72.75,72.95,73.25,128378,470281.34,30656,-0.65,-2420,2,2016-03-17 11:10:04,0
