"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{265C1DBA-94C4-4A40-A321-5EA0FFA00629}","FG1305.CZC",20121203,1420,1373,1385,1314,1318,1336,694116,1854936.74,82472,-102,82472,2,2016-03-17 11:09:06,0
"2","{EE5B5229-D6DB-4611-867D-DFB0D5D69731}","FG1305.CZC",20121204,1336,1309,1326,1296,1311,1311,1373086,3599460.46,168662,-25,86190,2,2016-03-17 11:09:06,0
"3","{FD0F97C7-EDAD-4C9E-8D54-FDC7783BD27F}","FG1305.CZC",20121205,1311,1313,1345,1311,1331,1326,1526540,4048523.05,148090,20,-20572,2,2016-03-17 11:09:07,0
"4","{7D8331C6-62EB-486E-B74D-4A7CCF34038B}","FG1305.CZC",20121206,1326,1333,1338,1320,1325,1330,1005208,2673938.36,166778,-1,18688,2,2016-03-17 11:09:07,0
"5","{F08B9B40-8CD6-4A1D-800B-D87582DC8DFA}","FG1305.CZC",20121207,1330,1322,1340,1319,1331,1329,903684,2401748.97,136784,1,-29994,2,2016-03-17 11:09:07,0
"6","{EABEA1B4-2CDE-4E1C-8377-3DDF85E56D55}","FG1305.CZC",20121210,1329,1331,1344,1331,1336,1337,631448,1688531.61,148746,7,11962,2,2016-03-17 11:09:07,0
"7","{2F51218F-57CB-4A1C-B9FF-3090B1A674E3}","FG1305.CZC",20121211,1337,1335,1337,1286,1293,1312,1624386,4262496.5,305548,-44,156802,2,2016-03-17 11:09:08,0
"8","{43368332-CF2C-4102-8F39-85B2D05A6BBD}","FG1305.CZC",20121212,1312,1289,1306,1283,1299,1295,1755162,4546074.63,223502,-13,-82046,2,2016-03-17 11:09:08,0
"9","{1E8C7CC5-9C9A-497D-8450-9CA8D5A27605}","FG1305.CZC",20121213,1295,1297,1312,1282,1289,1296,1986856,5149768.83,306244,-6,82742,2,2016-03-17 11:09:08,0
"10","{6B80F756-C96D-4CCC-A600-8D6F5C3069DC}","FG1305.CZC",20121214,1296,1287,1315,1283,1304,1297,1926362,4997673.43,239266,8,-66978,2,2016-03-17 11:09:08,0
"11","{0F20C321-7412-4694-A11A-5ABAA1F9FF39}","FG1305.CZC",20121217,1297,1307,1335,1307,1327,1323,1997146,5284402.57,230150,30,-9116,2,2016-03-17 11:09:08,0
"12","{7D0D232A-3FDD-43A0-810D-13197A8A5F63}","FG1305.CZC",20121218,1323,1328,1339,1316,1325,1325,1888574,5006469.64,239250,2,9100,2,2016-03-17 11:09:08,0
"13","{FF46FB49-C4B9-4284-8DDB-07C3CD0D00ED}","FG1305.CZC",20121219,1325,1324,1353,1318,1351,1339,2774384,7428322.84,419230,26,179980,2,2016-03-17 11:09:08,0
"14","{A3082202-12BE-4BEC-AC7E-F3E6F4719D12}","FG1305.CZC",20121220,1339,1348,1356,1342,1350,1349,2593940,6997654.32,391226,11,-28004,2,2016-03-17 11:09:09,0
"15","{9E277421-9545-4338-84DD-5A1AD8E1BEEB}","FG1305.CZC",20121221,1349,1345,1354,1330,1336,1339,1961266,5250765.44,278578,-13,-112648,2,2016-03-17 11:09:09,0
"16","{957929F6-A2F0-4FB5-8606-F2F7C60FD369}","FG1305.CZC",20121224,1339,1336,1349,1334,1344,1343,1234044,3314346.28,279034,5,456,2,2016-03-17 11:09:09,0
"17","{07F28F61-7B6C-4E50-96E0-BF22220A5722}","FG1305.CZC",20121225,1343,1344,1363,1339,1352,1351,1561036,4218131.85,278818,9,-216,2,2016-03-17 11:09:10,0
"18","{38601702-6024-4C37-82CF-0382C4477A60}","FG1305.CZC",20121226,1351,1351,1354,1344,1352,1349,995884,2687211.74,252746,1,-26072,2,2016-03-17 11:09:10,0
"19","{2886378A-B4DA-4603-902E-17A5AD1D55CC}","FG1305.CZC",20121227,1349,1358,1367,1349,1352,1356,963506,2613326.03,224072,3,-28674,2,2016-03-17 11:09:10,0
"20","{AA84DF82-EFB4-4329-9735-619DC6D05571}","FG1305.CZC",20121228,1356,1353,1364,1343,1351,1353,1175326,3180969.15,189374,-5,-34698,2,2016-03-17 11:09:10,0
"21","{236C7F35-BD73-4E0C-A527-D066C4060146}","FG1305.CZC",20121231,1353,1352,1365,1349,1363,1357,500112,1357232.86,136002,10,-53372,2,2016-03-17 11:09:10,0
"22","{F569A749-9627-4B04-BE39-21C3F7B29006}","FG1305.CZC",20130104,1357,1371,1425,1367,1425,1406,1001748,2817686.44,241454,68,105452,2,2016-03-17 11:09:10,0
"23","{34AE9FEE-D98F-489F-9237-AC8454D4D494}","FG1305.CZC",20130107,1406,1440,1468,1433,1445,1448,1558552,4513034.18,217758,39,-23696,2,2016-03-17 11:09:11,0
"24","{73D9C736-2E09-4537-940C-D23E22FE29E2}","FG1305.CZC",20130108,1448,1438,1470,1427,1457,1450,2761400,8008364.18,306490,9,88732,2,2016-03-17 11:09:11,0
"25","{4FBB284E-2446-4808-9E70-96204455E98D}","FG1305.CZC",20130109,1450,1459,1476,1452,1476,1461,2100312,6135615.69,444362,26,137872,2,2016-03-17 11:09:11,0
"26","{42F3A41E-E7F3-43DC-8B5F-740EEFAB2DE8}","FG1305.CZC",20130110,1461,1479,1484,1456,1463,1468,2311352,6786259.9,376812,2,-67550,2,2016-03-17 11:09:11,0
"27","{54E27700-6593-4182-AEB8-8FFC2BE46E74}","FG1305.CZC",20130111,1468,1462,1465,1428,1439,1444,1916270,5533210.02,311804,-29,-65008,2,2016-03-17 11:09:11,0
"28","{7A059011-A7ED-4615-97CB-AFEC8B3D385C}","FG1305.CZC",20130114,1444,1438,1502,1438,1502,1468,1878770,5515448.16,508076,58,196272,2,2016-03-17 11:09:12,0
"29","{B1D6C905-E755-4B31-8E55-F6C582D18D89}","FG1305.CZC",20130115,1468,1520,1527,1490,1497,1505,3006350,9048150.88,387356,29,-120720,2,2016-03-17 11:09:12,0
"30","{B45C992F-BA55-4BE2-98A7-54A702D474F5}","FG1305.CZC",20130116,1505,1499,1515,1455,1500,1490,4239926,12634358.08,473158,-5,85802,2,2016-03-17 11:09:12,0
"31","{4429BD7A-4A9E-443A-A255-B520EBBC4A85}","FG1305.CZC",20130117,1490,1503,1512,1491,1506,1500,3961892,11889548.05,538936,16,65778,2,2016-03-17 11:09:12,0
"32","{D3855FC9-1AF2-4E33-B38D-DF20DB728B2D}","FG1305.CZC",20130118,1500,1520,1521,1488,1496,1503,3867610,11624386.05,431672,-4,-107264,2,2016-03-17 11:09:12,0
"33","{044D4E44-8F3C-4B42-B502-BB8776909F43}","FG1305.CZC",20130121,1503,1495,1518,1484,1501,1502,3225458,9692420.02,478024,-2,46352,2,2016-03-17 11:09:13,0
"34","{43EBFFC1-AFBA-4087-9A13-9F1D4D1C3632}","FG1305.CZC",20130122,1502,1505,1508,1475,1490,1494,3070314,9174823.56,401292,-12,-76732,2,2016-03-17 11:09:13,0
