"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{0435A1B1-0C16-4FD9-B3D2-FE209A4497D5}","FU0501.SHF",20040825,2098,2175,2222,2151,2184,2193,76412,NA,10014,86,10014,2,2016-03-17 10:12:08,0
"2","{5F7553AD-409E-4473-81C0-5F0640DC7B07}","FU0501.SHF",20040826,2193,2184,2187,2155,2168,2168,65350,NA,15100,-25,5086,2,2016-03-17 10:12:08,0
"3","{F57F57E3-1EFA-42B1-8A97-4B5691CC8FA7}","FU0501.SHF",20040827,2168,2160,2166,2140,2148,2149,60688,NA,15578,-20,478,2,2016-03-17 10:12:08,0
"4","{8DF81DC2-0A74-4F4B-917C-6F7C91D73FC9}","FU0501.SHF",20040830,2149,2152,2158,2143,2147,2149,23898,NA,15510,-2,-68,2,2016-03-17 10:12:08,0
"5","{CFB5D148-19F1-4F94-B24E-6C947F6F1C5D}","FU0501.SHF",20040831,2149,2136,2138,2119,2123,2126,38162,NA,17726,-26,2216,2,2016-03-17 10:12:08,0
"6","{E1C45F4D-0BFC-4DAD-88B0-F3ECB505C278}","FU0501.SHF",20040901,2126,2125,2140,2112,2134,2126,45888,NA,22398,8,4672,2,2016-03-17 10:12:08,0
"7","{9CD656AC-CF9D-466A-BA8D-2AC4A96D0C87}","FU0501.SHF",20040902,2126,2152,2157,2142,2144,2149,48276,NA,21062,18,-1336,2,2016-03-17 10:12:08,0
"8","{F7219E23-4E01-4652-9B1A-B5C9EAF5CF09}","FU0501.SHF",20040903,2149,2150,2153,2133,2134,2144,19604,NA,18482,-15,-2580,2,2016-03-17 10:12:08,0
"9","{6BFAD5A5-728E-4844-9272-150ADDDEE1E4}","FU0501.SHF",20040906,2144,2133,2136,2119,2122,2126,17516,NA,18094,-22,-388,2,2016-03-17 10:12:08,0
"10","{99AD94A1-5583-4CCC-AF33-9C22FBC5DB0C}","FU0501.SHF",20040907,2126,2114,2122,2098,2099,2108,29542,NA,19320,-27,1226,2,2016-03-17 10:12:08,0
"11","{2C0A812D-536E-4BE9-92EE-79A78E1F6587}","FU0501.SHF",20040908,2108,2100,2112,2088,2107,2101,33360,NA,20824,-1,1504,2,2016-03-17 10:12:08,0
"12","{D0C19193-8427-4B67-BF9B-44289DB0961F}","FU0501.SHF",20040909,2101,2104,2105,2080,2090,2094,33406,NA,18858,-11,-1966,2,2016-03-17 10:12:08,0
"13","{3085167F-2E42-4B0C-8102-7EA5E8DF5940}","FU0501.SHF",20040910,2094,2117,2122,2106,2112,2114,26554,NA,17730,18,-1128,2,2016-03-17 10:12:08,0
"14","{70E93654-4BE4-4122-8DA7-4F816974FF48}","FU0501.SHF",20040913,2114,2092,2101,2083,2099,2093,17388,NA,17800,-15,70,2,2016-03-17 10:12:08,0
"15","{683546A6-7E1F-4988-AC87-97A966757460}","FU0501.SHF",20040914,2093,2104,2105,2095,2099,2100,13596,NA,17464,6,-336,2,2016-03-17 10:12:08,0
"16","{AC3805A3-64DF-4029-B464-EB75D2733413}","FU0501.SHF",20040915,2100,2109,2110,2093,2094,2103,16042,NA,17198,-6,-266,2,2016-03-17 10:12:08,0
