"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{38477E5B-4F4B-4395-AABB-7F673DA87E7C}","HC1410.SHF",20140321,3316,3252,3336,3230,3324,3300,187478,619004.024,52030,8,52030,2,2016-05-05 08:45:18,1
"2","{41DF5BAB-741E-427C-A22C-9A0BFE6CDCD6}","HC1410.SHF",20140324,3300,3314,3330,3266,3330,3304,86810,286857.78,47616,30,-4414,2,2016-05-05 08:45:18,1
"3","{34A2EEE9-A70D-4FAA-9DB2-8B5A6CD4E855}","HC1410.SHF",20140325,3304,3326,3400,3320,3378,3358,119854,402611.432,61256,74,13640,2,2016-05-05 08:45:18,1
"4","{6441105F-3C29-4775-A9B1-230969AF9AB4}","HC1410.SHF",20140326,3358,3370,3382,3354,3376,3368,37876,127606.688,60560,18,-696,2,2016-05-05 08:45:18,1
"5","{6BAA33ED-04AD-44E0-8825-10FE280F5E78}","HC1410.SHF",20140327,3368,3368,3386,3350,3362,3364,40230,135364.98,61430,-6,870,2,2016-05-05 08:45:18,1
"6","{41E5673B-EE2A-47E9-B4BE-DF34DBC3F5D5}","HC1410.SHF",20140328,3364,3376,3386,3360,3382,3372,34290,115673.836,63080,18,1650,2,2016-05-05 08:45:18,1
"7","{B291C79C-FA58-43F6-B218-BEF28B1A7062}","HC1410.SHF",20140331,3372,3396,3422,3382,3410,3402,60970,207475.02,65640,38,2560,2,2016-05-05 08:45:18,1
"8","{B3C6A23D-91A2-4830-896A-6A3710C38388}","HC1410.SHF",20140401,3402,3412,3418,3396,3414,3406,17896,60984.524,64136,12,-1504,2,2016-05-05 08:45:18,1
"9","{B175C83D-2193-476B-8FC3-3796845FB550}","HC1410.SHF",20140402,3406,3410,3426,3388,3390,3404,28570,97274.42,68700,-16,4564,2,2016-05-05 08:45:18,1
"10","{A18EBCD6-CAFE-4364-A896-8106E228B4F6}","HC1410.SHF",20140403,3404,3384,3414,3382,3410,3398,20706,70374.104,68410,6,-290,2,2016-05-05 08:45:18,1
"11","{8A9876A2-28A0-4AB2-A3AF-5147A107CBA0}","HC1410.SHF",20140404,3398,3412,3440,3402,3440,3422,21360,73132.904,70094,42,1684,2,2016-05-05 08:45:18,1
"12","{193B164E-5738-4EE7-AD6B-EDAA00E1CEE1}","HC1410.SHF",20140408,3422,3450,3488,3442,3480,3468,40286,139763.12,80872,58,10778,2,2016-05-05 08:45:18,1
"13","{0173AC73-7753-455A-B1C7-D1EFCAEDAF59}","HC1410.SHF",20140409,3468,3488,3488,3444,3452,3462,32902,113911.148,81834,-16,962,2,2016-05-05 08:45:18,1
"14","{8B0D7DEF-6BB2-46DC-8A17-E2B1C42FA9D1}","HC1410.SHF",20140410,3462,3450,3470,3442,3446,3456,19630,67862.724,81232,-16,-602,2,2016-05-05 08:45:18,1
"15","{588241CE-78D0-4243-BE39-6C50E0DEC10F}","HC1410.SHF",20140411,3456,3430,3452,3430,3434,3440,13100,45076.6,76840,-22,-4392,2,2016-05-05 08:45:18,1
"16","{725924F8-0561-46B5-B176-23FC50C09196}","HC1410.SHF",20140414,3440,3432,3464,3432,3438,3446,12642,43570.268,77020,-2,180,2,2016-05-05 08:45:18,1
"17","{62461F9D-9204-4139-842A-B5944AA9FB39}","HC1410.SHF",20140415,3446,3442,3448,3418,3448,3430,20724,71119.016,75524,2,-1496,2,2016-05-05 08:45:18,1
"18","{C6389B30-BC31-4468-8CE5-E30DF3F74144}","HC1410.SHF",20140416,3430,3446,3446,3410,3418,3418,18538,63399.104,68152,-12,-7372,2,2016-05-05 08:45:18,1
"19","{5E0E6037-03B4-45BA-A4B8-B07F48878A86}","HC1410.SHF",20140417,3418,3428,3428,3410,3412,3418,5590,19112.176,67404,-6,-748,2,2016-05-05 08:45:18,1
"20","{72F06984-60A8-42E9-9396-D708D107BCD3}","HC1410.SHF",20140418,3418,3410,3412,3346,3354,3370,51760,174502.524,66498,-64,-906,2,2016-05-05 08:45:18,1
"21","{16420626-CB52-4358-8E39-5A1D8065852E}","HC1410.SHF",20140421,3370,3340,3364,3340,3340,3350,8292,27784.828,64836,-30,-1662,2,2016-05-05 08:45:18,1
"22","{F7ACB9DB-375A-4B97-A6AC-94FE44F8D2A9}","HC1410.SHF",20140422,3350,3340,3366,3324,3354,3344,23958,80130.256,60950,4,-3886,2,2016-05-05 08:45:18,1
"23","{CAB99B53-E674-4124-9238-1B585ED9407A}","HC1410.SHF",20140423,3344,3358,3388,3336,3380,3358,19844,66637.436,58920,36,-2030,2,2016-05-05 08:45:18,1
"24","{CA67F8A6-02E2-4D1D-8AA8-303053950CEA}","HC1410.SHF",20140424,3358,3376,3396,3366,3390,3380,12648,42766.444,58086,32,-834,2,2016-05-05 08:45:18,1
"25","{B77DAA5C-242F-4699-80B6-3612C64FB2CB}","HC1410.SHF",20140425,3380,3398,3400,3372,3378,3382,8566,28979.224,58570,-2,484,2,2016-05-05 08:45:18,1
"26","{A3D3E273-3F48-4C49-BC68-A7B0EFDC7BDC}","HC1410.SHF",20140428,3382,3372,3372,3334,3336,3342,17354,58015.148,56630,-46,-1940,2,2016-05-05 08:45:18,1
"27","{56FC15ED-F3C7-46FA-B334-90C244F9CDB2}","HC1410.SHF",20140429,3342,3334,3374,3334,3360,3358,8736,29335.9,55692,18,-938,2,2016-05-05 08:45:18,1
"28","{48866BBF-7BAA-4C19-89D0-5898B412F5C1}","HC1410.SHF",20140430,3358,3370,3370,3338,3344,3344,9948,33284.812,55210,-14,-482,2,2016-05-05 08:45:18,1
"29","{71A081B4-A2D4-4747-A7B1-301B293212E9}","HC1410.SHF",20140505,3344,3334,3362,3224,3352,3340,11568,38652.2,53726,8,-1484,2,2016-05-05 08:45:18,1
"30","{70C66DC1-8D75-44C5-84E4-FACB71B219C0}","HC1410.SHF",20140506,3340,3342,3364,3336,3344,3350,4722,15818.94,52980,4,-746,2,2016-05-05 08:45:18,1
"31","{A4F14222-C773-4C3A-9288-9370B7A1150D}","HC1410.SHF",20140507,3350,3338,3358,3330,3332,3340,9532,31841.78,52784,-18,-196,2,2016-05-05 08:45:18,1
"32","{C6565B5F-DAA2-4039-A5CA-0F08F6AA5780}","HC1410.SHF",20140508,3340,3330,3338,3310,3312,3320,13298,44166.62,49644,-28,-3140,2,2016-05-05 08:45:18,1
"33","{0DEAC1A3-26B0-4763-BDF2-E8FBE4F193E6}","HC1410.SHF",20140509,3320,3312,3330,3302,3318,3318,9612,31903.256,49350,-2,-294,2,2016-05-05 08:45:18,1
