"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{AAF812E8-7334-48C0-BBFA-AE69A76B8BD1}","I1405.DCE",20131018,960,978,984,962,977,975,300818,2934552.92,65042,17,65042,2,2016-03-17 11:09:53,0
"2","{CEE8B7A3-D3F3-4B50-8A08-7D886BDD457B}","I1405.DCE",20131021,975,976,977,960,969,967,95432,923070.72,68130,-6,3088,2,2016-03-17 11:09:53,0
"3","{B8D8D5F8-0F33-4869-BBF4-CB397B361184}","I1405.DCE",20131022,967,963,966,948,948,956,91296,872886.24,76004,-19,7874,2,2016-03-17 11:09:53,0
"4","{18C9FA33-1BB7-44E4-8176-AC615B5521F5}","I1405.DCE",20131023,956,949,953,936,939,944,116490,1100012.3,81162,-17,5158,2,2016-03-17 11:09:53,0
"5","{DC853D8F-B36A-4BDD-87FB-B32B18C6D7F6}","I1405.DCE",20131024,944,938,939,916,926,928,169028,1568764.54,87872,-18,6710,2,2016-03-17 11:09:54,0
"6","{548CA618-FA75-4F2C-95A4-1A7813003B59}","I1405.DCE",20131025,928,928,936,917,918,927,104060,964727.44,86472,-10,-1400,2,2016-03-17 11:09:54,0
"7","{BF9D98E6-0559-441F-90A9-CBECF7ED56CB}","I1405.DCE",20131028,927,920,928,917,923,922,83790,772783.74,93480,-4,7008,2,2016-03-17 11:09:54,0
"8","{DC108344-C344-4D61-B8B0-EA76EA955497}","I1405.DCE",20131029,922,924,925,913,921,917,105876,971071.06,99058,-1,5578,2,2016-03-17 11:09:54,0
"9","{8E1E8E38-869F-4A52-BFC1-226429E6BCC7}","I1405.DCE",20131030,917,919,930,916,924,922,118272,1091315.3,91262,7,-7796,2,2016-03-17 11:09:55,0
"10","{1D0F460A-3B72-4A1B-91E3-173846BAC044}","I1405.DCE",20131031,922,925,927,920,922,923,74672,689343.72,84820,0,-6442,2,2016-03-17 11:09:55,0
"11","{5C1516C6-2AA6-488C-ACB2-1303065FE2E2}","I1405.DCE",20131101,923,921,954,921,942,942,321242,3027658.4,107582,19,22762,2,2016-03-17 11:09:55,0
"12","{A275A81F-2BFD-41EB-BA2F-19F4A2134010}","I1405.DCE",20131104,942,943,957,942,950,949,175080,1661930.74,122298,8,14716,2,2016-03-17 11:09:56,0
"13","{56C1CFC5-F26C-4F47-9558-34714DEAE945}","I1405.DCE",20131105,949,948,954,943,946,947,108384,1026766.24,121942,-3,-356,2,2016-03-17 11:09:56,0
"14","{F7ABB516-41F9-4284-85F3-B6617156C9EF}","I1405.DCE",20131106,947,949,951,942,944,945,69362,656080.66,123650,-3,1708,2,2016-03-17 11:09:56,0
"15","{A6721BFA-FB4B-4E84-AEDA-7A999691FF7A}","I1405.DCE",20131107,945,945,947,939,945,944,91676,865590.9,124958,0,1308,2,2016-03-17 11:09:56,0
"16","{18D1547F-0B81-493C-BF0B-FC07C276366E}","I1405.DCE",20131108,944,947,948,936,939,940,66340,623706.96,120532,-5,-4426,2,2016-03-17 11:09:56,0
"17","{6E9A5D86-9ECB-4273-B5A2-D831B24F94D8}","I1405.DCE",20131111,940,940,944,934,942,938,57564,540492.92,112342,2,-8190,2,2016-03-17 11:09:56,0
"18","{F9AC667B-5F5A-48BE-9132-294A96D04068}","I1405.DCE",20131112,938,940,944,936,943,939,45594,428575.66,107938,5,-4404,2,2016-03-17 11:09:57,0
"19","{2557344A-0554-4E5E-B851-B9221C5683E8}","I1405.DCE",20131113,939,941,952,940,943,946,96484,913594.86,110812,4,2874,2,2016-03-17 11:09:57,0
"20","{25978C50-74F7-42BE-A7D3-49A7D659630D}","I1405.DCE",20131114,946,940,944,937,937,940,55752,524418.76,103446,-9,-7366,2,2016-03-17 11:09:57,0
"21","{195620C8-F641-43D7-A385-68B2B464E3A8}","I1405.DCE",20131115,940,939,942,930,931,935,76014,711006.56,102752,-9,-694,2,2016-03-17 11:09:58,0
"22","{B8923F96-98ED-468B-A7D2-0B9DC7985013}","I1405.DCE",20131118,935,931,935,925,932,930,52704,490665.68,99378,-3,-3374,2,2016-03-17 11:09:58,0
"23","{28382C73-0811-4AD4-AFB6-3D9BF48E193E}","I1405.DCE",20131119,930,931,943,930,942,936,60164,563656.34,106904,12,7526,2,2016-03-17 11:09:58,0
