"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{BFAEA335-2AA0-4D17-B430-BE91739AE8E0}","JD1405.DCE",20131108,4000,4050,4078,3970,3976,4010,264550,1061077.05,38942,-24,38942,2,2016-03-17 11:09:56,0
"2","{809411DE-8939-47F1-89E1-CC743AF31A08}","JD1405.DCE",20131111,4010,3982,3983,3932,3941,3949,148860,587962.56,44132,-69,5190,2,2016-03-17 11:09:56,0
"3","{5FB01111-0B87-4A0B-8BFA-E03B389F23C5}","JD1405.DCE",20131112,3949,3940,3970,3932,3951,3957,93396,369568.02,38812,2,-5320,2,2016-03-17 11:09:57,0
"4","{66BC9A60-CAD6-4BE5-A452-6E7E640BE992}","JD1405.DCE",20131113,3957,3946,3970,3935,3952,3958,62148,245982.72,36600,-5,-2212,2,2016-03-17 11:09:57,0
"5","{3119317B-8432-4E99-9F1F-E47D8AB9E4D3}","JD1405.DCE",20131114,3958,3958,3963,3939,3957,3952,37318,147508.28,32232,-1,-4368,2,2016-03-17 11:09:57,0
"6","{DE4C18E9-D2F7-4B19-845F-7995BA78BEAC}","JD1405.DCE",20131115,3952,3955,4015,3954,4013,3994,133512,533299.04,43098,61,10866,2,2016-03-17 11:09:58,0
"7","{5A2DBC09-8DE4-484B-A376-C09F76A8DCA8}","JD1405.DCE",20131118,3994,4015,4039,4003,4029,4025,108186,435455.44,50176,35,7078,2,2016-03-17 11:09:58,0
"8","{9AA27DF0-EDAB-45DB-B5A0-68F2CBB6B4C8}","JD1405.DCE",20131119,4025,4025,4036,4012,4023,4023,62266,250512.43,43000,-2,-7176,2,2016-03-17 11:09:58,0
"9","{A8F259A9-A7D6-4564-B2B0-F23C57AB85E3}","JD1405.DCE",20131120,4023,4025,4048,4016,4036,4036,59612,240594.33,43524,13,524,2,2016-03-17 11:09:58,0
"10","{73340888-C7B7-4F48-852F-F1235CC7BCA0}","JD1405.DCE",20131121,4036,4039,4039,4005,4010,4021,40740,163852.83,35924,-26,-7600,2,2016-03-17 11:09:58,0
"11","{33C5ED88-77E1-41AD-8BFE-34C280F9C7A8}","JD1405.DCE",20131122,4021,4012,4040,4006,4018,4024,40808,164229.38,35390,-3,-534,2,2016-03-17 11:09:59,0
"12","{0B70A1E2-74B3-4238-8816-ABC0D3D7F3CD}","JD1405.DCE",20131125,4024,4021,4178,4021,4168,4138,275042,1138276,70756,144,35366,2,2016-03-17 11:09:59,0
"13","{BD5A0577-DA1D-4971-9404-E63718F42554}","JD1405.DCE",20131126,4138,4170,4180,4145,4162,4161,150308,625468.77,63964,24,-6792,2,2016-03-17 11:09:59,0
"14","{F2F9DFD8-F65E-43E1-859C-1719380F4493}","JD1405.DCE",20131127,4161,4166,4174,4123,4138,4145,119328,494717.22,59036,-23,-4928,2,2016-03-17 11:09:59,0
"15","{A0617CD7-C0FC-41C9-BC2E-813F71027CD6}","JD1405.DCE",20131128,4145,4138,4193,4138,4174,4168,188778,786920.66,68226,29,9190,2,2016-03-17 11:10:00,0
"16","{F63DD4B2-393D-4545-AF4E-53C24B32EA1A}","JD1405.DCE",20131129,4168,4179,4185,4156,4172,4170,90070,375599.14,66538,4,-1688,2,2016-03-17 11:10:00,0
"17","{614D56AD-0921-4EF5-963B-969373A4EC48}","JD1405.DCE",20131202,4170,4173,4190,4151,4162,4168,58520,243919.1,66024,-8,-514,2,2016-03-17 11:10:00,0
"18","{8F6AB1C0-F993-4D4A-80EB-EA05E22FE5DA}","JD1405.DCE",20131203,4168,4160,4196,4140,4163,4169,162642,678126.2,68806,-5,2782,2,2016-03-17 11:10:00,0
"19","{A2BF72AC-832B-47FF-B74E-8F2B7281F55F}","JD1405.DCE",20131204,4169,4166,4176,4150,4153,4160,66138,275145,68428,-16,-378,2,2016-03-17 11:10:01,0
"20","{11114DF9-96C1-4F91-9344-CB63F342A54B}","JD1405.DCE",20131205,4160,4155,4181,4149,4159,4165,86416,359941.15,66256,-1,-2172,2,2016-03-17 11:10:01,0
"21","{EFDC6673-A8D6-4F0E-860B-62B8C54FA506}","JD1405.DCE",20131206,4165,4160,4180,4109,4131,4143,93086,385727.48,60776,-34,-5480,2,2016-03-17 11:10:01,0
"22","{2F80B594-1C7F-4C13-BFFE-7D134A889F53}","JD1405.DCE",20131209,4143,4138,4150,4130,4134,4139,43026,178094.37,60958,-9,182,2,2016-03-17 11:10:02,0
"23","{48A8E113-6CE1-4FDA-B8D8-6261EEFCDE41}","JD1405.DCE",20131210,4139,4143,4190,4134,4155,4163,141624,589688.83,64268,16,3310,2,2016-03-17 11:10:02,0
"24","{7D2525DB-9ACE-49B4-ADED-8A465F3C95E1}","JD1405.DCE",20131211,4163,4161,4175,4149,4155,4162,68642,285701.91,63620,-8,-648,2,2016-03-17 11:10:02,0
"25","{BECAB3DF-81AB-4BEC-9B73-68E318A09CA4}","JD1405.DCE",20131212,4162,4159,4172,4144,4153,4160,56068,233295.45,62124,-9,-1496,2,2016-03-17 11:10:02,0
"26","{7360BE52-4BD2-416F-82D3-ACD7958C93A0}","JD1405.DCE",20131213,4160,4147,4157,4090,4101,4121,78890,325116.51,59600,-59,-2524,2,2016-03-17 11:10:03,0
"27","{CC0533E2-78D0-42F2-86D0-4A769CC2EA8C}","JD1405.DCE",20131216,4121,4111,4119,4082,4088,4099,53850,220745.55,60532,-33,932,2,2016-03-17 11:10:03,0
"28","{0C7935E0-BEAE-47BA-8D2B-58EEEE6B9F07}","JD1405.DCE",20131217,4099,4091,4125,4091,4107,4109,56850,233644.95,58862,8,-1670,2,2016-03-17 11:10:03,0
"29","{07E264AA-DCF2-4F96-88CC-D3AAAF5F4849}","JD1405.DCE",20131218,4109,4101,4122,4094,4098,4106,40438,166066.14,59594,-11,732,2,2016-03-17 11:10:04,0
"30","{0D180702-2C33-468D-A240-D47A3471A768}","JD1405.DCE",20131219,4106,4093,4093,3962,3989,4000,221438,885824.34,66598,-117,7004,2,2016-03-17 11:10:04,0
"31","{880FC336-7AB7-4078-9A47-A0B49983B5BE}","JD1405.DCE",20131220,4000,3971,4000,3967,3982,3982,82202,327365.99,56724,-18,-9874,2,2016-03-17 11:10:04,0
"32","{7E5D7F3E-FEFA-4099-BF1D-12B2CCFDD540}","JD1405.DCE",20131223,3982,3957,3973,3933,3969,3957,69360,274512.4,57290,-13,566,2,2016-03-17 11:10:04,0
"33","{40E5F02E-0388-4246-8C24-BCA0D029BA6F}","JD1405.DCE",20131224,3957,3963,3994,3961,3982,3982,57416,228678.46,56144,25,-1146,2,2016-03-17 11:10:04,0
"34","{D9815549-396A-4520-991C-567456D73582}","JD1405.DCE",20131225,3982,3985,4023,3980,3995,4003,62000,248238.54,56212,13,68,2,2016-03-17 11:10:05,0
"35","{BBA2FA9D-4217-4D30-8385-09E3F94B2D70}","JD1405.DCE",20131226,4003,4000,4017,3958,3973,3973,67728,269120.97,55866,-30,-346,2,2016-03-17 11:10:05,0
"36","{7A309BD8-8646-4305-A773-CF2C3E3A7402}","JD1405.DCE",20131227,3973,3972,3993,3965,3968,3979,37100,147651.53,54554,-5,-1312,2,2016-03-17 11:10:05,0
"37","{9CC0D8A0-5DD1-4F2E-92F0-38D69729FB3D}","JD1405.DCE",20131230,3979,3970,4006,3967,3984,3988,47234,188389.7,52060,5,-2494,2,2016-03-17 11:10:06,0
"38","{F6ED007F-13F9-44A3-96E2-5166FCF6E81C}","JD1405.DCE",20131231,3988,3981,4000,3939,3951,3964,60322,239131.53,54984,-37,2924,2,2016-03-17 11:10:06,0
"39","{E30BA39D-F0CB-4BD6-8FB9-87BC2F7BA9D3}","JD1405.DCE",20140102,3964,3951,3978,3941,3975,3966,31536,125090.45,53426,11,-1558,2,2016-03-17 11:10:06,0
"40","{066829FA-D536-493F-8444-0E084E4E3785}","JD1405.DCE",20140103,3966,3998,4036,3980,4015,4014,102594,411840.14,55466,49,2040,2,2016-03-17 11:10:06,0
"41","{14B859F5-272E-4290-BF4F-16FB3F0EACB4}","JD1405.DCE",20140106,4014,4005,4024,3940,3943,3990,76746,306234.56,56884,-71,1418,2,2016-03-17 11:10:07,0
"42","{F1BDBD82-75FE-4E20-86D2-6BE2FD136852}","JD1405.DCE",20140107,3990,3832,3919,3832,3865,3869,102798,397769.5,52084,-125,-4800,2,2016-03-17 11:10:07,0
"43","{CEC6A300-F375-46E7-A485-D2F6473FCAD1}","JD1405.DCE",20140108,3869,3869,3884,3843,3857,3857,46162,178052.28,51118,-12,-966,2,2016-03-17 11:10:07,0
"44","{1C75DC87-A6EC-46D6-B0EF-FE21C8BAD0D4}","JD1405.DCE",20140109,3857,3850,3880,3808,3826,3840,65388,251100.68,54234,-31,3116,2,2016-03-17 11:10:08,0
"45","{8BA1C30D-C89D-41DE-87F6-D523535211A6}","JD1405.DCE",20140110,3840,3822,3847,3815,3832,3831,38390,147100.17,53484,-8,-750,2,2016-03-17 11:10:08,0
"46","{3DADB828-350F-4BEB-8EBE-D8979CC5F877}","JD1405.DCE",20140113,3831,3830,3860,3816,3826,3834,41632,159622.04,53012,-5,-472,2,2016-03-17 11:10:08,0
"47","{3DDFD945-810C-4EE0-BCE6-4D5C23B73C13}","JD1405.DCE",20140114,3834,3834,3875,3827,3865,3849,40826,157178.09,50164,31,-2848,2,2016-03-17 11:10:09,0
"48","{CA8CCCB1-ECF5-483A-8B8D-A2201F1248B8}","JD1405.DCE",20140115,3849,3866,3866,3820,3828,3835,52378,200917.72,54522,-21,4358,2,2016-03-17 11:10:09,0
"49","{EA418782-CCB3-4F79-8159-5998A74DABFD}","JD1405.DCE",20140116,3835,3835,3837,3766,3770,3785,89098,337305.83,64710,-65,10188,2,2016-03-17 11:10:09,0
"50","{81DB747B-309E-493B-9F51-C5F6E29229F3}","JD1405.DCE",20140117,3785,3770,3785,3751,3778,3773,56748,214131.9,62420,-7,-2290,2,2016-03-17 11:10:10,0
"51","{02C74E92-92CE-42BC-81F5-6FE515760720}","JD1405.DCE",20140120,3773,3772,3808,3772,3781,3791,49338,187058.31,59752,8,-2668,2,2016-03-17 11:10:10,0
"52","{9DAD8A42-42CA-4E0C-9CA7-99A874CC807C}","JD1405.DCE",20140121,3791,3771,3772,3725,3734,3740,52218,195301.28,60536,-57,784,2,2016-03-17 11:10:10,0
"53","{6E7E0932-B838-449A-A1C0-3C74F90D6374}","JD1405.DCE",20140122,3740,3730,3731,3666,3696,3696,113068,417935.39,63354,-44,2818,2,2016-03-17 11:10:11,0
"54","{FFE6EE60-8E33-4FE6-ADC4-08447703CB6B}","JD1405.DCE",20140123,3696,3688,3721,3686,3706,3706,39234,145416.98,62654,10,-700,2,2016-03-17 11:10:11,0
"55","{6CB904BD-464C-4170-8DFA-85F7095F77CA}","JD1405.DCE",20140124,3706,3700,3718,3676,3703,3702,44774,165797.02,65132,-3,2478,2,2016-03-17 11:10:11,0
"56","{E7E50001-F6D8-4F88-B744-C987722E5DB5}","JD1405.DCE",20140127,3702,3688,3735,3685,3726,3714,69218,257085.92,63276,24,-1856,2,2016-03-17 11:10:11,0
"57","{C295F27A-FCE3-40C9-88D8-C593D21B2F09}","JD1405.DCE",20140128,3714,3710,3762,3710,3729,3742,92514,346216.37,59500,15,-3776,2,2016-03-17 11:10:12,0
"58","{D7A89597-CCA3-4F1A-A76A-DA0F71A2F7AC}","JD1405.DCE",20140129,3742,3732,3759,3714,3728,3729,37580,140153.29,57036,-14,-2464,2,2016-03-17 11:10:12,0
"59","{531D1DF7-B803-4B99-8E10-B07A8E4E04C1}","JD1405.DCE",20140130,3729,3727,3752,3724,3741,3740,23578,88191.58,55398,12,-1638,2,2016-03-17 11:10:13,0
"60","{4F26E1F2-4DC3-4F31-A0F3-F622E66E7871}","JD1405.DCE",20140207,3740,3741,3780,3693,3697,3733,44146,164805.79,62834,-43,7436,2,2016-03-17 11:10:13,0
"61","{08DB84CA-150C-4EF1-A504-FBDCE7CF649A}","JD1405.DCE",20140210,3733,3687,3750,3676,3739,3714,65214,242228.07,67318,6,4484,2,2016-03-17 11:10:13,0
"62","{E728E5ED-8136-4A33-9FFC-4C92C23898AE}","JD1405.DCE",20140211,3714,3740,3767,3718,3720,3742,78840,295052.39,75432,6,8114,2,2016-03-17 11:10:14,0
"63","{4499773B-25FF-4EC0-B7A5-99F5216033FC}","JD1405.DCE",20140212,3742,3719,3732,3701,3719,3715,36230,134598.75,74618,-23,-814,2,2016-03-17 11:10:14,0
"64","{7D6C1414-A411-44A0-ABEF-B739BD64D499}","JD1405.DCE",20140213,3715,3730,3749,3720,3730,3730,32468,121129.02,74504,15,-114,2,2016-03-17 11:10:15,0
"65","{89F183C1-A36A-406F-AD67-45F593EF5300}","JD1405.DCE",20140214,3730,3735,3834,3708,3831,3789,176542,668977.44,83726,101,9222,2,2016-03-17 11:10:15,0
"66","{EDD9C3D7-0744-45C7-8673-72F72E8CAA49}","JD1405.DCE",20140217,3789,3840,3859,3816,3840,3835,97176,372763.13,77244,51,-6482,2,2016-03-17 11:10:15,0
"67","{CC1AFC09-9024-438B-88CA-FE2245A5A58E}","JD1405.DCE",20140218,3835,3842,3866,3822,3851,3843,83344,320325.85,77322,16,78,2,2016-03-17 11:10:15,0
"68","{7A67225F-0E27-4C7A-8B22-F436BC8B1077}","JD1405.DCE",20140219,3843,3868,3876,3838,3850,3857,58342,225028.5,76518,7,-804,2,2016-03-17 11:10:16,0
