"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{1AD8A028-0E06-49D8-AC90-65248B3AAA2E}","J1109.DCE",20110415,2180,2300,2300,2225,2247,2255,57134,1288746.76,6404,67,6404,2,2016-03-17 11:07:56,0
"2","{C45529C4-B963-464D-A702-18D41A55C901}","J1109.DCE",20110418,2255,2233,2388,2233,2381,2344,132702,3110908.22,19488,126,13084,2,2016-03-17 11:07:56,0
"3","{3AF3126D-C070-4F63-BFF3-2FCD36BC80C8}","J1109.DCE",20110419,2344,2375,2384,2320,2336,2344,204462,4794388.1,23270,-8,3782,2,2016-03-17 11:07:56,0
"4","{217B2F3A-0127-4A72-A26E-28C631C19F3C}","J1109.DCE",20110420,2344,2350,2395,2328,2343,2352,175506,4128493.22,23484,-1,214,2,2016-03-17 11:07:56,0
"5","{000F6F29-177E-4C95-90B0-12E6BD629E01}","J1109.DCE",20110421,2352,2353,2363,2323,2335,2346,97576,2289135,22246,-17,-1238,2,2016-03-17 11:07:56,0
"6","{A8D4A5F8-8CB7-4563-AB07-2D916C9FB317}","J1109.DCE",20110422,2346,2336,2351,2297,2330,2319,128218,2973609.88,18880,-16,-3366,2,2016-03-17 11:07:57,0
"7","{E314A8F8-C874-4797-8008-EF346920C796}","J1109.DCE",20110425,2319,2340,2359,2317,2329,2334,64954,1516509.14,18038,10,-842,2,2016-03-17 11:07:57,0
"8","{5493DD75-CA1D-4DB2-BEF5-667D4AE2C966}","J1109.DCE",20110426,2334,2315,2329,2303,2322,2316,44336,1026916.32,17852,-12,-186,2,2016-03-17 11:07:57,0
"9","{286B4F55-A17A-46EB-9DFB-E88E86DF2B7F}","J1109.DCE",20110427,2316,2332,2339,2315,2320,2327,32038,745589.88,16356,4,-1496,2,2016-03-17 11:07:57,0
"10","{3F9A2063-792F-4E54-B964-C2D2276C0D48}","J1109.DCE",20110428,2327,2330,2347,2326,2337,2335,26286,613953.22,14190,10,-2166,2,2016-03-17 11:07:57,0
"11","{4A5E0893-C10D-4B4E-AFF3-EA90ACADCB6F}","J1109.DCE",20110429,2335,2337,2343,2323,2329,2332,17654,411770.64,11762,-6,-2428,2,2016-03-17 11:07:57,0
"12","{35790BBE-D0F9-46C8-8370-2856BA1208B7}","J1109.DCE",20110503,2332,2330,2354,2326,2344,2342,26594,623084.2,12876,12,1114,2,2016-03-17 11:07:57,0
"13","{D4FF1F42-DB66-4EC7-B3F4-FBD83353C53A}","J1109.DCE",20110504,2342,2341,2346,2320,2329,2331,14518,338548.58,10782,-13,-2094,2,2016-03-17 11:07:58,0
"14","{CA6427E5-1A6F-4C75-883A-444FCC9D9A56}","J1109.DCE",20110505,2331,2309,2319,2293,2308,2308,13896,320753.2,10736,-23,-46,2,2016-03-17 11:07:58,0
"15","{F9AF9B97-8FA0-4C8F-BC5D-89C973735638}","J1109.DCE",20110506,2308,2255,2289,2255,2271,2274,14736,335193.5,10206,-37,-530,2,2016-03-17 11:07:58,0
"16","{FA12CFB0-7FF3-4755-A86B-1C1917B1FD35}","J1109.DCE",20110509,2274,2280,2284,2273,2280,2278,7240,164955.36,9292,6,-914,2,2016-03-17 11:07:58,0
"17","{2229DDBD-70EA-4018-A55F-943941938362}","J1109.DCE",20110510,2278,2285,2288,2275,2287,2281,7890,180036.1,8290,9,-1002,2,2016-03-17 11:07:58,0
"18","{A06AE6FF-D0DA-46AC-8B7D-1C5EB81D01B6}","J1109.DCE",20110511,2281,2293,2338,2286,2314,2321,30078,698337.8,9430,33,1140,2,2016-03-17 11:07:58,0
"19","{17AA54CB-7B93-4ACB-9FA9-2AE5ED18E05B}","J1109.DCE",20110512,2321,2290,2352,2288,2344,2333,61826,1443010.32,17712,23,8282,2,2016-03-17 11:07:59,0
"20","{F341AF3E-8590-491D-9C7F-97BAF3B9A017}","J1109.DCE",20110513,2333,2360,2444,2353,2419,2411,134808,3250575.5,26414,86,8702,2,2016-03-17 11:07:59,0
