"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{B7C69AE5-137C-4D9B-85F6-D6E8CB3DDB9E}","JM1309.DCE",20130322,1340,1280,1304,1257,1267,1276,845512,6478105.82,96086,-73,96086,2,2016-03-17 11:09:22,0
"2","{90CCA703-121D-45F0-8890-C2A71CBE4987}","JM1309.DCE",20130325,1276,1276,1286,1251,1258,1266,722022,5487434.45,139712,-18,43626,2,2016-03-17 11:09:22,0
"3","{63281419-B0AA-42E1-A196-D001DBAF0807}","JM1309.DCE",20130326,1266,1255,1276,1249,1272,1265,835326,6344763.4,141544,6,1832,2,2016-03-17 11:09:22,0
"4","{CAE02A3A-8C47-4939-A1FB-850DF407BE8A}","JM1309.DCE",20130327,1265,1279,1279,1260,1261,1266,499234,3793917.46,126094,-4,-15450,2,2016-03-17 11:09:23,0
"5","{13848EDD-1908-4AB2-A1E0-28C448FE1618}","JM1309.DCE",20130328,1266,1264,1273,1248,1259,1263,646266,4899837.84,99004,-7,-27090,2,2016-03-17 11:09:23,0
"6","{D366F625-C29D-453D-8B82-37ECE8A9FAF6}","JM1309.DCE",20130329,1263,1257,1268,1231,1240,1252,734728,5519860.56,96024,-23,-2980,2,2016-03-17 11:09:23,0
"7","{ECCABADC-E71F-450B-A2AF-401DD9791E77}","JM1309.DCE",20130401,1252,1235,1242,1202,1202,1215,710132,5179180.19,155262,-50,59238,2,2016-03-17 11:09:24,0
"8","{4EB7BD52-9C2B-4CEA-904F-C0F9178D7CAD}","JM1309.DCE",20130402,1215,1197,1231,1192,1228,1209,1049448,7614005.12,130106,13,-25156,2,2016-03-17 11:09:24,0
"9","{43BCAD62-D1E1-45CF-928A-951B58B4CDB8}","JM1309.DCE",20130403,1209,1225,1233,1214,1216,1221,606564,4447181.39,103114,7,-26992,2,2016-03-17 11:09:24,0
"10","{1DFF7A69-6D07-4399-B44B-33EAB33DF3CD}","JM1309.DCE",20130408,1221,1199,1223,1197,1220,1211,555970,4040633.58,121180,-1,18066,2,2016-03-17 11:09:24,0
"11","{B7B2ACCA-0115-43BA-93A4-B67BC43F9AA8}","JM1309.DCE",20130409,1211,1222,1232,1213,1223,1223,551698,4051289.73,143828,12,22648,2,2016-03-17 11:09:25,0
"12","{340D65DF-C51C-49C5-B1B3-8429CCCEA1F2}","JM1309.DCE",20130410,1223,1225,1227,1211,1215,1218,377802,2762803.18,133686,-8,-10142,2,2016-03-17 11:09:25,0
"13","{5028FE1E-C10E-4596-925C-C061BF37392B}","JM1309.DCE",20130411,1218,1209,1225,1202,1206,1214,403510,2939752.84,137344,-12,3658,2,2016-03-17 11:09:25,0
"14","{C34D9191-3B19-4FF0-B792-3EB5F00DF80E}","JM1309.DCE",20130412,1214,1206,1220,1203,1209,1212,462186,3362098.71,137526,-5,182,2,2016-03-17 11:09:25,0
"15","{C58C2F20-3D26-490E-A425-EEBF64F7B57A}","JM1309.DCE",20130415,1212,1191,1195,1164,1174,1181,442460,3135966.94,128974,-38,-8552,2,2016-03-17 11:09:25,0
"16","{855B3017-1FC4-4646-B06B-70728FBDF0D0}","JM1309.DCE",20130416,1181,1160,1180,1151,1179,1170,326226,2290400.34,118742,-2,-10232,2,2016-03-17 11:09:25,0
"17","{5E663231-07B5-4AE4-847B-A4A0A67539BC}","JM1309.DCE",20130417,1170,1182,1189,1148,1165,1163,702122,4903600.42,121140,-5,2398,2,2016-03-17 11:09:26,0
"18","{5D782F57-9DD4-4AEC-B31E-12CCC5127D98}","JM1309.DCE",20130418,1163,1149,1169,1127,1157,1145,571028,3924812.44,123652,-6,2512,2,2016-03-17 11:09:26,0
"19","{5EF2CC75-562C-4BC7-B214-0CFADD50EF9F}","JM1309.DCE",20130419,1145,1160,1167,1148,1163,1158,428568,2979025.68,123092,18,-560,2,2016-03-17 11:09:26,0
"20","{2669AB81-6546-4FC4-94CA-816C2FF4272B}","JM1309.DCE",20130422,1158,1161,1164,1146,1146,1150,273978,1891868.93,112424,-12,-10668,2,2016-03-17 11:09:26,0
"21","{F6926F16-6156-4B48-AE02-DFA738340E0C}","JM1309.DCE",20130423,1150,1151,1153,1129,1134,1139,239490,1637895.28,104430,-16,-7994,2,2016-03-17 11:09:27,0
