"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{40E2E762-8419-4EAE-AB99-4443EF59858B}","L0711.DCE",20070731,12200,12780,12900,12435,12580,12610,21556,135943.1,2428,380,2428,2,2016-03-17 10:41:43,0
"2","{4DF6B796-5571-4A08-962A-C9D235B2DA4A}","L0711.DCE",20070801,12610,12650,12650,12390,12450,12490,4728,29531.78,2294,-160,-134,2,2016-03-17 10:41:43,0
"3","{5B3EF8A6-D903-487B-9F7D-7F85713DF6B6}","L0711.DCE",20070802,12490,12410,12490,12300,12460,12410,5116,31751.24,2740,-30,446,2,2016-03-17 10:41:43,0
"4","{156D2C46-FF79-4409-BB63-1C98D3878B47}","L0711.DCE",20070803,12410,12440,12560,12410,12495,12495,4810,30055.2,3026,85,286,2,2016-03-17 10:41:43,0
"5","{5D257261-3B20-4312-AFCF-BF2CA7183CF3}","L0711.DCE",20070806,12495,12420,12670,12420,12550,12580,6480,40774.28,3696,55,670,2,2016-03-17 10:41:43,0
"6","{07FB7B26-F383-4498-920B-169E4E322207}","L0711.DCE",20070807,12580,12455,12570,12440,12515,12515,3044,19052.08,2952,-65,-744,2,2016-03-17 10:41:43,0
"7","{111D6F23-5E1F-4574-9809-90ACBA6C2C54}","L0711.DCE",20070808,12515,12540,12640,12540,12580,12590,2124,13372.9,3024,65,72,2,2016-03-17 10:41:43,0
"8","{82451D61-54C6-4CFE-AAF7-3F5A3CB4A11C}","L0711.DCE",20070809,12590,12575,12795,12560,12770,12670,4630,29333.14,4452,180,1428,2,2016-03-17 10:41:43,0
"9","{F0A39306-8290-440F-9ED2-BCE7F49C4DEA}","L0711.DCE",20070810,12670,12710,12850,12620,12700,12720,8224,52315.71,4708,30,256,2,2016-03-17 10:41:43,0
"10","{153F85D0-F337-47C0-9FAC-360E2DBA1466}","L0711.DCE",20070813,12720,12745,12780,12660,12685,12690,2740,17389.8,4122,-35,-586,2,2016-03-17 10:41:43,0
"11","{C8013696-0B8C-4B96-871B-CBB45F4F87C2}","L0711.DCE",20070814,12690,12665,12680,12525,12530,12575,3132,19694.16,3864,-160,-258,2,2016-03-17 10:41:43,0
"12","{57498E6A-ACC3-477D-AAE1-B6D6AEB99A84}","L0711.DCE",20070815,12575,12530,12600,12520,12565,12555,2166,13599.88,3908,-10,44,2,2016-03-17 10:41:44,0
"13","{90B91C2A-2B41-4A24-9C33-01F148CED0AA}","L0711.DCE",20070816,12555,12595,12620,12510,12515,12540,2528,15851.46,3598,-40,-310,2,2016-03-17 10:41:44,0
"14","{529C06CF-A6B1-4A79-9602-02ACD4E86144}","L0711.DCE",20070817,12540,12480,12555,12320,12495,12490,3214,20074.02,3608,-45,10,2,2016-03-17 10:41:44,0
