"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{A25393FC-2299-4D4C-9EF9-32BC183509D6}","LR1501.CZC",20140708,2760,2760,2816,2760,2813,2802,25016,140179.79,9500,53,9500,2,2016-03-17 11:10:46,0
"2","{DE6B77A8-F1B5-4FAF-8B13-6F32859A9548}","LR1501.CZC",20140709,2802,2820,2824,2799,2804,2807,9050,50801.68,10854,2,1354,2,2016-03-17 11:10:46,0
"3","{88552CA0-8853-48E8-976C-FEB7AB703451}","LR1501.CZC",20140710,2807,2805,2810,2795,2804,2802,2190,12272.28,10614,-3,-240,2,2016-03-17 11:10:47,0
"4","{02B3773E-47D0-44F9-BE67-5EC2D42C2AB3}","LR1501.CZC",20140711,2802,2805,2845,2804,2828,2822,4068,22963.18,10322,26,-292,2,2016-03-17 11:10:47,0
"5","{44A0B09E-02F5-4EAE-9F7B-5FBA55B1BCFB}","LR1501.CZC",20140714,2822,2828,2839,2818,2830,2829,1684,9527.02,10136,8,-186,2,2016-03-17 11:10:47,0
"6","{158908DE-4DA4-4CB7-A2E7-76A6D3A1D28E}","LR1501.CZC",20140715,2829,2833,2837,2826,2831,2832,1362,7714.21,9826,2,-310,2,2016-03-17 11:10:48,0
"7","{989DE703-5F41-4D28-ABDE-C2CF960C3667}","LR1501.CZC",20140716,2832,2833,2833,2816,2828,2827,982,5552.22,9674,-4,-152,2,2016-03-17 11:10:48,0
"8","{72BF4033-D647-4BF1-AA3D-F59134106155}","LR1501.CZC",20140717,2827,2823,2824,2806,2815,2815,1066,6001.06,9780,-12,106,2,2016-03-17 11:10:48,0
"9","{49496298-663A-481B-BD19-56D417BC975A}","LR1501.CZC",20140718,2815,2811,2824,2806,2816,2814,1312,7384.41,9340,1,-440,2,2016-03-17 11:10:48,0
"10","{8FBD8D3D-CBE6-4F0A-8147-B91907759EA9}","LR1501.CZC",20140721,2814,2808,2822,2808,2819,2819,468,2638.36,9296,5,-44,2,2016-03-17 11:10:49,0
"11","{746B92EC-A14B-473B-9C79-DE1042413299}","LR1501.CZC",20140722,2819,2817,2829,2815,2823,2820,736,4150.82,9470,4,174,2,2016-03-17 11:10:49,0
"12","{B4D5EC7F-870B-4B98-B275-FF4651144C8D}","LR1501.CZC",20140723,2820,2823,2825,2815,2820,2818,522,2942.18,9608,0,138,2,2016-03-17 11:10:49,0
"13","{EFB4153A-D2CE-45AB-A234-B9756A8BA669}","LR1501.CZC",20140724,2818,2822,2845,2820,2839,2835,2248,12747.07,10356,21,748,2,2016-03-17 11:10:50,0
"14","{6F990C21-645B-4D39-A04E-050DFA0BD72C}","LR1501.CZC",20140725,2835,2836,2874,2835,2872,2852,3078,17555.28,11874,37,1518,2,2016-03-17 11:10:50,0
"15","{9D5B41DC-419A-4439-8367-402F6C1CD3C1}","LR1501.CZC",20140728,2852,2865,2878,2857,2878,2870,2592,14875.72,12422,26,548,2,2016-03-17 11:10:50,0
"16","{9A72FDA2-F7F3-4A13-875B-A41E377543D1}","LR1501.CZC",20140729,2870,2880,2904,2875,2887,2891,5172,29907.9,12850,17,428,2,2016-03-17 11:10:51,0
"17","{E60C4190-E92C-4AAA-9537-6466056A66B5}","LR1501.CZC",20140730,2891,2886,2890,2876,2881,2884,2152,12413.4,12774,-10,-76,2,2016-03-17 11:10:51,0
"18","{E81104A5-0D41-47E7-A33D-7F5635C7DBC6}","LR1501.CZC",20140731,2884,2880,2885,2867,2872,2875,2264,13018.93,12478,-12,-296,2,2016-03-17 11:10:51,0
"19","{9CF6FE59-195E-47A1-B548-5EC4C0BDF9EB}","LR1501.CZC",20140801,2875,2875,2875,2861,2864,2865,1212,6945.54,12660,-11,182,2,2016-03-17 11:10:51,0
"20","{51DECB90-5FD2-4B2B-9B63-3BCFEE879F32}","LR1501.CZC",20140804,2865,2868,2878,2851,2855,2865,1524,8731.87,12884,-10,224,2,2016-03-17 11:10:52,0
"21","{92DD877A-29A0-4A5C-9D5A-149C08E7AFB8}","LR1501.CZC",20140805,2865,2857,2859,2845,2846,2851,1030,5872.86,12978,-19,94,2,2016-03-17 11:10:52,0
