"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{18A6759E-6EFA-4F17-9C8C-5975AA244894}","M0105.DCE",20000717,2050,2160,2160,1996,1996,2096,372,780.08,270,-54,270,2,2016-03-17 10:11:40,0
"2","{B7B15612-25F0-4138-81C7-A566F269B198}","M0105.DCE",20000718,2096,2013,2146,2013,2038,2056,1084,2228.73,692,-58,422,2,2016-03-17 10:11:40,0
"3","{F537A046-D550-4CD5-B138-84AB33E136A1}","M0105.DCE",20000719,2056,2040,2040,2011,2012,2024,136,275.27,742,-44,50,2,2016-03-17 10:11:40,0
"4","{52AEA23E-9100-46D4-B841-CA520ABD18A0}","M0105.DCE",20000720,2024,2021,2026,2006,2016,2016,60,120.96,742,-8,NA,2,2016-03-17 10:11:40,0
"5","{59A0F7DD-6C70-417D-8401-5D25C4481660}","M0105.DCE",20000721,2016,1990,1998,1970,1970,1987,204,405.35,754,-46,12,2,2016-03-17 10:11:40,0
"6","{81663658-BF45-4DCD-8197-DC4EBD7BCD80}","M0105.DCE",20000724,1987,1970,1977,1930,1976,1965,118,231.87,748,-11,-6,2,2016-03-17 10:11:40,0
"7","{9306D823-F82F-466D-87DD-49B45BE915C2}","M0105.DCE",20000725,1965,1938,1998,1937,1998,1953,124,242.22,748,33,NA,2,2016-03-17 10:11:40,0
"8","{D8F798C9-A809-414A-AC74-74B8E29D91CE}","M0105.DCE",20000726,1953,1990,1990,1940,1950,1968,62,122.02,748,-3,NA,2,2016-03-17 10:11:40,0
"9","{70F61881-892F-460A-8B76-482770446B91}","M0105.DCE",20000727,1968,1987,1987,1935,1948,1951,66,128.82,748,-20,NA,2,2016-03-17 10:11:40,0
"10","{8BB6EC2A-D725-4DBF-B765-7CA9D28FF38E}","M0105.DCE",20000728,1951,1924,1950,1922,1926,1936,158,305.97,742,-25,-6,2,2016-03-17 10:11:40,0
