"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{0944E493-269F-4224-961B-82F9EE098012}","NI1507.SHF",20150327,102070,101870,102710,100650,101080,101180,28860,292013.136,14364,-990,14364,2,2016-03-17 11:11:38,0
"2","{329F7ADC-2018-4361-AA9B-DB5145114A4B}","NI1507.SHF",20150330,101180,99010,1e+05,96820,98430,98390,66684,656151.758,34186,-2750,19822,2,2016-03-17 11:11:39,0
"3","{E946F405-AE78-4C07-A82C-C3625E78E02D}","NI1507.SHF",20150331,98390,98000,98200,93840,95040,95950,105600,1013274.91,54888,-3350,20702,2,2016-03-17 11:11:39,0
"4","{FA717A3F-BBAD-42B1-AA95-5EF30FCD7C64}","NI1507.SHF",20150401,95950,93940,94130,91270,92500,92870,158952,1476338.488,70960,-3450,16072,2,2016-03-17 11:11:39,0
"5","{E9F89162-BAF8-4B71-8D57-76954396AF23}","NI1507.SHF",20150402,92870,92870,96600,92550,96160,94320,202848,1913386.812,80724,3290,9764,2,2016-03-17 11:11:39,0
"6","{0AF7B988-A2E4-490E-9976-62D4356D191B}","NI1507.SHF",20150403,94320,96000,97800,95660,97300,96530,150282,1450703.286,80998,2980,274,2,2016-03-17 11:11:40,0
"7","{D291D137-E896-47A3-8279-31F7DF8C0B1C}","NI1507.SHF",20150407,96530,97500,97980,95950,96420,96790,75688,732658.128,83542,-110,2544,2,2016-03-17 11:11:40,0
"8","{563F0C18-6FD1-4517-8E0A-E30CDD3011C6}","NI1507.SHF",20150408,96790,94500,95630,93300,93950,94450,183088,1729307.818,95102,-2840,11560,2,2016-03-17 11:11:40,0
"9","{8C8F3279-380A-49C6-96E1-8E7CACD6FD76}","NI1507.SHF",20150409,94450,94450,95260,93880,94300,94500,160974,1521333.544,99084,-150,3982,2,2016-03-17 11:11:40,0
"10","{4508B126-A048-4412-A859-A8061FA36D1E}","NI1507.SHF",20150410,94500,94500,94970,93180,94540,94080,137722,1295809.032,105628,40,6544,2,2016-03-17 11:11:41,0
"11","{D6265933-6AA1-4370-9FDC-3A5DE471CF81}","NI1507.SHF",20150413,94080,94280,95670,93700,95230,94720,180214,1707095.116,112858,1150,7230,2,2016-03-17 11:11:41,0
"12","{7520E06B-1C61-486C-8645-7120A32B6B7A}","NI1507.SHF",20150414,94720,94780,95070,92810,93100,93740,199150,1866881.88,127690,-1620,14832,2,2016-03-17 11:11:41,0
"13","{946E1FB6-69AB-40AF-A9C7-38A2101F2C37}","NI1507.SHF",20150415,93740,92700,95000,92640,94730,93970,220106,2068449.082,132258,990,4568,2,2016-03-17 11:11:41,0
"14","{EFFDB407-868E-499B-B4C2-2BCCC2E79CB1}","NI1507.SHF",20150416,93970,94610,95900,94260,95400,95090,195920,1863068.586,131624,1430,-634,2,2016-03-17 11:11:42,0
"15","{36CB5183-A01E-4E38-A712-C06B90014008}","NI1507.SHF",20150417,95090,96280,96660,95010,95850,95900,168702,1617969.57,127284,760,-4340,2,2016-03-17 11:11:42,0
"16","{EE55C682-9F95-477E-AC93-96EE90041E17}","NI1507.SHF",20150420,95900,95980,96550,95200,95410,95910,148104,1420552.792,116410,-490,-10874,2,2016-03-17 11:11:42,0
"17","{F68E8B28-63A2-4485-9C88-47E286752CFC}","NI1507.SHF",20150421,95910,95330,96800,94900,95880,95910,140930,1351681.212,110552,-30,-5858,2,2016-03-17 11:11:42,0
"18","{CF7EF9CB-71CE-426E-9569-00F40232A233}","NI1507.SHF",20150422,95910,95910,96720,95750,96330,96260,123902,1192744.71,110516,420,-36,2,2016-03-17 11:11:43,0
"19","{512C1FBD-06A2-4AD7-A984-C1E0EE0DC4E0}","NI1507.SHF",20150423,96260,96120,96500,95600,95860,96140,101066,971708.27,110646,-400,130,2,2016-03-17 11:11:43,0
"20","{00FBC796-3C1F-45A0-B38F-DD097401DC64}","NI1507.SHF",20150424,96140,95840,97900,95700,97830,96660,118180,1142342.824,113816,1690,3170,2,2016-03-17 11:11:43,0
"21","{E5B02540-338D-48C5-BAE4-D7FF7E72F8DB}","NI1507.SHF",20150427,96660,98000,101490,97990,101490,100090,241904,2421304.806,116290,4830,2474,2,2016-03-17 11:11:43,0
"22","{BD96678B-6929-47A7-B99E-5EBE89A2C42C}","NI1507.SHF",20150428,100090,102490,104530,101420,102650,103110,285722,2946180.494,111958,2560,-4332,2,2016-03-17 11:11:44,0
"23","{3CD95160-EC1C-4417-909A-36D544D70260}","NI1507.SHF",20150429,103110,102350,104400,100500,101020,102440,317634,3253921.328,111334,-2090,-624,2,2016-03-17 11:11:44,0
"24","{F4A52851-88D4-4883-967A-7208B47D7306}","NI1507.SHF",20150430,102440,101190,106980,101160,106010,104070,552750,5752803.94,125970,3570,14636,2,2016-03-17 11:11:44,0
"25","{F7BDC985-3ECE-4ACA-B1FE-5077AC6F96F2}","NI1507.SHF",20150504,104070,106010,108900,105450,107580,107000,278844,2983881.22,128702,3510,2732,2,2016-03-17 11:11:44,0
"26","{CC69CF19-2CA6-4FFD-8D11-1F930BE08B08}","NI1507.SHF",20150505,107000,107850,109230,106160,107960,107990,518266,5597104.464,133626,960,4924,2,2016-03-17 11:11:45,0
"27","{C656525D-8E0A-455F-B407-B7047769C3D3}","NI1507.SHF",20150506,107990,110000,113380,109690,113380,112100,609024,6827214.754,134182,5390,556,2,2016-03-17 11:11:45,0
"28","{5D7928AA-0668-4E71-A981-02E117E68D80}","NI1507.SHF",20150507,112100,114580,115300,111050,112500,112960,969052,10947348.872,123678,400,-10504,2,2016-03-17 11:11:45,0
"29","{9792D675-E51F-4796-BFA9-2E5D1876D49E}","NI1507.SHF",20150508,112960,113700,114100,110000,112300,111810,878416,9822370.566,118556,-660,-5122,2,2016-03-17 11:11:45,0
"30","{2C762F5D-0746-4895-8714-4DBF16F63003}","NI1507.SHF",20150511,111810,111810,114430,111060,113880,112550,728054,8194966.614,128054,2070,9498,2,2016-03-17 11:11:46,0
"31","{263CDCE3-6880-4596-BECC-8577388B502C}","NI1507.SHF",20150512,112550,113300,115060,111270,111600,113270,871696,9873932.486,126536,-950,-1518,2,2016-03-17 11:11:46,0
"32","{A03C11D7-D72F-446F-B5F1-8EA6D3473D44}","NI1507.SHF",20150513,113270,112280,113650,110780,111750,112190,752614,8444303.1,123868,-1520,-2668,2,2016-03-17 11:11:46,0
"33","{4D9FD300-18C6-487E-BC14-F6F727294A95}","NI1507.SHF",20150514,112190,112100,112100,107060,109400,109780,760542,8349435.512,121384,-2790,-2484,2,2016-03-17 11:11:46,0
