"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{B3CB9F83-C6BC-46EA-8B6F-BEFBF715D831}","RO0709.CZC",20070608,8750,10380,10500,8932,8940,9134,119364,545076.89,19378,NA,NA,2,2016-03-17 10:41:40,0
"2","{79F0C469-A058-458D-8CDF-2642D4D4B8BE}","RO0709.CZC",20070611,9134,8910,8988,8768,8768,8884,50066,222379.48,25142,NA,5764,2,2016-03-17 10:41:40,0
"3","{4899C40D-DB6F-4344-AE67-CA166927A9E9}","RO0709.CZC",20070612,8884,8716,8750,8582,8666,8688,85460,371241.51,30072,NA,4930,2,2016-03-17 10:41:40,0
"4","{4EDF752D-8F69-4EE1-A523-8B1362B421A8}","RO0709.CZC",20070613,8688,8700,8770,8450,8502,8580,130864,561310.37,37664,NA,7592,2,2016-03-17 10:41:40,0
"5","{34B19EB2-2DAD-4805-B50E-D6F7F7D47451}","RO0709.CZC",20070614,8580,8580,8618,8512,8566,8566,107510,460467.36,32860,NA,-4804,2,2016-03-17 10:41:40,0
"6","{E5B95809-29E9-4E32-B708-5A9FD059F04C}","RO0709.CZC",20070615,8566,8600,8646,8558,8612,8608,69794,300361.03,30440,NA,-2420,2,2016-03-17 10:41:40,0
"7","{54551F2C-51D7-4FCC-85C6-19B4B60B12B0}","RO0709.CZC",20070618,8608,8748,8768,8670,8748,8726,50606,220797.99,29812,NA,-628,2,2016-03-17 10:41:40,0
"8","{4915F2CB-0C99-4185-829C-5AA850642331}","RO0709.CZC",20070619,8726,8702,8708,8618,8652,8662,36790,159344.49,26880,NA,-2932,2,2016-03-17 10:41:40,0
"9","{2D4802A1-7EE7-4DC9-9B55-DA2129567270}","RO0709.CZC",20070620,8662,8516,8604,8516,8592,8574,19162,82137.64,26424,NA,-456,2,2016-03-17 10:41:41,0
"10","{F6330A50-0D7E-4CEA-8A0E-282A2206C340}","RO0709.CZC",20070621,8574,8592,8628,8572,8586,8592,9266,39800.5,26122,NA,-302,2,2016-03-17 10:41:41,0
"11","{A93DC1A6-CE00-4B9F-8883-DF83C1648E90}","RO0709.CZC",20070622,8592,8538,8568,8520,8562,8554,10642,45516.82,26482,NA,360,2,2016-03-17 10:41:41,0
"12","{6CB0ACCD-635F-4E77-B3ED-ABC401E0ADED}","RO0709.CZC",20070625,8554,8526,8586,8520,8576,8568,11320,48490.93,25862,NA,-620,2,2016-03-17 10:41:41,0
"13","{ABDDB22E-57B3-4BEC-A855-5F550D1A3D60}","RO0709.CZC",20070626,8568,8580,8598,8504,8524,8542,14186,60579.33,25062,NA,-800,2,2016-03-17 10:41:41,0
"14","{3CB8CB72-2C76-428C-A269-B9E1214FE49B}","RO0709.CZC",20070627,8542,8532,8548,8342,8416,8408,44758,188135.54,29584,NA,4522,2,2016-03-17 10:41:41,0
"15","{F3506C64-0618-487B-8ADA-2CD33706C842}","RO0709.CZC",20070628,8408,8406,8466,8406,8458,8448,17314,73126.71,25252,NA,-4332,2,2016-03-17 10:41:41,0
"16","{AF7B2576-8E63-47BA-9E79-9A2A987B1494}","RO0709.CZC",20070629,8448,8510,8592,8462,8578,8546,21842,93325.46,21300,NA,-3952,2,2016-03-17 10:41:41,0
"17","{FDC00BD9-5664-4879-ABF0-3FE2BED96B73}","RO0709.CZC",20070702,8546,8700,8886,8576,8774,8766,49022,214830.72,15580,NA,-5720,2,2016-03-17 10:41:41,0
"18","{5FA8EDA4-3326-41CC-88FF-93C10CE67C5E}","RO0709.CZC",20070703,8766,8770,8770,8720,8726,8742,13666,59733.35,13374,NA,-2206,2,2016-03-17 10:41:41,0
"19","{8071A4AF-7AC3-4F8F-8C4E-8A0271594935}","RO0709.CZC",20070704,8742,8672,8770,8650,8762,8712,15392,67046.96,14414,NA,1040,2,2016-03-17 10:41:41,0
"20","{87227B34-FB94-4351-805C-7672100A4A3F}","RO0709.CZC",20070705,8712,8768,8820,8738,8748,8776,19030,83492.49,13776,NA,-638,2,2016-03-17 10:41:41,0
