"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{3706F9CD-A283-41C0-8CDF-1908B4B8F20A}","PM1301.CZC",20120117,2238,2219,2219,2219,2219,2219,2,22.19,2,-19,2,2,2016-03-17 11:08:24,0
"2","{37EF279A-0F31-4E65-AAF4-57ABC9B38F96}","PM1301.CZC",20120118,2219,NA,NA,NA,NA,2219,0,0,2,0,0,2,2016-03-17 11:08:24,0
"3","{F85A0B4E-2A93-4256-9168-A6FE1EDA36A1}","PM1301.CZC",20120119,2219,NA,NA,NA,NA,2219,0,0,2,0,0,2,2016-03-17 11:08:25,0
"4","{C44AE901-3B27-4DFE-9F79-ABBC087F1768}","PM1301.CZC",20120120,2219,2218,2218,2204,2204,2213,6,66.39,6,-15,4,2,2016-03-17 11:08:25,0
"5","{2E536529-63B9-4591-92A1-1C6E97CA5911}","PM1301.CZC",20120130,2213,2220,2220,2200,2219,2210,8,88.39,12,6,6,2,2016-03-17 11:08:25,0
"6","{EBB0B3FA-05D8-4D98-A407-3CFD8F78EF03}","PM1301.CZC",20120131,2210,2206,2210,2198,2200,2203,48,528.76,46,-10,34,2,2016-03-17 11:08:25,0
"7","{895930A6-08DA-482B-9066-FC9281C661E6}","PM1301.CZC",20120201,2203,2207,2207,2200,2204,2202,36,396.36,74,1,28,2,2016-03-17 11:08:25,0
"8","{01D7BEDA-3AE3-4103-B09E-5C5C4B0ACBA1}","PM1301.CZC",20120202,2202,2198,2202,2198,2202,2200,4,44,74,0,0,2,2016-03-17 11:08:26,0
"9","{661D9518-A9FE-4150-8980-77BBC1125EA4}","PM1301.CZC",20120203,2200,2200,2211,2200,2206,2206,26,286.84,80,6,6,2,2016-03-17 11:08:26,0
"10","{2F53FF73-3991-42A2-9930-DDA6B805BA37}","PM1301.CZC",20120206,2206,2222,2225,2208,2220,2216,96,1063.7,124,14,44,2,2016-03-17 11:08:26,0
"11","{8D8EE6F5-D492-4CBC-856C-D9CC77D6C3A2}","PM1301.CZC",20120207,2216,2223,2223,2204,2208,2213,52,575.41,146,-8,22,2,2016-03-17 11:08:26,0
"12","{8EC132A5-115C-475D-89E5-B42BD5EC0A0F}","PM1301.CZC",20120208,2213,2216,2216,2206,2215,2211,48,530.57,176,2,30,2,2016-03-17 11:08:26,0
"13","{2519B3AB-6B4D-4B74-8802-83BF53387937}","PM1301.CZC",20120209,2211,2213,2213,2205,2205,2211,62,685.35,218,-6,42,2,2016-03-17 11:08:26,0
"14","{F052DDB8-36D3-4FC4-8757-761E620CF47F}","PM1301.CZC",20120210,2211,2200,2207,2200,2200,2201,28,308.11,226,-11,8,2,2016-03-17 11:08:27,0
"15","{8AA55619-C180-419A-8342-452BAA3BB8A0}","PM1301.CZC",20120213,2201,2206,2208,2206,2208,2207,4,44.14,226,7,0,2,2016-03-17 11:08:27,0
"16","{E8EC0441-6E99-4B84-B1E1-9F838185C0AB}","PM1301.CZC",20120214,2207,2203,2208,2201,2206,2202,26,286.29,244,-1,18,2,2016-03-17 11:08:27,0
"17","{1A94EE51-C866-4810-9364-F85286557CF7}","PM1301.CZC",20120215,2202,2201,2201,2191,2199,2199,14,153.93,254,-3,10,2,2016-03-17 11:08:27,0
