"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{5107F72F-33D5-4F36-B95B-AE3E59E5B573}","PP1405.DCE",20140228,10500,10680,10720,10604,10657,10670,97582,520622.95,21256,157,21256,2,2016-03-17 11:10:18,0
"2","{9468CC7A-594E-430F-BCF4-581594F2B06B}","PP1405.DCE",20140303,10670,10696,10790,10602,10632,10652,44726,238216.32,18328,-38,-2928,2,2016-03-17 11:10:19,0
"3","{0630486F-9861-46F9-94C1-387D619A667F}","PP1409.DCE",20140304,10307,10310,10330,10256,10306,10292,39938,205522.86,25034,-1,4372,2,2016-03-17 11:10:19,0
"4","{5F5FF440-3A22-422C-9C1C-44965BF96C8D}","PP1409.DCE",20140305,10292,10359,10360,10262,10299,10303,17656,90955.13,23234,7,-1800,2,2016-03-17 11:10:19,0
"5","{C1B5CF3C-1779-4A38-8016-1800F8C48EDB}","PP1409.DCE",20140306,10303,10270,10290,10071,10166,10154,71074,360849.6,32288,-137,9054,2,2016-03-17 11:10:20,0
"6","{0252466F-CD44-487E-88AD-C4E3E754E78A}","PP1409.DCE",20140307,10154,10200,10200,10129,10175,10164,45330,230368.14,37846,21,5558,2,2016-03-17 11:10:20,0
"7","{267FDEBB-E6EF-4047-9765-6882F1B8F7AA}","PP1409.DCE",20140310,10164,10025,10150,10000,10077,10067,79360,399472.54,46536,-87,8690,2,2016-03-17 11:10:20,0
"8","{C4AF13B6-802A-4BD4-88AE-58A459F94A86}","PP1409.DCE",20140311,10067,10096,10350,10050,10180,10167,69412,352873.28,39284,113,-7252,2,2016-03-17 11:10:21,0
"9","{D2F99A24-8971-4B49-9C7A-191DF49A23F9}","PP1409.DCE",20140312,10167,10090,10193,10061,10191,10138,46214,234273.7,49316,24,10032,2,2016-03-17 11:10:21,0
"10","{4CAE86DD-79C1-45ED-AFC5-06113BDF80A1}","PP1409.DCE",20140313,10138,10200,10236,10165,10209,10198,25802,131566.16,49944,71,628,2,2016-03-17 11:10:21,0
"11","{05265E9D-0B02-49CE-8678-FBEBA3B17339}","PP1409.DCE",20140314,10198,10200,10210,10120,10171,10163,45528,231351.26,52024,-27,2080,2,2016-03-17 11:10:22,0
"12","{2AACA45C-FD88-449B-BD4E-CF0525EABC0B}","PP1409.DCE",20140317,10163,10165,10290,10140,10171,10182,26120,132982.3,52644,8,620,2,2016-03-17 11:10:22,0
"13","{7CF94A89-098C-4A4B-BAF7-4A101CC4779C}","PP1409.DCE",20140318,10182,10125,10290,10125,10284,10237,56886,291180.4,51812,102,-832,2,2016-03-17 11:10:22,0
"14","{4F3A6C2D-24C9-41BB-9AAF-EF1E3EDE0F09}","PP1409.DCE",20140319,10237,10300,10348,10214,10214,10278,36210,186098.73,48670,-23,-3142,2,2016-03-17 11:10:23,0
"15","{5D1D0999-91A4-4AA1-8676-4425559C423B}","PP1409.DCE",20140320,10278,10220,10260,10195,10240,10230,25118,128479.53,43802,-38,-4868,2,2016-03-17 11:10:23,0
"16","{51E1831B-A937-4290-9E72-A90DD98B7D9B}","PP1409.DCE",20140321,10230,10206,10295,10202,10285,10247,23768,121785.16,44088,55,286,2,2016-03-17 11:10:24,0
"17","{1FD04A6B-A52F-4D67-B8F0-2B78F25FC951}","PP1409.DCE",20140324,10247,10280,10324,10241,10310,10290,24834,127777.41,47484,63,3396,2,2016-03-17 11:10:24,0
"18","{6FA290DD-1109-4F14-B59E-D4A447FD3A86}","PP1409.DCE",20140325,10290,10315,10436,10290,10406,10371,52928,274464.51,45170,116,-2314,2,2016-03-17 11:10:24,0
"19","{1145777E-D435-423F-BFAE-F1494807F19C}","PP1409.DCE",20140326,10371,10389,10560,10385,10527,10499,118820,623770.48,52690,156,7520,2,2016-03-17 11:10:25,0
"20","{641146B6-ECAE-471E-8D4E-E43CE00A160A}","PP1409.DCE",20140327,10499,10530,10530,10474,10492,10500,46228,242710.18,51682,-7,-1008,2,2016-03-17 11:10:25,0
"21","{BDB92824-FD74-44DA-B7CA-54256B037B81}","PP1409.DCE",20140328,10500,10500,10625,10492,10620,10556,75226,397055.13,58422,120,6740,2,2016-03-17 11:10:25,0
"22","{DE5BC4CE-283D-41C2-BEA5-658C86D57053}","PP1409.DCE",20140331,10556,10618,10650,10563,10582,10602,41398,219451.78,58034,26,-388,2,2016-03-17 11:10:26,0
