"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{087246CD-AB66-491B-9664-C7B054BFE714}","RB0909.SHF",20090327,NA,3550,3663,3513,3561,3577,354590,1268424.59,45548,NA,45548,2,2016-05-05 08:45:18,1
"2","{A27CE19C-AE51-4FE0-90C9-7FEC2EDCC919}","RB0909.SHF",20090330,3577,3550,3580,3528,3544,3548,145168,515145.32,48380,-33,2832,2,2016-05-05 08:45:18,1
"3","{C138806F-C6F5-4FEB-B535-F2528037922F}","RB0909.SHF",20090331,3548,3538,3566,3531,3549,3549,70592,250600.29,44714,1,-3666,2,2016-05-05 08:45:18,1
"4","{8210A4E5-C98B-4A29-AE19-26B2C40CAD61}","RB0909.SHF",20090401,3549,3560,3561,3543,3547,3549,28100,99751.88,42076,-2,-2638,2,2016-05-05 08:45:18,1
"5","{2E5D2A80-C3A9-44C0-8A2B-AD338566FF4A}","RB0909.SHF",20090402,3549,3545,3548,3456,3473,3481,235446,819716.77,68888,-76,26812,2,2016-05-05 08:45:18,1
"6","{FBA7F99E-DAB1-4DC0-8404-D08E5B30AF60}","RB0909.SHF",20090403,3481,3481,3481,3436,3448,3456,152376,526691.75,75038,-33,6150,2,2016-05-05 08:45:18,1
"7","{AA435465-677E-4FFB-B6C4-96148E00B85C}","RB0909.SHF",20090407,3456,3410,3518,3410,3491,3482,242578,844799.05,100482,35,25444,2,2016-05-05 08:45:18,1
"8","{0F5C041A-5A68-4D45-AF4E-3B9703A0827C}","RB0909.SHF",20090408,3482,3480,3491,3456,3463,3469,147288,511032.53,91910,-19,-8572,2,2016-05-05 08:45:18,1
"9","{78A62AB4-8361-4558-A40D-5D31F56C22C0}","RB0909.SHF",20090409,3469,3476,3486,3460,3468,3472,87688,304514.6,94832,-1,2922,2,2016-05-05 08:45:18,1
"10","{C7C839C9-A788-4DA4-BFD3-240094D421FC}","RB0909.SHF",20090410,3472,3483,3499,3470,3484,3485,120978,421623.05,100164,12,5332,2,2016-05-05 08:45:18,1
"11","{8C374FED-808E-480A-8278-A93925EBFA19}","RB0909.SHF",20090413,3485,3485,3493,3464,3469,3481,109820,382317.09,109430,-16,9266,2,2016-05-05 08:45:18,1
"12","{17A896BE-6C15-4FE4-8E24-8A0A7FBE53C5}","RB0909.SHF",20090414,3481,3475,3600,3469,3560,3558,540646,1923791.89,150640,79,41210,2,2016-05-05 08:45:18,1
"13","{6E4F7A7A-72D3-44A7-BED0-005583C34D62}","RB0909.SHF",20090415,3558,3570,3590,3550,3562,3566,255606,911622.27,151496,4,856,2,2016-05-05 08:45:18,1
"14","{A80AA775-EBE6-4471-9C61-CB52443F7AE4}","RB0909.SHF",20090416,3566,3582,3628,3570,3596,3597,250464,900979.25,169328,30,17832,2,2016-05-05 08:45:18,1
"15","{5544E9DF-556F-4D58-8388-5B6CDB63B4E1}","RB0909.SHF",20090417,3597,3594,3648,3581,3620,3622,339250,1228872.57,219892,23,50564,2,2016-05-05 08:45:18,1
"16","{D373BB7E-C5B8-4600-9B31-FFE46FB3B3E8}","RB0909.SHF",20090420,3622,3620,3648,3608,3623,3632,259196,941570.85,237828,1,17936,2,2016-05-05 08:45:18,1
"17","{BEFA0D54-2A02-478C-B623-68B60632E822}","RB0909.SHF",20090421,3632,3580,3590,3486,3524,3539,332448,1176729.37,239554,-108,1726,2,2016-05-05 08:45:18,1
"18","{F34FF96C-AC0E-45A1-8318-7E3F3F509777}","RB0909.SHF",20090422,3539,3550,3566,3508,3526,3536,168524,595914.2,232948,-13,-6606,2,2016-05-05 08:45:18,1
"19","{E7722208-687C-45EF-AC11-79A4C286DF19}","RB0909.SHF",20090423,3536,3529,3531,3488,3513,3507,130386,457376.22,232986,-23,38,2,2016-05-05 08:45:18,1
"20","{366A4B50-AD3B-44E3-9BF9-3E17571E4764}","RB0909.SHF",20090424,3507,3513,3522,3497,3501,3506,101444,355699.48,246048,-6,13062,2,2016-05-05 08:45:18,1
"21","{145A0997-F7AD-4C8A-AEEB-3C5BA390A368}","RB0909.SHF",20090427,3506,3510,3520,3492,3499,3505,102472,359202.89,254508,-7,8460,2,2016-05-05 08:45:18,1
"22","{FE710EE8-8786-49E5-B2C0-DC616C3E6357}","RB0909.SHF",20090428,3505,3496,3515,3496,3507,3507,96548,338664.43,262534,2,8026,2,2016-05-05 08:45:18,1
"23","{4586E555-29E3-4CAF-AF9F-46B0348892F4}","RB0909.SHF",20090429,3507,3507,3520,3503,3520,3511,102694,360640.86,275054,13,12520,2,2016-05-05 08:45:18,1
"24","{068CC20D-30D7-42C4-90A6-5BF063C698E6}","RB0909.SHF",20090430,3511,3536,3575,3523,3553,3543,246912,874985.46,297600,42,22546,2,2016-05-05 08:45:18,1
"25","{71A100EE-7338-41C7-A4CB-719992D425F3}","RB0909.SHF",20090504,3543,3573,3660,3571,3636,3624,574332,2081622.81,326102,93,28502,2,2016-05-05 08:45:18,1
"26","{8571AFD8-AE4C-4118-A459-64DCFEB7E970}","RB0909.SHF",20090505,3624,3636,3644,3570,3577,3588,175954,631447.31,309944,-47,-16158,2,2016-05-05 08:45:18,1
"27","{F7A24487-488D-49C8-B1A0-7DDD7AA98279}","RB0909.SHF",20090506,3588,3578,3598,3573,3594,3591,103788,372764.88,313462,6,3518,2,2016-05-05 08:45:18,1
"28","{95811494-D390-4B5B-8525-11808A0FF63A}","RB0909.SHF",20090507,3591,3628,3630,3591,3593,3608,150420,542743.78,319090,2,5628,2,2016-05-05 08:45:18,1
"29","{88996735-E193-4AF0-9711-ABE5972E8398}","RB0909.SHF",20090508,3608,3599,3616,3589,3614,3602,103620,373306.65,323154,6,4064,2,2016-05-05 08:45:18,1
"30","{BF3CC030-24B8-46BB-85F9-18964440E6A8}","RB0909.SHF",20090511,3602,3615,3678,3606,3639,3649,335082,1222718.46,339154,37,16000,2,2016-05-05 08:45:18,1
"31","{3C91BF6A-AFAE-48D9-BF4D-429E3C9B4FDD}","RB0909.SHF",20090512,3649,3645,3660,3630,3645,3647,193634,706321.78,339446,-4,292,2,2016-05-05 08:45:18,1
"32","{0BB0A631-F88A-4251-9805-5808895DC655}","RB0909.SHF",20090513,3647,3655,3657,3634,3639,3646,118636,432636.1,340500,-8,1054,2,2016-05-05 08:45:18,1
"33","{30BAE0EF-C9A6-4790-88EE-4B206A07871C}","RB0909.SHF",20090514,3646,3616,3620,3590,3594,3598,139572,502270.14,336300,-52,-4200,2,2016-05-05 08:45:18,1
"34","{B93CE85A-0D81-43B7-ACB5-AC8156B1A2F5}","RB0909.SHF",20090515,3598,3600,3618,3596,3604,3606,132292,477072.85,338078,6,1778,2,2016-05-05 08:45:18,1
"35","{856F2A52-96EE-430B-BE15-912EC7FEB287}","RB0909.SHF",20090518,3606,3595,3612,3581,3608,3596,104746,376713.87,336750,2,-1328,2,2016-05-05 08:45:18,1
"36","{A3C74AFF-E4AE-4283-AC41-DA95BD49B40F}","RB0909.SHF",20090519,3596,3630,3630,3611,3618,3617,95620,345933.71,335490,22,-1260,2,2016-05-05 08:45:18,1
"37","{FF617799-39FF-4376-AA3A-C731027C3DE2}","RB0909.SHF",20090520,3617,3616,3644,3612,3618,3624,118774,430484.31,337480,1,1990,2,2016-05-05 08:45:18,1
"38","{AF67F2E3-EFC1-464A-9E27-F1D0BA89A516}","RB0909.SHF",20090521,3624,3620,3642,3618,3624,3629,117628,426907.13,341848,0,4368,2,2016-05-05 08:45:18,1
"39","{36AF688E-F79C-4769-87D9-5B640226E1E9}","RB0909.SHF",20090522,3629,3619,3627,3608,3618,3617,60222,217867.67,340042,-11,-1806,2,2016-05-05 08:45:18,1
"40","{C3EF2F04-0D08-4D84-AFDF-983D4E9ADB9B}","RB0909.SHF",20090525,3617,3629,3629,3600,3609,3607,95810,345612.09,353156,-8,13114,2,2016-05-05 08:45:18,1
"41","{8E5B63F3-BFCE-4BE3-91DF-A59A56BE04B5}","RB0909.SHF",20090526,3607,3609,3620,3596,3601,3606,114194,411828.32,342966,-6,-10190,2,2016-05-05 08:45:18,1
"42","{C977FA26-EC8F-4B28-8708-64F757768200}","RB0909.SHF",20090527,3606,3628,3628,3606,3610,3610,46518,167963.46,336726,4,-6240,2,2016-05-05 08:45:18,1
"43","{8E2C6AE1-E7CD-4459-9AC3-D6EE9BC7E991}","RB0909.SHF",20090601,3610,3630,3657,3622,3647,3643,193008,703285.91,345990,37,9264,2,2016-05-05 08:45:18,1
