"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{5210D2BE-45C2-423A-B13A-E3ACAF317DAC}","RS1309.CZC",20121228,5000,5320,5320,5155,5269,5234,124086,649438.01,8886,269,8886,2,2016-03-17 11:09:10,0
"2","{462A7AAA-44E8-4DA5-A171-5B280933A3A7}","RS1309.CZC",20121231,5234,5274,5386,5233,5273,5309,145038,769950.53,8804,39,-82,2,2016-03-17 11:09:10,0
"3","{46FAC85E-B8C8-4EA9-A2BA-E83A3EEFEB4F}","RS1309.CZC",20130104,5309,5273,5357,5256,5346,5322,83848,446257.11,13298,37,4494,2,2016-03-17 11:09:10,0
"4","{0C668EA9-AF53-44D1-BBCB-5386C595C8C0}","RS1309.CZC",20130107,5322,5333,5530,5333,5440,5453,205756,1122065.19,22276,118,8978,2,2016-03-17 11:09:11,0
"5","{AA7208EA-77FD-4E8C-A448-F2D13A8B414E}","RS1309.CZC",20130108,5453,5460,5465,5380,5413,5420,96738,524279.98,18808,-40,-3468,2,2016-03-17 11:09:11,0
"6","{1FAC80BD-BA4D-4803-A4F4-15385F944740}","RS1309.CZC",20130109,5420,5422,5497,5422,5440,5466,100380,548668.79,19830,20,1022,2,2016-03-17 11:09:11,0
"7","{D7C641B4-2F4C-4A5B-85EF-11A1C1F0A6C3}","RS1309.CZC",20130110,5466,5460,5478,5425,5447,5451,54266,295822.77,19510,-19,-320,2,2016-03-17 11:09:11,0
"8","{68239120-2156-45EC-9FB2-D96436555257}","RS1309.CZC",20130111,5451,5460,5520,5426,5432,5474,91932,503221.64,22176,-19,2666,2,2016-03-17 11:09:12,0
"9","{8E556B4F-58E2-453D-BEEC-BBC84F2F6D05}","RS1309.CZC",20130114,5474,5447,5485,5404,5465,5450,76848,418859.99,22410,-9,234,2,2016-03-17 11:09:12,0
"10","{297DCB6C-35C2-4258-8A34-EC8DE7922784}","RS1309.CZC",20130115,5450,5483,5551,5427,5432,5482,142592,781676.66,23262,-18,852,2,2016-03-17 11:09:12,0
