"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{93A020D0-15D9-4574-86E2-98D32F71C4A7}","SF1501.CZC",20140808,6000,5892,5898,5744,5804,5796,148816,431177,31108,-196,31108,2,2016-03-17 11:10:53,0
"2","{4305EBDD-7FAD-47F6-A66B-98E8CDB2E5B2}","SF1501.CZC",20140811,5796,5768,5882,5768,5832,5838,106956,312177.62,33658,36,2550,2,2016-03-17 11:10:54,0
"3","{5030B0B5-6C83-4C0D-937B-B635D3B18287}","SF1501.CZC",20140812,5838,5810,5956,5808,5912,5906,233812,690489.88,46588,74,12930,2,2016-03-17 11:10:54,0
"4","{184834C0-537A-4C4A-9EA4-682FB23EADB9}","SF1501.CZC",20140813,5906,5920,5946,5880,5926,5910,119328,352601.6,46610,20,22,2,2016-03-17 11:10:54,0
"5","{BEA41838-CBBC-476A-B157-9D2A594F97C1}","SF1501.CZC",20140814,5910,5918,5936,5710,5740,5784,142708,412681.57,35404,-170,-11206,2,2016-03-17 11:10:54,0
"6","{6EA6674F-8C93-4333-8FA0-1384036680A5}","SF1501.CZC",20140815,5784,5740,5780,5730,5774,5754,63946,183984.3,33498,-10,-1906,2,2016-03-17 11:10:55,0
"7","{31A86DEE-EF91-4F25-BD8E-7DB9C2C9111B}","SF1501.CZC",20140818,5754,5776,5796,5730,5748,5756,48440,139388.31,33734,-6,236,2,2016-03-17 11:10:55,0
"8","{CC67537B-7BB1-4C0B-A2C5-C4CA5A1695CB}","SF1501.CZC",20140819,5756,5740,5780,5690,5776,5744,39674,113953.13,32334,20,-1400,2,2016-03-17 11:10:55,0
"9","{B4BCF8B6-79E9-40E9-8412-65D2A70857BA}","SF1501.CZC",20140820,5744,5778,5778,5514,5730,5730,47588,136330.83,33542,-14,1208,2,2016-03-17 11:10:56,0
"10","{3DED32F9-7BCB-4BE1-A613-0A4CF2B5FAFF}","SF1501.CZC",20140821,5730,5746,5778,5722,5742,5742,15598,44776.52,33038,12,-504,2,2016-03-17 11:10:56,0
"11","{16BDD558-C338-4B79-90F4-CBB4D972AFAF}","SF1501.CZC",20140822,5742,5736,5754,5706,5716,5726,27818,79644.16,33512,-26,474,2,2016-03-17 11:10:56,0
"12","{FCC61064-652A-42A2-97B5-23C01994A5E8}","SF1501.CZC",20140825,5726,5710,5742,5676,5738,5722,40176,114936.42,29610,12,-3902,2,2016-03-17 11:10:57,0
"13","{0573CF2C-7535-49F5-9626-59B5CA9687B2}","SF1501.CZC",20140826,5722,5742,5770,5726,5752,5742,15454,44371.16,24442,30,-5168,2,2016-03-17 11:10:57,0
"14","{4012DE12-12C9-4254-8394-C8FB7011E7B6}","SF1501.CZC",20140827,5742,5744,5788,5744,5766,5770,16096,46428.36,21552,24,-2890,2,2016-03-17 11:10:57,0
"15","{72BE65E1-DED9-46CE-ACC4-1695C0AFA16E}","SF1501.CZC",20140828,5770,5760,5780,5734,5780,5756,11954,34400.06,20416,10,-1136,2,2016-03-17 11:10:58,0
"16","{CE032E98-D30E-493E-828B-4D678E062E17}","SF1501.CZC",20140829,5756,5776,5810,5756,5800,5778,16324,47152.11,19760,44,-656,2,2016-03-17 11:10:58,0
"17","{5D6F4C19-0B21-490B-A3A9-68E0DB3472FB}","SF1501.CZC",20140901,5778,5804,5828,5776,5776,5804,22664,65773.39,21208,-2,1448,2,2016-03-17 11:10:58,0
"18","{598D4A15-50C7-4FF8-ACCD-5B358EB55B30}","SF1501.CZC",20140902,5804,5772,5798,5714,5762,5754,34782,100061.73,24782,-42,3574,2,2016-03-17 11:10:59,0
"19","{F36A6D2A-1D3B-458F-A706-87A8C118FB89}","SF1501.CZC",20140903,5754,5762,5792,5750,5754,5774,10766,31076.86,24676,0,-106,2,2016-03-17 11:10:59,0
"20","{ACDDA6CB-B22F-4256-B086-E9A83345918F}","SF1501.CZC",20140904,5774,5750,5788,5720,5764,5750,13020,37435.25,24444,-10,-232,2,2016-03-17 11:10:59,0
"21","{C809E6D4-3368-4C60-A41F-59716BDF423C}","SF1501.CZC",20140905,5750,5768,5784,5736,5752,5758,10634,30615.4,24888,2,444,2,2016-03-17 11:11:00,0
