"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{3E606753-4DAF-41C7-8711-AE0C8699DB89}","SM1501.CZC",20140808,6650,6560,6694,6464,6482,6554,119644,392068.08,24550,-168,24550,2,2016-03-17 11:10:53,0
"2","{04D068DB-5C18-4142-A4C8-D304252AE6E1}","SM1501.CZC",20140811,6554,6444,6518,6414,6450,6466,84570,273424.9,25638,-104,1088,2,2016-03-17 11:10:54,0
"3","{10D9B1FA-C4C6-43C6-ABF6-C7E9A847BD92}","SM1501.CZC",20140812,6466,6422,6500,6404,6414,6450,93996,303112.03,31852,-52,6214,2,2016-03-17 11:10:54,0
"4","{42EB36C9-EBF9-4CE7-AFBE-C05C7FCBDC07}","SM1501.CZC",20140813,6450,6410,6456,6388,6424,6424,43002,138131.35,28278,-26,-3574,2,2016-03-17 11:10:54,0
"5","{818422F9-CC36-4573-8D8C-93EC14C68C6A}","SM1501.CZC",20140814,6424,6416,6466,6352,6396,6408,84352,270270.84,28028,-28,-250,2,2016-03-17 11:10:54,0
"6","{7AEF9514-63FA-45E5-99BE-F0F46630D327}","SM1501.CZC",20140815,6408,6400,6426,6386,6412,6408,28828,92354.53,22570,4,-5458,2,2016-03-17 11:10:55,0
"7","{6383B620-0C62-4DD4-B246-523BC7C6AE35}","SM1501.CZC",20140818,6408,6418,6478,6398,6404,6442,38498,124009.14,19164,-4,-3406,2,2016-03-17 11:10:55,0
"8","{32C7BAD7-CBFD-46A7-B6AE-193403E104B0}","SM1501.CZC",20140819,6442,6394,6408,6364,6386,6382,22378,71412.7,18616,-56,-548,2,2016-03-17 11:10:55,0
"9","{A7AA7545-39CB-40C4-90CE-8A5AAA7A0A5F}","SM1501.CZC",20140820,6382,6376,6410,6354,6386,6374,14756,47020.63,18918,4,302,2,2016-03-17 11:10:56,0
"10","{50A05BA5-322F-4756-9049-4307C9656468}","SM1501.CZC",20140821,6374,6398,6406,6360,6370,6380,6248,19928.14,17696,-4,-1222,2,2016-03-17 11:10:56,0
"11","{DCB97402-0CCD-4029-8EA9-662F26A4B73C}","SM1501.CZC",20140822,6380,6366,6398,6366,6392,6388,12830,40973.15,11538,12,-6158,2,2016-03-17 11:10:56,0
"12","{1E6D57CF-2AD9-4E79-BA49-6C5B8A089272}","SM1501.CZC",20140825,6388,6396,6448,6380,6436,6426,24326,78147.5,11352,48,-186,2,2016-03-17 11:10:57,0
"13","{6C09F136-F70A-4CD4-9887-C85186985B87}","SM1501.CZC",20140826,6426,6426,6446,6412,6442,6434,7344,23625.05,10202,16,-1150,2,2016-03-17 11:10:57,0
"14","{2A93CB71-0EE4-4238-AA60-A6B4A33F0C50}","SM1501.CZC",20140827,6434,6484,6484,6398,6398,6430,10064,32356.43,7906,-36,-2296,2,2016-03-17 11:10:57,0
"15","{C0B36DEE-0AC4-41B7-80B2-2F6DC1DEFFA5}","SM1501.CZC",20140828,6430,6392,6410,6366,6378,6384,8966,28621.65,8070,-52,164,2,2016-03-17 11:10:58,0
"16","{99506D62-59F8-4444-9380-C8AE7795D8D4}","SM1501.CZC",20140829,6384,6374,6392,6366,6372,6382,3956,12623.74,6908,-12,-1162,2,2016-03-17 11:10:58,0
"17","{14E48255-D2B2-4157-BC7F-BEA4194296BF}","SM1501.CZC",20140901,6382,6370,6388,6368,6378,6380,5250,16747.06,8340,-4,1432,2,2016-03-17 11:10:58,0
"18","{1149542F-D49A-4170-9ECC-B0FA807A3A99}","SM1501.CZC",20140902,6380,6368,6368,6306,6344,6348,5886,18679.69,9830,-36,1490,2,2016-03-17 11:10:59,0
"19","{2994AA9D-C46D-4312-B768-538C6047F950}","SM1501.CZC",20140903,6348,6326,6352,6324,6340,6344,4738,15028.02,11636,-8,1806,2,2016-03-17 11:10:59,0
"20","{E9650BA8-7FAB-48C5-A1C4-326D67FCA41B}","SM1501.CZC",20140904,6344,6340,6360,6318,6342,6344,3934,12477.71,11500,-2,-136,2,2016-03-17 11:10:59,0
"21","{E508C5D9-BF95-4654-A4E2-264ED5C2BB4C}","SM1501.CZC",20140905,6344,6328,6352,6328,6330,6342,2184,6925.18,12372,-14,872,2,2016-03-17 11:11:00,0
"22","{E4580704-C4AA-4C0E-8A70-2301A2FD0A12}","SM1501.CZC",20140909,6342,6324,6326,6268,6298,6302,6712,21145,14830,-44,2458,2,2016-03-17 11:11:00,0
"23","{9A0AEED4-D028-46AD-B00D-81120A1FAF86}","SM1501.CZC",20140910,6302,6282,6310,6156,6300,6290,4424,13914.42,14596,-2,-234,2,2016-03-17 11:11:00,0
"24","{E61D660C-68A7-4569-9D79-50499AD79D55}","SM1501.CZC",20140911,6290,6300,6300,6264,6264,6284,1676,5266.25,14664,-26,68,2,2016-03-17 11:11:01,0
"25","{00A1C617-6143-4467-89B4-9206E5B43257}","SM1501.CZC",20140912,6284,6270,6288,6250,6288,6272,1308,4102.21,14826,4,162,2,2016-03-17 11:11:01,0
"26","{9A0C4CF4-8459-4716-ADC5-3AEE0BF2A0AE}","SM1501.CZC",20140915,6272,6260,6346,6260,6346,6320,2590,8183.7,14088,74,-738,2,2016-03-17 11:11:01,0
"27","{5BDB5905-93B7-4BE5-9938-C326EBDC6393}","SM1501.CZC",20140916,6320,6348,6350,6300,6300,6330,1312,4152.28,14146,-20,58,2,2016-03-17 11:11:01,0
"28","{2D5F2CD7-BAD3-4E13-994A-1D4BA9D13D08}","SM1501.CZC",20140917,6330,6310,6324,6290,6292,6302,778,2451.5,14216,-38,70,2,2016-03-17 11:11:02,0
"29","{9A8DA51D-647B-407B-8AA8-8F8EB4E4FAFA}","SM1501.CZC",20140918,6302,6298,6298,6246,6252,6262,2004,6274.96,14524,-50,308,2,2016-03-17 11:11:02,0
"30","{73CFCF6D-E13B-439F-80E7-288E87B07515}","SM1501.CZC",20140919,6262,6248,6248,6112,6126,6184,2160,6677.31,14922,-136,398,2,2016-03-17 11:11:02,0
"31","{C69B4F70-1A93-4970-A92D-A3F9D16F3D56}","SM1501.CZC",20140922,6184,6064,6090,6000,6030,6034,5342,16112.84,15022,-154,100,2,2016-03-17 11:11:03,0
"32","{32F343F2-03C4-47CC-B275-BD0F8F7D9B77}","SM1501.CZC",20140923,6034,6020,6130,6020,6042,6060,1130,3423.71,14986,8,-36,2,2016-03-17 11:11:03,0
"33","{73D4178E-2CB1-4FF5-B4C1-3C2E8E4A291C}","SM1501.CZC",20140924,6060,6042,6108,6030,6100,6062,1252,3794.82,14922,40,-64,2,2016-03-17 11:11:03,0
"34","{83243710-B9C5-439A-93FF-9478AFEFEC0F}","SM1501.CZC",20140925,6062,6100,6138,5982,6016,6018,4178,12571.97,16086,-46,1164,2,2016-03-17 11:11:04,0
"35","{F45E65D4-5905-4B52-A676-0625CEEECC66}","SM1501.CZC",20140926,6018,5996,6060,5940,6048,6030,1972,5944.21,15694,30,-392,2,2016-03-17 11:11:04,0
"36","{2D4EFCCA-321B-48BF-83D3-2571003FDFFB}","SM1501.CZC",20140929,6030,6088,6088,6016,6070,6042,1066,3220.42,15406,40,-288,2,2016-03-17 11:11:04,0
"37","{034AD5A4-E8B6-447D-82D1-91E83CCC393D}","SM1501.CZC",20140930,6042,6122,6128,6056,6088,6086,470,1430.15,15192,46,-214,2,2016-03-17 11:11:05,0
"38","{42B10681-5B8A-44DB-95C8-0008DD6424EB}","SM1501.CZC",20141008,6086,6130,6180,6078,6086,6108,606,1850.46,15118,0,-74,2,2016-03-17 11:11:05,0
"39","{4E030EB2-E6A2-4508-9AA4-E734956BA9C5}","SM1501.CZC",20141009,6108,6080,6178,6080,6170,6138,1686,5173.13,15012,62,-106,2,2016-03-17 11:11:05,0
"40","{29C85B97-6481-4E07-B8C4-68408ACCE9DF}","SM1501.CZC",20141010,6138,6152,6170,6122,6144,6154,916,2817.98,14844,6,-168,2,2016-03-17 11:11:05,0
"41","{A3589425-C9A1-42C8-9ECF-4C4E0F195851}","SM1501.CZC",20141013,6154,6170,6320,6150,6244,6244,2854,8909.78,14680,90,-164,2,2016-03-17 11:11:06,0
"42","{F5205E99-53C7-4C25-B9C2-8C1D66DDA38E}","SM1501.CZC",20141014,6244,6288,6288,6170,6202,6200,1098,3403.89,14296,-42,-384,2,2016-03-17 11:11:06,0
"43","{BD11D16F-ACBF-4B9B-9ED1-77FEA22C5524}","SM1501.CZC",20141015,6200,6202,6214,6158,6176,6178,968,2989.97,14316,-24,20,2,2016-03-17 11:11:07,0
"44","{7DFBAAA8-9137-4152-BC59-D086E940F450}","SM1501.CZC",20141016,6178,6150,6186,6118,6160,6148,938,2882.98,14222,-18,-94,2,2016-03-17 11:11:07,0
"45","{F33C5055-A633-48D4-AAD0-B1FBA1DC0B09}","SM1501.CZC",20141017,6148,6184,6314,6180,6216,6246,1656,5171.37,14130,68,-92,2,2016-03-17 11:11:07,0
"46","{8EAA9892-F848-42D4-BC59-9D9A8CE1FEFA}","SM1501.CZC",20141020,6246,6162,6222,6162,6182,6194,1016,3146.1,13996,-64,-134,2,2016-03-17 11:11:07,0
"47","{79BF6B60-3EF6-43EE-942B-962BE080275D}","SM1501.CZC",20141021,6194,6170,6204,6170,6194,6194,498,1541.98,13974,0,-22,2,2016-03-17 11:11:08,0
"48","{4661FC65-AD45-450D-911B-46208573700B}","SM1501.CZC",20141022,6194,6170,6212,6140,6140,6166,1006,3101,13944,-54,-30,2,2016-03-17 11:11:08,0
"49","{914D9837-CEA9-4CF3-87B3-AA877EED91B8}","SM1501.CZC",20141023,6166,6122,6198,6120,6196,6146,730,2243.27,13888,30,-56,2,2016-03-17 11:11:08,0
"50","{6D84B0B5-1601-4667-A750-BD2FA10F4FA0}","SM1501.CZC",20141024,6146,6248,6248,6184,6214,6206,962,2984.93,13642,68,-246,2,2016-03-17 11:11:09,0
"51","{918C5F6C-A963-4D6D-8BA5-DF2D7574F29A}","SM1501.CZC",20141027,6206,6212,6226,6184,6196,6210,506,1571.11,13538,-10,-104,2,2016-03-17 11:11:09,0
"52","{5A1833EF-0074-4C14-8514-DAEEB97C3768}","SM1501.CZC",20141028,6210,6208,6216,6188,6200,6204,390,1209.51,13422,-10,-116,2,2016-03-17 11:11:09,0
"53","{70696C9E-3AE9-4383-8FC7-E283000B24A4}","SM1501.CZC",20141029,6204,6214,6222,6188,6206,6202,480,1488.56,13192,2,-230,2,2016-03-17 11:11:10,0
"54","{4FA4BA6F-31EE-4EE6-AE8B-DC7B245B3D62}","SM1501.CZC",20141030,6202,6216,6220,6180,6180,6196,600,1858.35,13106,-22,-86,2,2016-03-17 11:11:10,0
"55","{280F7E84-D7F1-4B70-92D2-E49A76C101DF}","SM1501.CZC",20141031,6196,6196,6198,6126,6150,6164,582,1793.34,13140,-46,34,2,2016-03-17 11:11:10,0
