"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{2395694D-8B24-4475-A8E7-BF8CF29119A2}","SN1507.SHF",20150327,120190,120000,120010,115150,119270,119230,1798,21437.626,608,-920,608,2,2016-03-17 11:11:38,0
"2","{0176CFC9-7F96-4E7B-87FE-9B40DCEE5792}","SN1507.SHF",20150330,119230,119270,119530,115600,118080,117720,2468,29053.718,830,-1150,222,2,2016-03-17 11:11:39,0
"3","{252E9A4F-8654-48C4-A268-9227EADA7DE6}","SN1507.SHF",20150331,117720,117650,119800,115960,118160,117790,4522,53268.596,1176,440,346,2,2016-03-17 11:11:39,0
"4","{CBAF7A59-1913-48FE-AC85-F60D9BBE70A1}","SN1507.SHF",20150401,117790,118020,118880,117070,117910,118280,4374,51736.104,1272,120,96,2,2016-03-17 11:11:39,0
"5","{1CB4E9EF-AA90-4ADD-A6B5-4C80B18389F8}","SN1507.SHF",20150402,118280,117970,119080,117970,118620,118540,2716,32195.974,1038,340,-234,2,2016-03-17 11:11:39,0
"6","{5558F62E-27A0-4999-AA9E-88D793A45F42}","SN1507.SHF",20150403,118540,118810,119470,118560,118850,118950,1390,16534.576,1000,310,-38,2,2016-03-17 11:11:40,0
"7","{A0194C64-05C3-497F-8DF9-3E00EEC3348B}","SN1507.SHF",20150407,118950,118890,119090,118270,118860,118630,848,10059.93,904,-90,-96,2,2016-03-17 11:11:40,0
"8","{50FCF579-CBE9-4E38-A57E-14F021C847D8}","SN1507.SHF",20150408,118630,118710,118890,117150,117870,118200,848,10023.478,750,-760,-154,2,2016-03-17 11:11:40,0
"9","{2BB0C589-A05A-46F0-8363-82101D472D4C}","SN1507.SHF",20150409,118200,117570,117980,116500,116790,117190,816,9563.434,802,-1410,52,2,2016-03-17 11:11:40,0
"10","{AF9042C8-CA31-4793-8D6D-BC011AACFFA9}","SN1507.SHF",20150410,117190,116500,116980,115320,115990,115860,2418,28015.058,916,-1200,114,2,2016-03-17 11:11:41,0
"11","{569EF47F-6F31-415D-BECE-B37333191597}","SN1507.SHF",20150413,115860,115960,116290,115270,115940,115750,1628,18845.234,1008,80,92,2,2016-03-17 11:11:41,0
"12","{BA85AA39-DB2C-4017-8585-A1D6EF1B9FC7}","SN1507.SHF",20150414,115750,115550,115650,112300,112300,113680,5588,63527.712,1894,-3450,886,2,2016-03-17 11:11:41,0
"13","{F563AA1D-2B10-4047-B6E6-2FEC8F9027CD}","SN1507.SHF",20150415,113680,112400,114140,112320,113850,113530,4132,46911.012,1692,170,-202,2,2016-03-17 11:11:41,0
"14","{96CF6484-3710-436B-BE02-61EC6AE2B85B}","SN1507.SHF",20150416,113530,113200,113700,111010,112880,112780,3866,43604.23,1962,-650,270,2,2016-03-17 11:11:42,0
"15","{5407FA84-CF9C-4F6C-9450-06DA96C04485}","SN1507.SHF",20150417,112780,113010,113010,109300,110000,111110,11322,125802.026,3584,-2780,1622,2,2016-03-17 11:11:42,0
"16","{F304CD2A-2106-4A61-AC52-B20B9805BA80}","SN1507.SHF",20150420,111110,112000,112960,111120,111440,111850,10518,117652.754,2656,330,-928,2,2016-03-17 11:11:42,0
