"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{AB5952C1-07A8-485F-BF60-E3D3DB69BFC7}","SR0605.CZC",20060106,4200,4700,4800,4650,4741,4751,21572,102486.44,4514,NA,NA,2,2016-03-17 10:41:17,0
"2","{7263D2DC-AE5B-4D04-AFC8-4939F5BC3FA8}","SR0605.CZC",20060109,4751,4739,4756,4703,4720,4724,5686,26862.9,4042,NA,-472,2,2016-03-17 10:41:17,0
"3","{EFBBCAD5-A536-436B-A2EE-EB8B79200E04}","SR0605.CZC",20060110,4724,4687,4750,4650,4745,4721,7306,34489.52,4572,NA,530,2,2016-03-17 10:41:17,0
"4","{72A32F69-8C5C-4237-8747-AB6D27ACFD02}","SR0605.CZC",20060111,4721,4750,4755,4689,4710,4714,10420,49121.33,5386,NA,814,2,2016-03-17 10:41:17,0
"5","{1FB72C6A-18FE-4BC2-BA38-C917D002E95B}","SR0605.CZC",20060112,4714,4700,4705,4664,4668,4675,7120,33286.16,5812,NA,426,2,2016-03-17 10:41:17,0
"6","{F22593E7-E203-4D98-AD83-79E962B256B9}","SR0605.CZC",20060113,4675,4665,4678,4628,4632,4648,6104,28374.3,5444,NA,-368,2,2016-03-17 10:41:17,0
"7","{7E0C76CB-A695-4849-8B8F-9EF460713482}","SR0605.CZC",20060116,4648,4707,4834,4694,4833,4795,25198,120835.63,8428,NA,2984,2,2016-03-17 10:41:17,0
"8","{8848F837-DDFC-493C-81FE-1C16FAF23F6D}","SR0605.CZC",20060117,4795,4833,4873,4822,4847,4846,27966,135534.42,10160,NA,1732,2,2016-03-17 10:41:17,0
"9","{0D7F5A3A-9A31-46C0-A61D-ADD7B57C2BA6}","SR0605.CZC",20060118,4846,4884,5018,4861,4990,4972,50598,251551.92,12956,NA,2796,2,2016-03-17 10:41:17,0
"10","{9CA8DF73-DD92-445F-B708-C5B0241A419B}","SR0605.CZC",20060119,4972,5000,5100,4982,5025,5023,63804,320466.52,14278,NA,1322,2,2016-03-17 10:41:18,0
"11","{17BA61AD-9CC3-4660-81B5-80BD3A0017F0}","SR0605.CZC",20060120,5023,5112,5204,5110,5201,5150,52894,272429.63,16972,NA,2694,2,2016-03-17 10:41:18,0
"12","{551EED9F-A27C-48B5-9986-DAEB2A5CC274}","SR0605.CZC",20060123,5150,5356,5356,5356,5356,5356,810,4338.36,16402,NA,-570,2,2016-03-17 10:41:18,0
"13","{6AD7D1E3-E003-43C5-93D0-25CA9CDD9556}","SR0605.CZC",20060124,5356,5490,5678,5450,5678,5603,60356,338163.86,18344,NA,1942,2,2016-03-17 10:41:18,0
"14","{6ABE7505-8D99-418D-BC89-DB0A828720C6}","SR0605.CZC",20060125,5603,5670,5811,5586,5712,5708,66760,381044.78,16722,NA,-1622,2,2016-03-17 10:41:18,0
"15","{050DBF27-7EC1-4FB6-AB2D-DB41FDE83427}","SR0605.CZC",20060126,5708,5741,5937,5680,5934,5815,79242,460780.73,23486,NA,6764,2,2016-03-17 10:41:18,0
"16","{6119BB0A-B9AA-4F9D-A254-26328BD0FAD3}","SR0605.CZC",20060127,5815,6048,6048,5950,6030,6005,55206,331488.35,25978,NA,2492,2,2016-03-17 10:41:18,0
"17","{86A49F18-0C3B-4A40-88C9-84EB3A4C3CBC}","SR0605.CZC",20060206,6005,6246,6246,6220,6246,6245,11592,72390.04,28308,NA,11586,2,2016-03-17 10:41:18,0
"18","{78B6258B-5BF9-4A84-98CC-BD2DD221C552}","SR0605.CZC",20060207,6245,6110,6110,5995,5995,6031,5760,34739.47,27338,NA,-970,2,2016-03-17 10:41:18,0
"19","{1D5813F6-BB3C-4656-A5F8-41F1E2E7E253}","SR0605.CZC",20060208,6031,5669,5669,5669,5669,5669,1246,7063.57,26712,NA,-626,2,2016-03-17 10:41:18,0
"20","{BC131807-3582-4963-9159-22531A1642CC}","SR0605.CZC",20060209,5669,5625,5880,5500,5650,5696,71618,407919.85,25758,NA,-954,2,2016-03-17 10:41:18,0
"21","{D9B953EB-F8D4-4693-B6FA-0A09B3B58F41}","SR0605.CZC",20060210,5696,5468,5585,5468,5468,5512,44930,247637.8,27038,NA,1280,2,2016-03-17 10:41:18,0
