"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{4B80C7E3-9158-406E-B424-98F8991DDB91}","TA0705.CZC",20061218,8380,8538,9032,8538,8880,8926,44576,198923.21,6202,NA,NA,2,2016-03-17 10:41:33,0
"2","{212AFD46-7E16-4616-969F-CA6461D6E700}","TA0705.CZC",20061219,8926,8860,8958,8806,8906,8902,49070,218390.38,7488,NA,1286,2,2016-03-17 10:41:33,0
"3","{4561405A-D3C5-4BC1-914F-F6BB318F9D65}","TA0705.CZC",20061220,8902,8944,8970,8906,8958,8948,25586,114453.06,8882,NA,1394,2,2016-03-17 10:41:33,0
"4","{3144E6EC-AA7C-44EC-A25B-109C8922DEDC}","TA0705.CZC",20061221,8948,8940,8948,8884,8912,8914,19414,86524.44,8080,NA,-802,2,2016-03-17 10:41:33,0
"5","{431ABD79-8A6D-495C-881A-263257F34A4F}","TA0705.CZC",20061222,8914,8904,8928,8824,8924,8886,9954,44219,7556,NA,-524,2,2016-03-17 10:41:33,0
"6","{F95AB89B-D376-4B9E-BEBA-8B0FB6EEF7D5}","TA0705.CZC",20061225,8886,8918,9140,8912,9098,9074,34790,157841.07,12402,NA,4846,2,2016-03-17 10:41:33,0
"7","{5C0D082B-D7B6-4ECC-AD76-166390C51AFD}","TA0705.CZC",20061226,9074,9120,9166,9062,9158,9108,37246,169625.66,12826,NA,424,2,2016-03-17 10:41:33,0
"8","{64010EE8-F94D-45B0-99D2-3A8360794E7F}","TA0705.CZC",20061227,9108,9082,9126,9008,9016,9060,35680,161632.06,14362,NA,1536,2,2016-03-17 10:41:33,0
"9","{C8927AB6-30BC-43AC-AB57-EA204F811244}","TA0705.CZC",20061228,9060,9000,9006,8850,8856,8908,31982,142429.8,14786,NA,424,2,2016-03-17 10:41:33,0
"10","{0CFCEF62-B491-467C-B9A9-8F96D8B2AE5E}","TA0705.CZC",20061229,8908,8850,8934,8780,8898,8878,32032,142181.03,11230,NA,-3556,2,2016-03-17 10:41:33,0
"11","{A5EBA060-3E9E-40BC-9712-B290B48A9497}","TA0705.CZC",20070104,8878,8690,8772,8530,8734,8710,34012,148128.61,12090,NA,860,2,2016-03-17 10:41:33,0
"12","{ED431E22-74C9-43A1-AB4D-9A3C12165DDA}","TA0705.CZC",20070105,8710,8660,8804,8612,8782,8750,39672,173559.14,14180,NA,2090,2,2016-03-17 10:41:33,0
"13","{6927706F-0590-417A-81B6-7AFF7F70BE5A}","TA0705.CZC",20070108,8750,8806,8838,8738,8746,8780,36112,158511.62,13160,NA,-1020,2,2016-03-17 10:41:33,0
"14","{82B6D1CB-5A83-4247-BB8C-6460023310B9}","TA0705.CZC",20070109,8780,8726,8820,8714,8776,8774,31030,136109.51,14548,NA,1388,2,2016-03-17 10:41:33,0
"15","{B50E7A7D-3FC1-4C7F-93EE-C4D757EDB21B}","TA0705.CZC",20070110,8774,8790,8814,8740,8744,8786,30790,135258.74,13634,NA,-914,2,2016-03-17 10:41:33,0
"16","{F0D73B6D-8D84-4FCE-97DF-F0593966A1D4}","TA0705.CZC",20070111,8786,8690,8782,8690,8730,8752,22192,97103.81,12134,NA,-1500,2,2016-03-17 10:41:34,0
"17","{C8785954-AA15-4125-A64C-1BD665E12CE2}","TA0705.CZC",20070112,8752,8720,8752,8646,8670,8688,18030,78320.04,12126,NA,-8,2,2016-03-17 10:41:34,0
"18","{EC48CA2E-9E46-4F75-9AC2-5B535838FE4C}","TA0705.CZC",20070115,8688,8720,8770,8680,8696,8722,15790,68861.74,12264,NA,138,2,2016-03-17 10:41:34,0
"19","{F22FE276-7E27-4E98-B7E8-6C4BB3674A9B}","TA0705.CZC",20070116,8722,8700,8740,8616,8626,8682,18982,82388.46,12838,NA,574,2,2016-03-17 10:41:34,0
"20","{B8BB35D0-6B29-4661-B46E-D618308C2F35}","TA0705.CZC",20070117,8682,8584,8636,8472,8490,8530,24356,103862.91,15778,NA,2940,2,2016-03-17 10:41:34,0
"21","{4A139059-C347-4B0C-BAB3-2990105D32CE}","TA0705.CZC",20070118,8530,8530,8530,8356,8376,8444,31146,131494.82,17806,NA,2028,2,2016-03-17 10:41:34,0
"22","{F9FEEFE3-D24E-4B6E-8EDC-C8450271D990}","TA0705.CZC",20070119,8444,8344,8382,8254,8340,8340,46434,193602.61,16076,NA,-1730,2,2016-03-17 10:41:34,0
"23","{5DBB567C-DCE8-4874-B2E6-BF2FA85D7C00}","TA0705.CZC",20070122,8340,8370,8386,8102,8130,8204,60500,248172.93,23064,NA,6988,2,2016-03-17 10:41:34,0
"24","{F917455F-D1DB-475C-8880-EBF01813434E}","TA0705.CZC",20070123,8204,8060,8186,8056,8162,8134,59258,240968.79,19874,NA,-3190,2,2016-03-17 10:41:34,0
