"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{167E5B23-D6C5-41B1-9079-19E4B08E9E82}","TC1401.CZC",20130926,520,525.4,535.2,523.8,534.4,529.4,308648,3267399.02,32170,14.4,32170,2,2016-03-17 11:09:50,0
"2","{79F3FFBB-191C-4E40-9FB4-5EEEBE6E9DCD}","TC1401.CZC",20130927,529.4,535.8,550.6,533.2,546.6,545,430296,4689672.46,39570,17.2,7400,2,2016-03-17 11:09:51,0
"3","{4EFDA15C-1FDC-4559-8A87-F2D3D7E85128}","TC1401.CZC",20130930,545,545,555.8,542.2,555,548.8,240056,2634944.21,44818,10,5248,2,2016-03-17 11:09:51,0
"4","{01595951-8939-4F88-98A3-4CF3E2623D6F}","TC1401.CZC",20131008,548.8,555,555,538.4,547.4,544.4,183128,1993737.51,35386,-1.4,-9432,2,2016-03-17 11:09:51,0
"5","{91A5092D-0253-42BF-8FB5-F57BD2A79210}","TC1401.CZC",20131009,544.4,546.4,549.6,541.6,547,547.2,190138,2080731.81,35204,2.6,-182,2,2016-03-17 11:09:51,0
"6","{E85E928C-E2B2-4C0F-8972-60A42B1ECE9B}","TC1401.CZC",20131010,547.2,545.6,552,545.6,547.4,548.2,170136,1865392.12,45778,0.2,10574,2,2016-03-17 11:09:51,0
"7","{D96CF30B-7A59-4B0D-A043-CD2F2D933C71}","TC1401.CZC",20131011,548.2,549.2,550.8,546.8,547.2,548.6,89008,976486,43222,-1,-2556,2,2016-03-17 11:09:52,0
"8","{CB817596-F1E1-486B-A276-E4BE8975BA0E}","TC1401.CZC",20131014,548.6,548,561.2,547.2,560,556.6,286206,3185565.98,61950,11.4,18728,2,2016-03-17 11:09:52,0
"9","{745771BB-9C9D-4079-9340-FD24BA9D8100}","TC1401.CZC",20131015,556.6,561,567,559.2,563.4,563,255142,2873081.73,68998,6.8,7048,2,2016-03-17 11:09:52,0
"10","{62B9B344-F15D-4AC2-B7FC-168209253A85}","TC1401.CZC",20131016,563,563.2,565.8,560,563.8,562.8,182074,2049283.32,69260,0.8,262,2,2016-03-17 11:09:52,0
"11","{775352E3-B677-4795-9D99-0FB6DB623C29}","TC1401.CZC",20131017,562.8,565,567.8,558.8,561.8,564,278130,3137609.31,70340,-1,1080,2,2016-03-17 11:09:53,0
"12","{6865752A-2F1D-4925-8F2A-34A282616B03}","TC1401.CZC",20131018,564,562,563.2,557.4,562.4,560.8,143288,1607117.76,66612,-1.6,-3728,2,2016-03-17 11:09:53,0
"13","{7A29A5B9-A892-48A1-98A2-F427A19E42D0}","TC1401.CZC",20131021,560.8,563,564.2,558,559,560.8,129934,1457116.27,56648,-1.8,-9964,2,2016-03-17 11:09:53,0
"14","{2F476514-E96B-42DB-B8D8-528F5B46E67A}","TC1401.CZC",20131022,560.8,558.2,560.8,555.6,560.2,558,131106,1463047.2,48340,-0.6,-8308,2,2016-03-17 11:09:53,0
"15","{BFF5F047-6E5A-460B-8905-04509D733F57}","TC1401.CZC",20131023,558,561,564.4,558.2,559.8,561.4,151240,1698101.94,41700,1.8,-6640,2,2016-03-17 11:09:54,0
"16","{7E189759-512C-42B8-ABDF-3ADE9E14AEF7}","TC1401.CZC",20131024,561.4,560.2,560.4,552.2,553.2,555.2,117076,1300032.65,45194,-8.2,3494,2,2016-03-17 11:09:54,0
"17","{042C8AEB-C9B8-4E09-8245-0B35F94FD2A9}","TC1401.CZC",20131025,555.2,554,556.4,552.8,555.6,554.8,88500,981857.79,38416,0.4,-6778,2,2016-03-17 11:09:54,0
"18","{79C6BD68-8A57-4B98-A9E1-507194395DA3}","TC1401.CZC",20131028,554.8,556.4,560.2,554.8,558.2,557.8,106070,1183173.62,43378,3.4,4962,2,2016-03-17 11:09:54,0
"19","{E46A5762-1A3B-4311-8556-062076C4D1C1}","TC1401.CZC",20131029,557.8,557.8,559.4,555.8,558.6,557.6,68364,762497.15,43248,0.8,-130,2,2016-03-17 11:09:55,0
"20","{DB831D0A-A56A-49AF-A85D-73AC4EB874EE}","TC1401.CZC",20131030,557.6,559,562,554.4,556.8,557,126806,1412522.42,43762,-0.8,514,2,2016-03-17 11:09:55,0
