"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{8CB2E47D-EBD0-4DAE-8BB1-7E54B1707F01}","WR0909.SHF",20090327,NA,3400,3500,3361,3398,3409,105070,358235.81,12430,NA,12430,2,2016-03-17 10:42:20,0
"2","{4C838AD1-94A5-45C7-A3CA-4E021899902D}","WR0909.SHF",20090330,3409,3381,3437,3381,3417,3416,46374,158421.12,13722,8,1292,2,2016-03-17 10:42:20,0
"3","{C7174F90-2819-4461-8647-2F730495DFCD}","WR0909.SHF",20090331,3416,3410,3425,3401,3419,3413,15124,51628.07,13466,3,-256,2,2016-03-17 10:42:21,0
"4","{693A2EE3-460A-4A30-A404-686B14EDAE5D}","WR0909.SHF",20090401,3413,3423,3423,3407,3409,3412,6708,22888.71,12012,-4,-1454,2,2016-03-17 10:42:21,0
"5","{1FDEB0CE-C5AC-4D1F-99CB-6775954CFFF4}","WR0909.SHF",20090402,3412,3400,3413,3336,3351,3364,29940,100732.25,14688,-61,2676,2,2016-03-17 10:42:21,0
"6","{A014E470-5EF9-4738-B308-69ACEC4C8BE1}","WR0909.SHF",20090403,3364,3364,3364,3313,3323,3332,22776,75910.79,18276,-41,3588,2,2016-03-17 10:42:21,0
"7","{176E3713-EDF7-49AD-9CF0-D6046BDFB348}","WR0909.SHF",20090407,3332,3303,3370,3303,3355,3344,29046,97149.31,22220,23,3944,2,2016-03-17 10:42:21,0
"8","{283A1D81-A7C3-401D-81B0-D4137C1F2CC3}","WR0909.SHF",20090408,3344,3349,3359,3330,3335,3341,12312,41139.13,21682,-9,-538,2,2016-03-17 10:42:21,0
"9","{E5B1738F-F4D3-478E-9EBA-C6BEA7459B0B}","WR0909.SHF",20090409,3341,3341,3358,3330,3343,3342,8942,29890.85,22718,2,1036,2,2016-03-17 10:42:21,0
"10","{A5DB684A-8F93-4BD6-B7C8-CF4E1D07A98E}","WR0909.SHF",20090410,3342,3355,3360,3341,3353,3350,11020,36920.82,23140,11,422,2,2016-03-17 10:42:21,0
"11","{F46DFA4F-6B6A-4942-9CE4-3D9D1B8F38B2}","WR0909.SHF",20090413,3350,3349,3378,3330,3353,3355,11314,37968.32,24312,3,1172,2,2016-03-17 10:42:22,0
"12","{72B83C25-3FDA-4725-98FB-87F3CCD00FB2}","WR0909.SHF",20090414,3355,3360,3450,3350,3425,3414,30060,102633.12,26772,70,2460,2,2016-03-17 10:42:22,0
"13","{B88A9447-2333-4AAA-B236-AF0FD88E689E}","WR0909.SHF",20090415,3414,3430,3445,3412,3430,3428,16922,58009.63,27940,16,1168,2,2016-03-17 10:42:22,0
"14","{9356CC10-345A-4E00-90B6-A6ABCEC30CA7}","WR0909.SHF",20090416,3428,3448,3498,3435,3479,3472,19690,68379.02,31384,51,3444,2,2016-03-17 10:42:22,0
"15","{63A4E4E6-79C0-420A-92ED-050E6C3F6787}","WR0909.SHF",20090417,3472,3491,3522,3467,3502,3496,30902,108034.25,34078,30,2694,2,2016-03-17 10:42:22,0
"16","{9D0F1788-4579-4044-B872-CE27071DE52A}","WR0909.SHF",20090420,3496,3532,3532,3490,3501,3507,20912,73350.02,37972,5,3894,2,2016-03-17 10:42:22,0
"17","{E382C938-1714-4C5C-BDDD-DEF47A8C07C7}","WR0909.SHF",20090421,3507,3488,3488,3331,3422,3429,24080,82572.34,35568,-85,-2404,2,2016-03-17 10:42:22,0
"18","{C2E89BAF-EC49-4DBE-8592-988B9B9CA91B}","WR0909.SHF",20090422,3429,3460,3460,3415,3427,3435,12266,42140.21,35064,-2,-504,2,2016-03-17 10:42:22,0
"19","{D8C439C6-3ABB-4E5C-96F2-DD97931A3F2D}","WR0909.SHF",20090423,3435,3426,3435,3398,3416,3408,9676,32982.75,35618,-19,554,2,2016-03-17 10:42:23,0
"20","{06E9923C-C457-4895-AABB-55AB609C213A}","WR0909.SHF",20090424,3408,3406,3425,3404,3406,3410,6964,23748.24,35974,-2,356,2,2016-03-17 10:42:23,0
"21","{E0F0E3AA-EE2D-46F3-BCAF-9FCBBB544B73}","WR0909.SHF",20090427,3410,3413,3426,3385,3401,3406,7472,25451.86,35882,-9,-92,2,2016-03-17 10:42:23,0
"22","{2802C364-E7AD-4CD7-8A63-695FD2D3EC2B}","WR0909.SHF",20090428,3406,3408,3416,3403,3407,3407,4228,14407.46,35760,1,-122,2,2016-03-17 10:42:23,0
"23","{F361128C-B1E7-4771-9CD7-C59420A11BC9}","WR0909.SHF",20090429,3407,3409,3432,3405,3429,3413,5644,19264.5,35572,22,-188,2,2016-03-17 10:42:23,0
"24","{8F209A2E-B24B-49E5-BE25-C51952B4C6A8}","WR0909.SHF",20090430,3413,3441,3459,3425,3447,3440,15536,53447.08,37072,34,1500,2,2016-03-17 10:42:23,0
"25","{7BC9106E-1D1E-4F3C-9C88-1603EF3A3485}","WR0909.SHF",20090504,3440,3489,3598,3469,3543,3529,35634,125759.16,39342,103,2270,2,2016-03-17 10:42:23,0
"26","{A1F97A44-0C00-4BD6-A827-DB5DA2A43AED}","WR0909.SHF",20090505,3529,3560,3560,3480,3487,3500,13766,48193.86,38814,-42,-528,2,2016-03-17 10:42:23,0
"27","{BCCA10BF-809E-490D-9E11-2A42559C8F79}","WR0909.SHF",20090506,3500,3487,3507,3477,3505,3498,7526,26330.87,40294,5,1480,2,2016-03-17 10:42:24,0
"28","{0EC45BFB-B55C-459A-8568-4B23D9BA77B7}","WR0909.SHF",20090507,3498,3513,3550,3493,3496,3512,12036,42277.83,39554,-2,-740,2,2016-03-17 10:42:24,0
