"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{1C6885AD-0B06-4955-91BF-6B8C7D3F346F}","WS0403.CZC",20030328,NA,1739,1739,NA,1730,1737,4462,7751.86,4448,NA,NA,2,2016-03-17 10:11:56,0
"2","{8D97CB09-C3BD-4CF4-8E70-B6FE7790E4A8}","WS0403.CZC",20030331,1737,1728,1790,NA,1782,1777,5806,10314.86,7110,NA,2662,2,2016-03-17 10:11:56,0
"3","{4BED6F6B-67D2-4F5C-A363-92A149658E50}","WS0403.CZC",20030401,1777,1785,1831,NA,1812,1813,5886,10670.79,7696,NA,586,2,2016-03-17 10:11:56,0
"4","{455D2A8B-5CFD-45EC-B214-73F440B2EA66}","WS0403.CZC",20030402,1813,1812,1826,NA,1815,1815,9200,16701.64,10152,NA,2456,2,2016-03-17 10:11:56,0
"5","{583DB626-6154-46B9-A992-A629BE64F09B}","WS0403.CZC",20030403,1815,1799,1817,NA,1796,1805,6306,11381.88,10916,NA,764,2,2016-03-17 10:11:56,0
"6","{29EFBC63-0753-4B30-A48D-DAA448C72E30}","WS0403.CZC",20030404,1805,1797,1805,NA,1799,1798,4842,8706.06,11596,NA,680,2,2016-03-17 10:11:56,0
"7","{077928CE-350D-487F-B8BC-367C3AFB8114}","WS0403.CZC",20030407,1798,1804,1804,NA,1799,1800,1710,3078.63,12440,NA,844,2,2016-03-17 10:11:56,0
"8","{3B077E0E-DDED-4222-8843-8F0D7CBAEBBA}","WS0403.CZC",20030408,1800,1799,1799,NA,1779,1769,3346,5919.03,11782,NA,-658,2,2016-03-17 10:11:56,0
"9","{1CAD751E-B7D1-41B3-B808-B8334DB3DC9A}","WS0403.CZC",20030409,1769,1773,1815,NA,1789,1797,4520,8124.41,11658,NA,-124,2,2016-03-17 10:11:56,0
"10","{614BA50E-076F-4419-A1A4-BEF664268837}","WS0403.CZC",20030410,1797,1790,1800,NA,1794,1794,1132,2030.88,11574,NA,-84,2,2016-03-17 10:11:56,0
"11","{212E09D9-C460-4654-8A1F-A469D6B9335F}","WS0403.CZC",20030411,1794,1792,1798,NA,1797,1794,1274,2285.48,10888,NA,-686,2,2016-03-17 10:11:56,0
"12","{D7FFBDB1-B252-47AA-99D9-805D26577D7C}","WS0403.CZC",20030414,1794,1801,1801,NA,1773,1782,818,1457.95,10738,NA,-150,2,2016-03-17 10:11:56,0
"13","{095F8B81-2B0A-4862-AFC8-3B0AF4F331D2}","WS0403.CZC",20030415,1782,1776,1790,NA,1785,1784,1040,1855.25,10308,NA,-430,2,2016-03-17 10:11:56,0
"14","{DAD13FAA-AB21-4DDC-92BA-07DE82973B62}","WS0403.CZC",20030416,1784,1775,1788,NA,1786,1783,1120,1996.45,9802,NA,-506,2,2016-03-17 10:11:56,0
"15","{93E9B471-9746-42D3-9A83-25687E65BBEE}","WS0403.CZC",20030417,1783,1785,1805,NA,1798,1797,1558,2799.58,9804,NA,2,2,2016-03-17 10:11:56,0
"16","{A7D6DB09-0B01-4050-9FDC-7A4845D47295}","WS0403.CZC",20030418,1797,1802,1806,NA,1793,1803,1020,1838.86,9804,NA,0,2,2016-03-17 10:11:57,0
"17","{030B05DA-77A4-4EEE-9EF6-88506382F72E}","WS0403.CZC",20030421,1803,1795,1797,NA,1778,1785,1258,2245.13,9728,NA,-76,2,2016-03-17 10:11:57,0
"18","{25A7B52D-A0A6-4162-B66A-EE8FEEB9EDD7}","WS0403.CZC",20030422,1785,1788,1788,NA,1784,1783,1076,1918.29,9544,NA,-184,2,2016-03-17 10:11:57,0
"19","{4F74C782-4786-413F-9A73-2D3ACC1AFE1C}","WS0403.CZC",20030423,1783,1784,1784,NA,1773,1780,1892,3367.54,9528,NA,-16,2,2016-03-17 10:11:57,0
"20","{55BCA41F-21DB-4A3B-967B-C215D227EDA4}","WS0403.CZC",20030424,1780,1764,1784,NA,1780,1775,2228,3954.51,7830,NA,-1698,2,2016-03-17 10:11:57,0
"21","{EFBC8E62-6716-48EF-81FE-733D66230475}","WS0403.CZC",20030425,1775,1792,1792,NA,1786,1788,660,1179.94,7770,NA,-60,2,2016-03-17 10:11:57,0
"22","{7F246AD1-780D-4EEB-B2F2-8227C32CD630}","WS0403.CZC",20030428,1788,1780,1786,NA,1777,1780,824,1466.96,7736,NA,-34,2,2016-03-17 10:11:57,0
"23","{40DBFAFA-ED6E-451F-A702-3DDA99B5479A}","WS0403.CZC",20030429,1780,1740,1772,NA,1766,1764,1284,2265.26,7686,NA,-50,2,2016-03-17 10:11:57,0
"24","{92F275D3-E339-41F5-808D-73156D0C52B0}","WS0403.CZC",20030430,1764,1746,1767,NA,1761,1762,1266,2231.08,7682,NA,-4,2,2016-03-17 10:11:57,0
"25","{BB6751E4-70EC-4941-AAE2-9EF7B2D5D71B}","WS0403.CZC",20030512,1762,1780,1789,NA,1762,1769,2496,4415.08,5210,NA,-2472,2,2016-03-17 10:11:57,0
"26","{09B32B63-D543-4643-B4C2-D26644607D0D}","WS0403.CZC",20030513,1769,1763,1768,NA,1763,1761,1342,2362.98,5258,NA,48,2,2016-03-17 10:11:57,0
"27","{7AB3BAE2-DE45-48AE-97A7-4F3D9383E99F}","WS0403.CZC",20030514,1761,1741,1764,NA,1758,1757,1012,1778.05,5286,NA,28,2,2016-03-17 10:11:57,0
"28","{46527D32-D037-4B91-9D1B-2626B2B09449}","WS0403.CZC",20030515,1757,1755,1755,NA,1728,1741,1746,3040.32,5080,NA,-206,2,2016-03-17 10:11:57,0
"29","{B1676346-E618-49B1-9487-DD5229245DCC}","WS0403.CZC",20030516,1741,1730,1735,NA,1720,1729,846,1463.12,4838,NA,-242,2,2016-03-17 10:11:57,0
