"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{74190C0A-9B91-45CB-924E-AD15B5530600}","WT9903.CZC",19990104,1480,1494,1496,NA,1492,1490,3860,5748.78,13188,NA,NA,2,2016-03-17 10:11:33,0
"2","{BFFE069F-3654-4D4D-888E-4FC4B4F9B8F6}","WT9903.CZC",19990105,1490,1490,1492,NA,1490,1492,3332,4967.96,13080,NA,-108,2,2016-03-17 10:11:33,0
"3","{D808FE33-A081-41BD-ACC5-4EB8C4D68B6D}","WT9903.CZC",19990106,1492,1490,1508,NA,1502,1500,4124,6180.48,13564,NA,484,2,2016-03-17 10:11:33,0
"4","{028A36DC-94CF-489B-AAEF-54C44D71223D}","WT9903.CZC",19990107,1500,1500,1506,NA,1500,1504,2692,4046.66,12504,NA,-1060,2,2016-03-17 10:11:33,0
"5","{9ABCB4D4-4F24-4E72-A2DE-4EFCF009953F}","WT9903.CZC",19990108,1504,1500,1504,NA,1502,1500,696,1043.69,12192,NA,-312,2,2016-03-17 10:11:33,0
"6","{4F422B0A-1A3D-4E8D-914C-6BFCB3A9005C}","WT9903.CZC",19990111,1500,1502,1506,NA,1500,1504,1452,2183.32,11304,NA,-888,2,2016-03-17 10:11:33,0
"7","{B0441A94-5399-4FFA-81F2-6DD411991BE2}","WT9903.CZC",19990112,1504,1494,1496,NA,1490,1490,2280,3396.44,10844,NA,-460,2,2016-03-17 10:11:33,0
"8","{4DC771C4-12AC-4C4E-8036-CEDE5C685E9E}","WT9903.CZC",19990113,1490,1488,1490,NA,1488,1488,508,755.89,10600,NA,-244,2,2016-03-17 10:11:33,0
"9","{00BD7123-C8C2-4777-BA02-3C4BB13BE838}","WT9903.CZC",19990114,1488,1486,1492,NA,1490,1492,196,292.25,10532,NA,-68,2,2016-03-17 10:11:33,0
"10","{CD95B546-5B08-4619-9BC6-28A5FB02A2FF}","WT9903.CZC",19990115,1492,1456,1488,NA,1482,1480,804,1190.07,9928,NA,-604,2,2016-03-17 10:11:33,0
"11","{718B6C89-E6DD-4F49-9335-38B9F832DC57}","WT9903.CZC",19990118,1480,1482,1486,NA,1486,1484,200,296.66,9768,NA,-160,2,2016-03-17 10:11:33,0
"12","{119EE098-1E6F-4DF3-B5F7-6E2DF70C7898}","WT9903.CZC",19990119,1484,1484,1494,NA,1490,1490,776,1155.64,9504,NA,-264,2,2016-03-17 10:11:33,0
"13","{DAD963CA-68F3-4FDB-A881-8AB6D300574E}","WT9903.CZC",19990120,1490,1488,1494,NA,1490,1492,296,441.56,9416,NA,-88,2,2016-03-17 10:11:33,0
"14","{A91CAC8D-1800-4107-AFBC-CD70258D8351}","WT9903.CZC",19990121,1492,1488,1492,NA,1490,1490,452,673.2,9444,NA,28,2,2016-03-17 10:11:33,0
"15","{297700EF-C1F1-4582-80DA-BAAF076E390A}","WT9903.CZC",19990122,1490,1488,1490,NA,1490,1490,80,119.18,9432,NA,-12,2,2016-03-17 10:11:33,0
"16","{54BF6234-DC89-428D-A567-5724A9C643D7}","WT9903.CZC",19990125,1490,1492,1494,NA,1492,1492,984,1468.24,8852,NA,-580,2,2016-03-17 10:11:33,0
"17","{91F69822-E314-491B-9292-433807E6BB83}","WT9903.CZC",19990126,1492,1492,1496,NA,1494,1494,644,961.94,8484,NA,-368,2,2016-03-17 10:11:33,0
"18","{4256499E-56F3-41B5-8975-43C009E6E7E2}","WT9903.CZC",19990127,1494,1494,1508,NA,1508,1502,1188,1783.64,7752,NA,-732,2,2016-03-17 10:11:33,0
"19","{91177DB2-BE53-4562-B6D1-238D46579377}","WT9903.CZC",19990128,1502,1506,1506,NA,1502,1504,552,830.23,7380,NA,-372,2,2016-03-17 10:11:33,0
"20","{A3032D8A-A2DD-4331-BC0D-5A11B54E7047}","WT9903.CZC",19990129,1504,1498,1500,NA,1496,1498,752,1126.2,6996,NA,-384,2,2016-03-17 10:11:33,0
