"","OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_PRESETTLE","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_CHANGE","S_DQ_OICHANGE","FS_INFO_TYPE","OPDATE","OPMODE"
"1","{4AC65DE4-C706-4135-A58D-B4A5B3A767A2}","Y0609.DCE",20060109,5020,5300,5350,5070,5096,5164,105678,545774.09,40144,76,40144,2,2016-03-17 10:41:17,0
"2","{0A2F1B79-195B-409C-B6EB-EDC8948DF044}","Y0609.DCE",20060110,5164,5072,5108,5050,5086,5083,63540,322997.49,39860,-78,-284,2,2016-03-17 10:41:17,0
"3","{2080D376-A004-4A9A-841A-CB788E291B36}","Y0609.DCE",20060111,5083,5072,5094,5060,5080,5072,37518,190310.59,39248,-3,-612,2,2016-03-17 10:41:17,0
"4","{63CEEB9E-B1FB-4BFB-8A90-A4DE972DA931}","Y0609.DCE",20060112,5072,5070,5094,5066,5086,5081,43268,219861.84,39260,14,12,2,2016-03-17 10:41:17,0
"5","{304835B6-D174-4DDE-B9A1-9EF9EC248A5B}","Y0609.DCE",20060113,5081,5080,5080,5032,5036,5044,43668,220296.97,38326,-45,-934,2,2016-03-17 10:41:17,0
"6","{75C9E217-29F2-4720-ADF2-D0D91CBB35F2}","Y0609.DCE",20060116,5044,5056,5076,5038,5058,5051,51524,260262.5,35972,14,-2354,2,2016-03-17 10:41:17,0
"7","{58ACD439-9EB5-4374-8561-A7F980CC1D36}","Y0609.DCE",20060117,5051,5058,5066,5030,5030,5055,45684,230950.38,34782,-21,-1190,2,2016-03-17 10:41:17,0
"8","{BB5482E1-5BEB-4D76-B912-E16EFA785D64}","Y0609.DCE",20060118,5055,5008,5058,5008,5028,5036,60752,305999.64,33892,-27,-890,2,2016-03-17 10:41:17,0
"9","{A9F35DEA-F160-43D4-9EA0-B3A5C6EFA0EC}","Y0609.DCE",20060119,5036,5036,5104,5036,5092,5069,66908,339161.98,41024,56,7132,2,2016-03-17 10:41:18,0
"10","{7FF9E585-E925-43A8-8543-B9090BA8663B}","Y0609.DCE",20060120,5069,5080,5148,5060,5098,5108,76374,390178.42,47796,29,6772,2,2016-03-17 10:41:18,0
"11","{CEC78609-E881-4886-BCFB-29C45B554781}","Y0609.DCE",20060123,5108,5132,5142,5084,5096,5112,69230,353943.64,48506,-12,710,2,2016-03-17 10:41:18,0
"12","{E37684F8-90BA-42B4-8062-DA72B025B9E4}","Y0609.DCE",20060124,5112,5100,5100,5008,5050,5051,65334,330051.23,45578,-62,-2928,2,2016-03-17 10:41:18,0
"13","{1B3619B3-B450-4261-B62C-78AABCA00BA6}","Y0609.DCE",20060125,5051,5046,5076,5030,5058,5051,60468,305456.93,46948,7,1370,2,2016-03-17 10:41:18,0
"14","{A06609CE-7287-494D-BE38-8798B156167B}","Y0609.DCE",20060126,5051,5038,5060,5020,5026,5049,62518,315690.09,41378,-25,-5570,2,2016-03-17 10:41:18,0
"15","{FE985F95-F73C-44F5-98B9-0E38B8FDDE6D}","Y0609.DCE",20060127,5049,5046,5068,5026,5050,5047,54424,274728.88,41104,1,-274,2,2016-03-17 10:41:18,0
"16","{54C51E49-E7C8-4CED-A136-C6D499C70B29}","Y0609.DCE",20060206,5047,5198,5236,5150,5200,5214,67300,350906.61,42456,153,1352,2,2016-03-17 10:41:18,0
"17","{2E7E53B6-6310-4D85-86C1-68CAED66CC8F}","Y0609.DCE",20060207,5214,5150,5176,5110,5164,5154,63246,325992.07,37902,-50,-4554,2,2016-03-17 10:41:18,0
"18","{DBEF3C19-7FC7-4B27-8C7B-9E97BDFFAA4E}","Y0609.DCE",20060208,5154,5100,5106,4970,5064,5076,68622,348351.93,34456,-90,-3446,2,2016-03-17 10:41:18,0
"19","{F99C3546-4F89-4EF0-8208-122EF08CAF5E}","Y0609.DCE",20060209,5076,5080,5106,5048,5058,5071,60258,305610.2,35750,-18,1294,2,2016-03-17 10:41:18,0
"20","{3CCA76E4-F166-4A3A-8CAA-E6146A2B0107}","Y0609.DCE",20060210,5071,5122,5122,5060,5080,5090,51916,264259.27,36434,9,684,2,2016-03-17 10:41:18,0
"21","{8E8A5DBC-B7CB-4D89-8B61-A37E99023AC5}","Y0609.DCE",20060213,5090,5088,5088,5054,5070,5065,46924,237689.37,36430,-20,-4,2,2016-03-17 10:41:18,0
"22","{B341FB33-46D6-4F18-B916-EA03D0B5A08B}","Y0609.DCE",20060214,5065,5070,5086,5064,5078,5077,58968,299382.26,36038,13,-392,2,2016-03-17 10:41:18,0
"23","{CF64A715-98B5-40AD-818F-9D6E9C6DFE59}","Y0609.DCE",20060215,5077,5062,5078,5052,5068,5068,62886,318744.32,35576,-9,-462,2,2016-03-17 10:41:18,0
"24","{E7A2378E-8408-4E69-8BD7-B3675A30A5F3}","Y0609.DCE",20060216,5068,5062,5100,5062,5088,5079,64064,325426.5,35902,20,326,2,2016-03-17 10:41:19,0
"25","{1BEB256F-B918-421F-8216-0FA3F8F21EDE}","Y0609.DCE",20060217,5079,5100,5160,5096,5144,5128,73466,376778.88,39894,65,3992,2,2016-03-17 10:41:19,0
